"year","cbsasub","state","bedrooms","rent"
"2006","NCNTY05135N05135",5,0,411
"2006","NCNTY05137N05137",5,0,392
"2006","NCNTY05139N05139",5,0,419
"2006","NCNTY05141N05141",5,0,411
"2006","NCNTY05145N05145",5,0,397
"2006","NCNTY05147N05147",5,0,412
"2006","NCNTY05149N05149",5,0,404
"2006","METRO12540M12540",6,0,516
"2006","METRO17020M17020",6,0,506
"2006","METRO20940M20940",6,0,517
"2006","METRO23420M23420",6,0,574
"2006","METRO25260M25260",6,0,537
"2006","METRO31100MM4480",6,0,848
"2006","METRO31100MM5945",6,0,1034
"2006","METRO31460M31460",6,0,513
"2006","METRO32900M32900",6,0,502
"2006","METRO33700M33700",6,0,615
"2006","METRO34900M34900",6,0,810
"2006","METRO37100M37100",6,0,1042
"2006","METRO39820M39820",6,0,498
"2006","METRO40140M40140",6,0,715
"2006","METRO40900M40900",6,0,742
"2006","METRO40900MM9270",6,0,710
"2006","METRO41500M41500",6,0,874
"2006","METRO41740M41740",6,0,836
"2006","METRO41860MM5775",6,0,943
"2006","METRO41860MM7360",6,0,1095
"2006","METRO41940M41940",6,0,939
"2006","METRO41940N06069",6,0,642
"2006","METRO42020M42020",6,0,670
"2006","METRO42060M42060",6,0,893
"2006","METRO42100M42100",6,0,941
"2006","METRO42220M42220",6,0,797
"2006","METRO44700M44700",6,0,640
"2006","METRO46700M46700",6,0,850
"2006","METRO47300M47300",6,0,542
"2006","METRO49700M49700",6,0,467
"2006","NCNTY06003N06003",6,0,561
"2006","NCNTY06005N06005",6,0,633
"2006","NCNTY06009N06009",6,0,615
"2006","NCNTY06011N06011",6,0,542
"2006","NCNTY06015N06015",6,0,519
"2006","NCNTY06021N06021",6,0,443
"2006","NCNTY06023N06023",6,0,475
"2006","NCNTY06027N06027",6,0,471
"2006","NCNTY06033N06033",6,0,509
"2006","NCNTY06035N06035",6,0,491
"2006","NCNTY06043N06043",6,0,561
"2006","NCNTY06045N06045",6,0,545
"2006","NCNTY06049N06049",6,0,446
"2006","NCNTY06051N06051",6,0,610
"2006","NCNTY06057N06057",6,0,618
"2006","NCNTY06063N06063",6,0,484
"2006","NCNTY06091N06091",6,0,581
"2006","NCNTY06093N06093",6,0,417
"2006","NCNTY06103N06103",6,0,458
"2006","NCNTY06105N06105",6,0,464
"2006","NCNTY06109N06109",6,0,526
"2006","METRO14500M14500",8,0,750
"2006","METRO17820M17820",8,0,572
"2006","METRO17820N08119",8,0,611
"2006","METRO19740M19740",8,0,616
"2006","METRO22660M22660",8,0,600
"2006","METRO24300M24300",8,0,508
"2006","METRO24540M24540",8,0,571
"2006","METRO39380M39380",8,0,489
"2006","NCNTY08003N08003",8,0,372
"2006","NCNTY08007N08007",8,0,500
"2006","NCNTY08009N08009",8,0,391
"2006","NCNTY08011N08011",8,0,457
"2006","NCNTY08015N08015",8,0,428
"2006","NCNTY08017N08017",8,0,457
"2006","NCNTY08021N08021",8,0,391
"2006","NCNTY08023N08023",8,0,391
"2006","NCNTY08025N08025",8,0,457
"2006","NCNTY08027N08027",8,0,484
"2006","NCNTY08029N08029",8,0,494
"2006","NCNTY08033N08033",8,0,500
"2006","NCNTY08037N08037",8,0,862
"2006","NCNTY08043N08043",8,0,422
"2006","NCNTY08045N08045",8,0,639
"2006","NCNTY08049N08049",8,0,543
"2006","NCNTY08051N08051",8,0,534
"2006","NCNTY08053N08053",8,0,695
"2006","NCNTY08055N08055",8,0,391
"2006","NCNTY08057N08057",8,0,627
"2006","NCNTY08061N08061",8,0,457
"2006","NCNTY08063N08063",8,0,457
"2006","NCNTY08065N08065",8,0,695
"2006","NCNTY08067N08067",8,0,574
"2006","NCNTY08071N08071",8,0,389
"2006","NCNTY08073N08073",8,0,457
"2006","NCNTY08075N08075",8,0,437
"2006","NCNTY08079N08079",8,0,695
"2006","NCNTY08081N08081",8,0,398
"2006","NCNTY08083N08083",8,0,441
"2006","NCNTY08085N08085",8,0,426
"2006","NCNTY08087N08087",8,0,498
"2006","NCNTY08089N08089",8,0,405
"2006","NCNTY08091N08091",8,0,695
"2006","NCNTY08095N08095",8,0,457
"2006","NCNTY08097N08097",8,0,969
"2006","NCNTY08099N08099",8,0,394
"2006","NCNTY08103N08103",8,0,627
"2006","NCNTY08105N08105",8,0,395
"2006","NCNTY08107N08107",8,0,670
"2006","NCNTY08109N08109",8,0,391
"2006","NCNTY08111N08111",8,0,500
"2006","NCNTY08113N08113",8,0,714
"2006","NCNTY08115N08115",8,0,457
"2006","NCNTY08117N08117",8,0,764
"2006","NCNTY08121N08121",8,0,457
"2006","NCNTY08125N08125",8,0,457
"2006","METRO14860M14860",9,0,918
"2006","METRO14860MM1160",9,0,681
"2006","METRO14860MM8040",9,0,1072
"2006","METRO25540M25540",9,0,669
"2006","METRO25540MM5480",9,0,748
"2006","METRO35300MM1160",9,0,841
"2006","METRO35300MM5480",9,0,732
"2006","METRO35300MM8880",9,0,540
"2006","METRO35980M35980",9,0,614
"2006","METRO35980MM3280",9,0,655
"2006","NCNTY09005N09005",9,0,591
"2006","NCNTY09015N09015",9,0,540
"2006","METRO20100M20100",10,0,612
"2006","METRO37980M37980",10,0,694
"2006","NCNTY10005N10005",10,0,563
"2006","METRO47900M47900",11,0,948
"2006","METRO15980M15980",12,0,622
"2006","METRO19660M19660",12,0,559
"2006","METRO23020M23020",12,0,513
"2006","METRO23540M23540",12,0,515
"2006","METRO27260M27260",12,0,617
"2006","METRO27260N12003",12,0,346
"2006","METRO29460M29460",12,0,482
"2006","METRO33100M33100",12,0,702
"2006","METRO34940M34940",12,0,729
"2006","METRO36100M36100",12,0,509
"2006","METRO36740M36740",12,0,671
"2006","METRO37340M37340",12,0,498
"2006","METRO37460M37460",12,0,528
"2006","METRO37860M37860",12,0,512
"2006","METRO38940M38940",12,0,592
"2006","METRO39460M39460",12,0,503
"2006","METRO42260M42260",12,0,625
"2006","METRO45220M45220",12,0,534
"2006","METRO45220N12129",12,0,508
"2006","METRO45300M45300",12,0,622
"2006","METRO46940M46940",12,0,494
"2006","NCNTY12007N12007",12,0,347
"2006","NCNTY12013N12013",12,0,445
"2006","NCNTY12017N12017",12,0,465
"2006","NCNTY12023N12023",12,0,455
"2006","NCNTY12027N12027",12,0,461
"2006","NCNTY12029N12029",12,0,443
"2006","NCNTY12035N12035",12,0,554
"2006","NCNTY12037N12037",12,0,445
"2006","NCNTY12043N12043",12,0,468
"2006","NCNTY12045N12045",12,0,445
"2006","NCNTY12047N12047",12,0,443
"2006","NCNTY12049N12049",12,0,448
"2006","NCNTY12051N12051",12,0,469
"2006","NCNTY12055N12055",12,0,478
"2006","NCNTY12059N12059",12,0,441
"2006","NCNTY12063N12063",12,0,361
"2006","NCNTY12067N12067",12,0,445
"2006","NCNTY12075N12075",12,0,443
"2006","NCNTY12077N12077",12,0,445
"2006","NCNTY12079N12079",12,0,445
"2006","NCNTY12087N12087",12,0,777
"2006","NCNTY12093N12093",12,0,486
"2006","NCNTY12107N12107",12,0,444
"2006","NCNTY12119N12119",12,0,443
"2006","NCNTY12121N12121",12,0,347
"2006","NCNTY12123N12123",12,0,443
"2006","NCNTY12125N12125",12,0,444
"2006","NCNTY12131N12131",12,0,485
"2006","NCNTY12133N12133",12,0,441
"2006","METRO10500M10500",13,0,473
"2006","METRO12020M12020",13,0,474
"2006","METRO12060M12060",13,0,677
"2006","METRO12060N13035",13,0,359
"2006","METRO12060N13143",13,0,396
"2006","METRO12060N13171",13,0,460
"2006","METRO12060N13199",13,0,424
"2006","METRO12260M12260",13,0,484
"2006","METRO15260M15260",13,0,472
"2006","METRO16860M16860",13,0,502
"2006","METRO17980M17980",13,0,498
"2006","METRO19140M19140",13,0,475
"2006","METRO19140N13213",13,0,441
"2006","METRO23580M23580",13,0,626
"2006","METRO25980M25980",13,0,453
"2006","METRO25980N13183",13,0,409
"2006","METRO31420M31420",13,0,495
"2006","METRO40660M40660",13,0,426
"2006","METRO42340M42340",13,0,597
"2006","METRO46660M46660",13,0,473
"2006","METRO47580M47580",13,0,535
"2006","NCNTY13001N13001",13,0,410
"2006","NCNTY13003N13003",13,0,411
"2006","NCNTY13005N13005",13,0,411
"2006","NCNTY13009N13009",13,0,365
"2006","NCNTY13011N13011",13,0,432
"2006","NCNTY13017N13017",13,0,321
"2006","NCNTY13019N13019",13,0,394
"2006","NCNTY13023N13023",13,0,348
"2006","NCNTY13031N13031",13,0,442
"2006","NCNTY13037N13037",13,0,411
"2006","NCNTY13039N13039",13,0,491
"2006","NCNTY13043N13043",13,0,410
"2006","NCNTY13049N13049",13,0,411
"2006","NCNTY13055N13055",13,0,323
"2006","NCNTY13061N13061",13,0,411
"2006","NCNTY13065N13065",13,0,411
"2006","NCNTY13069N13069",13,0,384
"2006","NCNTY13071N13071",13,0,410
"2006","NCNTY13075N13075",13,0,410
"2006","NCNTY13081N13081",13,0,410
"2006","NCNTY13087N13087",13,0,348
"2006","NCNTY13091N13091",13,0,371
"2006","NCNTY13093N13093",13,0,412
"2006","NCNTY13099N13099",13,0,411
"2006","NCNTY13105N13105",13,0,411
"2006","NCNTY13107N13107",13,0,322
"2006","NCNTY13109N13109",13,0,410
"2006","NCNTY13111N13111",13,0,327
"2006","NCNTY13119N13119",13,0,432
"2006","NCNTY13123N13123",13,0,487
"2006","NCNTY13125N13125",13,0,343
"2006","NCNTY13129N13129",13,0,492
"2006","NCNTY13131N13131",13,0,322
"2006","NCNTY13133N13133",13,0,411
"2006","NCNTY13137N13137",13,0,472
"2006","NCNTY13141N13141",13,0,411
"2006","NCNTY13147N13147",13,0,410
"2006","NCNTY13155N13155",13,0,411
"2006","NCNTY13157N13157",13,0,497
"2006","NCNTY13161N13161",13,0,410
"2006","NCNTY13163N13163",13,0,343
"2006","NCNTY13165N13165",13,0,343
"2006","NCNTY13167N13167",13,0,365
"2006","NCNTY13175N13175",13,0,398
"2006","NCNTY13181N13181",13,0,411
"2006","NCNTY13187N13187",13,0,427
"2006","NCNTY13193N13193",13,0,412
"2006","NCNTY13201N13201",13,0,427
"2006","NCNTY13205N13205",13,0,412
"2006","NCNTY13209N13209",13,0,368
"2006","NCNTY13211N13211",13,0,417
"2006","NCNTY13225N13225",13,0,426
"2006","NCNTY13229N13229",13,0,411
"2006","NCNTY13233N13233",13,0,381
"2006","NCNTY13235N13235",13,0,363
"2006","NCNTY13237N13237",13,0,324
"2006","NCNTY13239N13239",13,0,411
"2006","NCNTY13241N13241",13,0,480
"2006","NCNTY13243N13243",13,0,411
"2006","NCNTY13249N13249",13,0,412
"2006","NCNTY13251N13251",13,0,343
"2006","NCNTY13253N13253",13,0,427
"2006","NCNTY13257N13257",13,0,322
"2006","NCNTY13259N13259",13,0,411
"2006","NCNTY13261N13261",13,0,361
"2006","NCNTY13263N13263",13,0,470
"2006","NCNTY13265N13265",13,0,411
"2006","NCNTY13267N13267",13,0,412
"2006","NCNTY13269N13269",13,0,412
"2006","NCNTY13271N13271",13,0,367
"2006","NCNTY13275N13275",13,0,446
"2006","NCNTY13277N13277",13,0,422
"2006","NCNTY13279N13279",13,0,323
"2006","NCNTY13281N13281",13,0,480
"2006","NCNTY13283N13283",13,0,368
"2006","NCNTY13285N13285",13,0,456
"2006","NCNTY13287N13287",13,0,411
"2006","NCNTY13291N13291",13,0,480
"2006","NCNTY13293N13293",13,0,345
"2006","NCNTY13299N13299",13,0,388
"2006","NCNTY13301N13301",13,0,411
"2006","NCNTY13303N13303",13,0,343
"2006","NCNTY13305N13305",13,0,352
"2006","NCNTY13307N13307",13,0,412
"2006","NCNTY13309N13309",13,0,368
"2006","NCNTY13311N13311",13,0,482
"2006","NCNTY13315N13315",13,0,368
"2006","NCNTY13317N13317",13,0,411
"2006","NCNTY13319N13319",13,0,365
"2006","METRO26180M26180",15,0,836
"2006","NCNTY15001N15001",15,0,695
"2006","NCNTY15005N15005",15,0,747
"2006","NCNTY15007N15007",15,0,808
"2006","NCNTY15009N15009",15,0,969
"2006","METRO14260M14260",16,0,520
"2006","METRO14260N16045",16,0,428
"2006","METRO17660M17660",16,0,509
"2006","METRO26820M26820",16,0,424
"2006","METRO30300M30300",16,0,449
"2006","METRO30860M30860",16,0,470
"2006","METRO38540M38540",16,0,380
"2006","NCNTY16003N16003",16,0,425
"2006","NCNTY16007N16007",16,0,375
"2006","NCNTY16009N16009",16,0,500
"2006","NCNTY16011N16011",16,0,380
"2006","NCNTY16013N16013",16,0,781
"2006","NCNTY16017N16017",16,0,486
"2006","NCNTY16021N16021",16,0,500
"2006","NCNTY16023N16023",16,0,409
"2006","NCNTY16025N16025",16,0,454
"2006","NCNTY16029N16029",16,0,375
"2006","NCNTY16031N16031",16,0,454
"2006","NCNTY16033N16033",16,0,409
"2006","NCNTY16035N16035",16,0,430
"2006","NCNTY16037N16037",16,0,409
"2006","NCNTY16039N16039",16,0,384
"2006","NCNTY16043N16043",16,0,409
"2006","NCNTY16047N16047",16,0,454
"2006","NCNTY16049N16049",16,0,411
"2006","NCNTY16053N16053",16,0,454
"2006","NCNTY16057N16057",16,0,431
"2006","NCNTY16059N16059",16,0,409
"2006","NCNTY16061N16061",16,0,430
"2006","NCNTY16063N16063",16,0,454
"2006","NCNTY16065N16065",16,0,418
"2006","NCNTY16067N16067",16,0,347
"2006","NCNTY16071N16071",16,0,375
"2006","NCNTY16075N16075",16,0,389
"2006","NCNTY16079N16079",16,0,432
"2006","NCNTY16081N16081",16,0,409
"2006","NCNTY16083N16083",16,0,412
"2006","NCNTY16085N16085",16,0,425
"2006","NCNTY16087N16087",16,0,425
"2006","METRO14060M14060",17,0,467
"2006","METRO16580M16580",17,0,458
"2006","METRO16980M16980",17,0,701
"2006","METRO16980MM2050",17,0,536
"2006","METRO16980MM3170",17,0,527
"2006","METRO19180M19180",17,0,364
"2006","METRO19340M19340",17,0,436
"2006","METRO19500M19500",17,0,371
"2006","METRO28100M28100",17,0,498
"2006","METRO37900M37900",17,0,426
"2006","METRO40420M40420",17,0,449
