"year","fips","state","county","bedrooms","rent"
"2006",602999999,6,29,0,516
"2006",603199999,6,31,0,537
"2006",603399999,6,33,0,509
"2006",603599999,6,35,0,491
"2006",603799999,6,37,0,848
"2006",603999999,6,39,0,513
"2006",604199999,6,41,0,1095
"2006",604399999,6,43,0,561
"2006",604599999,6,45,0,545
"2006",604799999,6,47,0,502
"2006",604999999,6,49,0,446
"2006",605199999,6,51,0,610
"2006",605399999,6,53,0,874
"2006",605599999,6,55,0,810
"2006",605799999,6,57,0,618
"2006",605999999,6,59,0,1034
"2006",606199999,6,61,0,742
"2006",606399999,6,63,0,484
"2006",606599999,6,65,0,715
"2006",606799999,6,67,0,742
"2006",606999999,6,69,0,642
"2006",607199999,6,71,0,715
"2006",607399999,6,73,0,836
"2006",607599999,6,75,0,1095
"2006",607799999,6,77,0,640
"2006",607999999,6,79,0,670
"2006",608199999,6,81,0,1095
"2006",608399999,6,83,0,893
"2006",608599999,6,85,0,939
"2006",608799999,6,87,0,941
"2006",608999999,6,89,0,498
"2006",609199999,6,91,0,581
"2006",609399999,6,93,0,417
"2006",609599999,6,95,0,850
"2006",609799999,6,97,0,797
"2006",609999999,6,99,0,615
"2006",610199999,6,101,0,467
"2006",610399999,6,103,0,458
"2006",610599999,6,105,0,464
"2006",610799999,6,107,0,542
"2006",610999999,6,109,0,526
"2006",611199999,6,111,0,1042
"2006",611399999,6,113,0,710
"2006",611599999,6,115,0,467
"2006",800199999,8,1,0,616
"2006",800399999,8,3,0,372
"2006",800599999,8,5,0,616
"2006",800799999,8,7,0,500
"2006",800999999,8,9,0,391
"2006",801199999,8,11,0,457
"2006",801399999,8,13,0,750
"2006",801499999,8,14,0,616
"2006",801599999,8,15,0,428
"2006",801799999,8,17,0,457
"2006",801999999,8,19,0,616
"2006",802199999,8,21,0,391
"2006",802399999,8,23,0,391
"2006",802599999,8,25,0,457
"2006",802799999,8,27,0,484
"2006",802999999,8,29,0,494
"2006",803199999,8,31,0,616
"2006",803399999,8,33,0,500
"2006",803599999,8,35,0,616
"2006",803799999,8,37,0,862
"2006",803999999,8,39,0,616
"2006",804199999,8,41,0,572
"2006",804399999,8,43,0,422
"2006",804599999,8,45,0,639
"2006",804799999,8,47,0,616
"2006",804999999,8,49,0,543
"2006",805199999,8,51,0,534
"2006",805399999,8,53,0,695
"2006",805599999,8,55,0,391
"2006",805799999,8,57,0,627
"2006",805999999,8,59,0,616
"2006",806199999,8,61,0,457
"2006",806399999,8,63,0,457
"2006",806599999,8,65,0,695
"2006",806799999,8,67,0,574
"2006",806999999,8,69,0,600
"2006",807199999,8,71,0,389
"2006",807399999,8,73,0,457
"2006",807599999,8,75,0,437
"2006",807799999,8,77,0,508
"2006",807999999,8,79,0,695
"2006",808199999,8,81,0,398
"2006",808399999,8,83,0,441
"2006",808599999,8,85,0,426
"2006",808799999,8,87,0,498
"2006",808999999,8,89,0,405
"2006",809199999,8,91,0,695
"2006",809399999,8,93,0,616
"2006",809599999,8,95,0,457
"2006",809799999,8,97,0,969
"2006",809999999,8,99,0,394
"2006",810199999,8,101,0,489
"2006",810399999,8,103,0,627
"2006",810599999,8,105,0,395
"2006",810799999,8,107,0,670
"2006",810999999,8,109,0,391
"2006",811199999,8,111,0,500
"2006",811399999,8,113,0,714
"2006",811599999,8,115,0,457
"2006",811799999,8,117,0,764
"2006",811999999,8,119,0,611
"2006",812199999,8,121,0,457
"2006",812399999,8,123,0,571
"2006",812599999,8,125,0,457
"2006",900104720,9,1,0,918
"2006",900108070,9,1,0,681
"2006",900108980,9,1,0,918
"2006",900118500,9,1,0,918
"2006",900118850,9,1,0,1072
"2006",900123890,9,1,0,681
"2006",900126620,9,1,0,681
"2006",900133620,9,1,0,1072
"2006",900148620,9,1,0,681
"2006",900150580,9,1,0,1072
"2006",900150860,9,1,0,918
"2006",900152980,9,1,0,918
"2006",900156060,9,1,0,1072
"2006",900163480,9,1,0,918
"2006",900163970,9,1,0,918
"2006",900168170,9,1,0,681
"2006",900168310,9,1,0,918
"2006",900173070,9,1,0,1072
"2006",900174190,9,1,0,681
"2006",900177200,9,1,0,681
"2006",900183430,9,1,0,1072
"2006",900183500,9,1,0,1072
"2006",900186370,9,1,0,1072
"2006",900302060,9,3,0,669
"2006",900304300,9,3,0,669
"2006",900305910,9,3,0,669
"2006",900308490,9,3,0,669
"2006",900310100,9,3,0,669
"2006",900312270,9,3,0,669
"2006",900322070,9,3,0,669
"2006",900322630,9,3,0,669
"2006",900324800,9,3,0,669
"2006",900325990,9,3,0,669
"2006",900327600,9,3,0,669
"2006",900331240,9,3,0,669
"2006",900332640,9,3,0,669
"2006",900337070,9,3,0,669
"2006",900337140,9,3,0,669
"2006",900344700,9,3,0,669
"2006",900345820,9,3,0,669
"2006",900350440,9,3,0,669
"2006",900352140,9,3,0,669
"2006",900360120,9,3,0,669
"2006",900365370,9,3,0,669
"2006",900368940,9,3,0,669
"2006",900370550,9,3,0,669
"2006",900371390,9,3,0,669
"2006",900374540,9,3,0,669
"2006",900382590,9,3,0,669
"2006",900384900,9,3,0,669
"2006",900387000,9,3,0,669
"2006",900387070,9,3,0,669
"2006",900502760,9,5,0,591
"2006",900504930,9,5,0,591
"2006",900508210,9,5,0,591
"2006",900510940,9,5,0,591
"2006",900516050,9,5,0,591
"2006",900517240,9,5,0,591
"2006",900532290,9,5,0,591
"2006",900537280,9,5,0,591
"2006",900540290,9,5,0,591
"2006",900543370,9,5,0,591
"2006",900549460,9,5,0,591
"2006",900551350,9,5,0,591
"2006",900552630,9,5,0,591
"2006",900553470,9,5,0,591
"2006",900554030,9,5,0,591
