"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"11020","Altoona, PA (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3071,3184,3358,3484,3686,3831
"11020","Altoona, PA (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),2671,2766,2898,2996,3197,3336
"11020","Altoona, PA (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),15,7,30,34,33,29
"11020","Altoona, PA (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),0,"(L)","(L)","(L)","(L)","(L)"
"11020","Altoona, PA (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"11020","Altoona, PA (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),21,16,15,16,67,66
"11020","Altoona, PA (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),139,141,141,147,161,151
"11020","Altoona, PA (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),580,564,591,598,595,607
"11020","Altoona, PA (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),268,253,247,281,266,254
"11020","Altoona, PA (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),19,21,21,22,26,26
"11020","Altoona, PA (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),81,75,77,86,83,55
"11020","Altoona, PA (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),29,35,35,50,49,56
"11020","Altoona, PA (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),49,46,37,42,18,19
"11020","Altoona, PA (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),29,25,25,30,38,44
"11020","Altoona, PA (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),17,9,"(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),9,7,"(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),4,3,4,3,3,3
"11020","Altoona, PA (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),10,11,12,12,13,13
"11020","Altoona, PA (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),312,311,344,317,329,353
"11020","Altoona, PA (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),40,43,44,40,43,44
"11020","Altoona, PA (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"11020","Altoona, PA (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
