"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"39660","Rapid City, SD (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3358,3748,3786,4007,4221,4450
"39660","Rapid City, SD (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),2718,3059,3029,3196,3388,3621
"39660","Rapid City, SD (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)",16,"(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),18,8,36,24,39,4
"39660","Rapid City, SD (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)",9,"(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)",8,8,"(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",3,4,"(D)","(D)"
"39660","Rapid City, SD (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),57,90,94,106,136,145
"39660","Rapid City, SD (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),189,195,200,222,241,243
"39660","Rapid City, SD (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),303,412,"(D)",308,292,272
"39660","Rapid City, SD (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),262,381,"(D)",279,263,242
"39660","Rapid City, SD (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),26,29,32,44,43,30
"39660","Rapid City, SD (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),30,38,39,57,42,48
"39660","Rapid City, SD (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"39660","Rapid City, SD (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),17,23,23,23,28,27
"39660","Rapid City, SD (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
