"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"20940","El Centro, CA (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),2682,3052,3183,3245,3472,3662
"20940","El Centro, CA (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),1888,2194,2265,2258,2416,2551
"20940","El Centro, CA (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)",674,"(D)","(D)","(D)","(D)"
"20940","El Centro, CA (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),357,517,432,362,360,339
"20940","El Centro, CA (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)",157,"(D)","(D)","(D)","(D)"
"20940","El Centro, CA (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)",8,"(D)","(D)","(D)","(D)"
"20940","El Centro, CA (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)",1
"20940","El Centro, CA (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"20940","El Centro, CA (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",0,0,0
"20940","El Centro, CA (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),39,"(D)",80,113,97,105
"20940","El Centro, CA (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),88,88,86,104,131,120
"20940","El Centro, CA (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),107,152,145,139,143,163
"20940","El Centro, CA (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),56,57,62,65,64,67
"20940","El Centro, CA (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(D)",1,"(D)","(D)"
"20940","El Centro, CA (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
