"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"13460","Bend, OR (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),3830,4127,4520,4911,5391,6011
"13460","Bend, OR (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),3455,3686,4049,4456,4938,5519
"13460","Bend, OR (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),33,36,42,40,41,45
"13460","Bend, OR (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),16,18,16,20,16,16
"13460","Bend, OR (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),18,19,26,20,24,29
"13460","Bend, OR (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),8,9,8,11,12,13
"13460","Bend, OR (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"13460","Bend, OR (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"13460","Bend, OR (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"13460","Bend, OR (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),57,67,75,82,87,99
"13460","Bend, OR (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),270,274,326,372,467,538
"13460","Bend, OR (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),295,318,327,415,438,536
"13460","Bend, OR (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),258,271,281,364,"(D)","(D)"
"13460","Bend, OR (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),118,98,107,141,135,138
"13460","Bend, OR (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),8,9,8,13,11,14
"13460","Bend, OR (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"13460","Bend, OR (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),16,18,20,25,29,32
"13460","Bend, OR (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),8,9,6,9,9,9
"13460","Bend, OR (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),24,41,26,47,54,81
"13460","Bend, OR (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)",4,10,15,18,33
"13460","Bend, OR (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
