"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"27860","Jonesboro, AR (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),2752,2826,3036,3211,3321,3472
"27860","Jonesboro, AR (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),2434,2487,2671,2817,2897,3024
"27860","Jonesboro, AR (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),49,24,121,95,18,59
"27860","Jonesboro, AR (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"27860","Jonesboro, AR (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)",0,0,0,0,"(D)"
"27860","Jonesboro, AR (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),22,24,"(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),112,117,130,133,137,138
"27860","Jonesboro, AR (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),577,601,616,648,654,592
"27860","Jonesboro, AR (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),401,390,372,378,387,347
"27860","Jonesboro, AR (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",79,"(D)"
"27860","Jonesboro, AR (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"27860","Jonesboro, AR (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),25,24,21,14,4,5
"27860","Jonesboro, AR (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",14,"(D)"
"27860","Jonesboro, AR (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),176,211,244,270,267,245
"27860","Jonesboro, AR (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),"(L)",0,0,0,0,0
"27860","Jonesboro, AR (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)",12,10,"(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",30,"       Printing and related support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",36,37,36,52
"27860","Jonesboro, AR (MSA)",31,"       Petroleum and coal products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),0,"(D)","(D)",0,0,0
"27860","Jonesboro, AR (MSA)",32,"       Chemical manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1,"(D)","(D)","(D)",1,2
"27860","Jonesboro, AR (MSA)",33,"       Plastics and rubber products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",34,"   Wholesale trade",200,GDP by Metropolitan Area (millions of current dollars),164,169,180,203,221,222
"27860","Jonesboro, AR (MSA)",35,"   Retail trade",200,GDP by Metropolitan Area (millions of current dollars),224,228,236,258,286,299
"27860","Jonesboro, AR (MSA)",36,"   Transportation and warehousing, excluding Postal Service",200,GDP by Metropolitan Area (millions of current dollars),73,77,"(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",37,"     Air transportation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(L)","(L)","(L)","(L)"
"27860","Jonesboro, AR (MSA)",38,"     Rail transportation",200,GDP by Metropolitan Area (millions of current dollars),9,9,11,10,12,13
"27860","Jonesboro, AR (MSA)",39,"     Water transportation",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"27860","Jonesboro, AR (MSA)",40,"     Truck transportation",200,GDP by Metropolitan Area (millions of current dollars),44,45,47,54,60,67
"27860","Jonesboro, AR (MSA)",41,"     Transit and ground passenger transportation",200,GDP by Metropolitan Area (millions of current dollars),1,1,1,1,1,1
"27860","Jonesboro, AR (MSA)",42,"     Pipeline transportation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",43,"     Other transportation and support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",44,"     Warehousing and storage",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",8,"(D)",8
"27860","Jonesboro, AR (MSA)",45,"   Information",200,GDP by Metropolitan Area (millions of current dollars),69,60,60,64,67,66
"27860","Jonesboro, AR (MSA)",46,"     Publishing including software",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",47,"     Motion picture and sound recording industries",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",48,"     Broadcasting and telecommunications",200,GDP by Metropolitan Area (millions of current dollars),57,49,50,52,55,55
"27860","Jonesboro, AR (MSA)",49,"     Information and data processing services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",1,"(D)","(D)"
"27860","Jonesboro, AR (MSA)",50,"   Finance and insurance",200,GDP by Metropolitan Area (millions of current dollars),124,127,126,126,135,139
"27860","Jonesboro, AR (MSA)",51,"     Federal Reserve banks, credit intermediation and related services",200,GDP by Metropolitan Area (millions of current dollars),72,79,82,"(D)","(D)",95
"27860","Jonesboro, AR (MSA)",52,"     Securities, commodity contracts, investments",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",8,8,"(D)"
"27860","Jonesboro, AR (MSA)",53,"     Insurance carriers and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",54,"     Funds, trusts, and other financial vehicles",200,GDP by Metropolitan Area (millions of current dollars),"(D)",0,0,0,0,0
"27860","Jonesboro, AR (MSA)",55,"   Real estate and rental and leasing",200,GDP by Metropolitan Area (millions of current dollars),417,393,395,395,432,489
"27860","Jonesboro, AR (MSA)",56,"     Real estate",200,GDP by Metropolitan Area (millions of current dollars),388,365,372,368,398,455
"27860","Jonesboro, AR (MSA)",57,"     Rental and leasing services and lessors of intangible assets",200,GDP by Metropolitan Area (millions of current dollars),29,28,23,27,34,34
"27860","Jonesboro, AR (MSA)",58,"   Professional and technical services",200,GDP by Metropolitan Area (millions of current dollars),62,69,72,87,83,88
"27860","Jonesboro, AR (MSA)",62,"   Management of companies and enterprises",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",63,"   Administrative and waste services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",64,"     Administrative and support services",200,GDP by Metropolitan Area (millions of current dollars),37,"(D)","(D)","(D)","(D)",71
"27860","Jonesboro, AR (MSA)",65,"     Waste management and remediation services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",66,"   Educational services",200,GDP by Metropolitan Area (millions of current dollars),1,2,2,3,"(D)",5
"27860","Jonesboro, AR (MSA)",67,"   Health care and social assistance",200,GDP by Metropolitan Area (millions of current dollars),308,346,366,402,"(D)",465
"27860","Jonesboro, AR (MSA)",68,"     Ambulatory health care services",200,GDP by Metropolitan Area (millions of current dollars),182,200,212,234,"(D)",263
"27860","Jonesboro, AR (MSA)",69,"     Hospitals and nursing and residential care facilities",200,GDP by Metropolitan Area (millions of current dollars),101,115,121,133,140,145
"27860","Jonesboro, AR (MSA)",70,"     Social assistance",200,GDP by Metropolitan Area (millions of current dollars),25,31,33,35,39,57
"27860","Jonesboro, AR (MSA)",71,"   Arts, entertainment, and recreation",200,GDP by Metropolitan Area (millions of current dollars),16,16,16,16,14,14
"27860","Jonesboro, AR (MSA)",72,"     Performing arts, museums, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",73,"     Amusement, gambling, and recreation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"27860","Jonesboro, AR (MSA)",74,"   Accommodation and food services",200,GDP by Metropolitan Area (millions of current dollars),65,73,74,79,80,91
"27860","Jonesboro, AR (MSA)",75,"     Accommodation",200,GDP by Metropolitan Area (millions of current dollars),9,10,"(D)",11,12,"(D)"
"27860","Jonesboro, AR (MSA)",76,"     Food services and drinking places",200,GDP by Metropolitan Area (millions of current dollars),56,62,"(D)",68,68,"(D)"
"27860","Jonesboro, AR (MSA)",77,"   Other services, except government",200,GDP by Metropolitan Area (millions of current dollars),69,74,78,85,83,85
"27860","Jonesboro, AR (MSA)",78," Government",200,GDP by Metropolitan Area (millions of current dollars),318,339,365,394,424,448
"27860","Jonesboro, AR (MSA)",79,"   Federal civilian",200,GDP by Metropolitan Area (millions of current dollars),36,40,40,41,40,38
"27860","Jonesboro, AR (MSA)",80,"   Federal military",200,GDP by Metropolitan Area (millions of current dollars),12,15,21,22,29,27
"27860","Jonesboro, AR (MSA)",81,"   State and local",200,GDP by Metropolitan Area (millions of current dollars),270,285,304,331,355,383
"27860","Jonesboro, AR (MSA)",99,"Natural resources and mining",200,GDP by Metropolitan Area (millions of current dollars),81,54,153,133,54,101
"27860","Jonesboro, AR (MSA)",100,"Trade",200,GDP by Metropolitan Area (millions of current dollars),388,398,416,462,507,521
"27860","Jonesboro, AR (MSA)",101,"Transportation and utilities",200,GDP by Metropolitan Area (millions of current dollars),95,100,103,114,124,135
"27860","Jonesboro, AR (MSA)",102,"Financial activities",200,GDP by Metropolitan Area (millions of current dollars),541,519,521,521,568,628
"27860","Jonesboro, AR (MSA)",103,"Professional and business services",200,GDP by Metropolitan Area (millions of current dollars),112,127,136,158,175,184
"27860","Jonesboro, AR (MSA)",104,"Education and health services",200,GDP by Metropolitan Area (millions of current dollars),309,348,368,405,434,470
