"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"29140","Lafayette, IN (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),5432,5813,6124,6386,6668,6572
"29140","Lafayette, IN (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),4374,4751,4869,5236,5426,5264
"29140","Lafayette, IN (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),40,52,52,125,77,97
"29140","Lafayette, IN (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"29140","Lafayette, IN (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,0,0,0,0,0
"29140","Lafayette, IN (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),240,240,219,231,232,239
"29140","Lafayette, IN (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1752,1822,1850,1940,2017,1704
"29140","Lafayette, IN (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",106,92
"29140","Lafayette, IN (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)",63,53,45,52,56
"29140","Lafayette, IN (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),27,27,29,27,35,"(D)"
"29140","Lafayette, IN (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),21,25,19,18,20,22
"29140","Lafayette, IN (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",22,"       Other transportation equipment manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",23,"       Furniture and related product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",24,"       Miscellaneous manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",25,"     Nondurable goods",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",26,"       Food product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",27,"       Textile and textile product mills",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",28,"       Apparel manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",29,"       Paper manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",30,"       Printing and related support activities",200,GDP by Metropolitan Area (millions of current dollars),7,"(D)","(D)","(D)",7,"(D)"
"29140","Lafayette, IN (MSA)",31,"       Petroleum and coal products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",32,"       Chemical manufacturing",200,GDP by Metropolitan Area (millions of current dollars),432,452,"(D)","(D)","(D)",376
"29140","Lafayette, IN (MSA)",33,"       Plastics and rubber products manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",34,"   Wholesale trade",200,GDP by Metropolitan Area (millions of current dollars),160,169,170,185,194,203
"29140","Lafayette, IN (MSA)",35,"   Retail trade",200,GDP by Metropolitan Area (millions of current dollars),354,375,382,389,402,414
"29140","Lafayette, IN (MSA)",36,"   Transportation and warehousing, excluding Postal Service",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",37,"     Air transportation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",1,1
"29140","Lafayette, IN (MSA)",38,"     Rail transportation",200,GDP by Metropolitan Area (millions of current dollars),18,19,21,25,30,34
"29140","Lafayette, IN (MSA)",39,"     Water transportation",200,GDP by Metropolitan Area (millions of current dollars),2,2,2,3,3,2
"29140","Lafayette, IN (MSA)",40,"     Truck transportation",200,GDP by Metropolitan Area (millions of current dollars),58,78,83,96,"(D)",122
"29140","Lafayette, IN (MSA)",41,"     Transit and ground passenger transportation",200,GDP by Metropolitan Area (millions of current dollars),1,1,2,2,"(D)",2
"29140","Lafayette, IN (MSA)",42,"     Pipeline transportation",200,GDP by Metropolitan Area (millions of current dollars),1,"(L)","(L)","(L)","(L)","(L)"
"29140","Lafayette, IN (MSA)",43,"     Other transportation and support activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",44,"     Warehousing and storage",200,GDP by Metropolitan Area (millions of current dollars),6,5,5,4,"(D)","(D)"
"29140","Lafayette, IN (MSA)",45,"   Information",200,GDP by Metropolitan Area (millions of current dollars),71,75,"(D)",85,90,"(D)"
"29140","Lafayette, IN (MSA)",46,"     Publishing including software",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",47,"     Motion picture and sound recording industries",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",6,"(D)","(D)"
"29140","Lafayette, IN (MSA)",48,"     Broadcasting and telecommunications",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",49,"     Information and data processing services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",3,"(D)","(D)"
"29140","Lafayette, IN (MSA)",50,"   Finance and insurance",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",301,312
"29140","Lafayette, IN (MSA)",51,"     Federal Reserve banks, credit intermediation and related services",200,GDP by Metropolitan Area (millions of current dollars),101,128,137,143,136,151
"29140","Lafayette, IN (MSA)",52,"     Securities, commodity contracts, investments",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",53,"     Insurance carriers and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",157,"(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",54,"     Funds, trusts, and other financial vehicles",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(L)","(L)","(L)",1,"(D)"
"29140","Lafayette, IN (MSA)",55,"   Real estate and rental and leasing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",592,611
"29140","Lafayette, IN (MSA)",56,"     Real estate",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",57,"     Rental and leasing services and lessors of intangible assets",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",58,"   Professional and technical services",200,GDP by Metropolitan Area (millions of current dollars),131,137,151,172,183,194
"29140","Lafayette, IN (MSA)",62,"   Management of companies and enterprises",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",63,"   Administrative and waste services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",64,"     Administrative and support services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",71,"(D)","(D)"
"29140","Lafayette, IN (MSA)",65,"     Waste management and remediation services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",66,"   Educational services",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",67,"   Health care and social assistance",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",68,"     Ambulatory health care services",200,GDP by Metropolitan Area (millions of current dollars),265,"(D)","(D)",359,378,408
"29140","Lafayette, IN (MSA)",69,"     Hospitals and nursing and residential care facilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",70,"     Social assistance",200,GDP by Metropolitan Area (millions of current dollars),31,"(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",71,"   Arts, entertainment, and recreation",200,GDP by Metropolitan Area (millions of current dollars),"(D)",19,21,22,22,23
"29140","Lafayette, IN (MSA)",72,"     Performing arts, museums, and related activities",200,GDP by Metropolitan Area (millions of current dollars),3,4,"(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",73,"     Amusement, gambling, and recreation",200,GDP by Metropolitan Area (millions of current dollars),"(D)",15,"(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",74,"   Accommodation and food services",200,GDP by Metropolitan Area (millions of current dollars),137,143,149,160,165,172
"29140","Lafayette, IN (MSA)",75,"     Accommodation",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",76,"     Food services and drinking places",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29140","Lafayette, IN (MSA)",77,"   Other services, except government",200,GDP by Metropolitan Area (millions of current dollars),132,141,143,152,164,"(D)"
"29140","Lafayette, IN (MSA)",78," Government",200,GDP by Metropolitan Area (millions of current dollars),1058,1062,1255,1150,1241,1308
"29140","Lafayette, IN (MSA)",79,"   Federal civilian",200,GDP by Metropolitan Area (millions of current dollars),48,49,52,55,56,59
"29140","Lafayette, IN (MSA)",80,"   Federal military",200,GDP by Metropolitan Area (millions of current dollars),18,22,28,30,33,34
"29140","Lafayette, IN (MSA)",81,"   State and local",200,GDP by Metropolitan Area (millions of current dollars),992,991,1175,1065,1152,1215
"29140","Lafayette, IN (MSA)",99,"Natural resources and mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)",69,"(D)",145,95,117
"29140","Lafayette, IN (MSA)",100,"Trade",200,GDP by Metropolitan Area (millions of current dollars),514,544,552,575,596,616
"29140","Lafayette, IN (MSA)",101,"Transportation and utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)",171,"(D)",202,229,246
"29140","Lafayette, IN (MSA)",102,"Financial activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)",799,"(D)",866,893,923
"29140","Lafayette, IN (MSA)",103,"Professional and business services",200,GDP by Metropolitan Area (millions of current dollars),"(D)",242,"(D)",285,309,309
