"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"29420","Lake Havasu City-Kingman, AZ (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),2256,2426,2636,2815,3226,3600
"29420","Lake Havasu City-Kingman, AZ (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),1918,2077,2269,2418,2792,3129
"29420","Lake Havasu City-Kingman, AZ (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",5,5,7,"(D)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),2,"(L)",4,3,6,2
"29420","Lake Havasu City-Kingman, AZ (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",1,1,1,"(D)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",13,16,21,"(D)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(L)","(L)","(L)","(L)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),9,10,"(D)","(D)","(D)","(D)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"29420","Lake Havasu City-Kingman, AZ (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),54,69,66,74,73,79
"29420","Lake Havasu City-Kingman, AZ (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),249,295,287,306,387,392
"29420","Lake Havasu City-Kingman, AZ (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),171,184,195,224,250,287
