MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
10000,2,70,982,726,738,1229,1376,AK,Dillingham,4012,40,,ALASKA,200070
10000,2,90,812,455,619,1117,1316,AK,Fairbanks North Star,77720,40,,ALASKA,200090
10000,2,100,767,544,673,1043,1074,AK,Haines,2117,40,,ALASKA,200100
10000,2,110,1202,818,944,1599,1662,AK,Juneau,26751,40,,ALASKA,200110
10000,2,122,779,507,646,1081,1277,AK,Kenai Peninsula,40802,40,,ALASKA,200122
10000,2,130,987,603,738,1374,1446,AK,Ketchikan Gateway,13828,40,,ALASKA,200130
10000,2,150,1138,796,875,1422,1844,AK,Kodiak Island,13309,40,,ALASKA,200150
10000,2,164,844,463,751,1053,1182,AK,Lake & Peninsula,1668,40,,ALASKA,200164
10000,2,170,783,514,696,1064,1257,AK,Matanuska-Susitna,39683,40,,ALASKA,200170
10000,2,180,1074,773,956,1495,1686,AK,Nome,8288,40,,ALASKA,200180
10000,2,185,1133,894,916,1574,1834,AK,North Slope,5979,40,,ALASKA,200185
10000,2,188,1176,931,1048,1637,1931,AK,Northwest Artic,6113,40,,ALASKA,200188
10000,2,201,763,417,663,1058,1119,AK,Pr.Wales-Outer Ketchikan,6278,40,,ALASKA,200201
10000,2,220,856,642,764,1192,1407,AK,Sitka,8588,40,,ALASKA,200220
10000,2,232,664,504,513,833,934,AK,Skagway-Hoonan-Angoon,4385,40,,ALASKA,200232
10000,2,240,653,516,542,818,918,AK,Southeast Fairbanks,5913,40,,ALASKA,200240
10000,2,261,833,612,750,1063,1267,AK,Valdez-Cordova,9952,40,,ALASKA,200261
10000,2,270,743,437,658,928,1040,AK,Wade Hampton,5791,40,,ALASKA,200270
10000,2,280,792,442,651,1009,1108,AK,Wrangell-Petersburg,7042,40,,ALASKA,200280
10000,2,290,736,579,652,920,1065,AK,Yukon-Koyukuk,8478,40,,ALASKA,200290
2620,4,5,907,646,699,1216,1461,AZ,Coconino,96591,40,"Flagstaff, AZ",ARIZONA,2620
4120,4,15,827,585,694,1150,1359,AZ,Mohave,93497,50,"Las Vegas, NV-AZ",ARIZONA,4120
6200,4,13,806,530,641,1121,1320,AZ,Maricopa,2122101,50,"Phoenix-Mesa, AZ",ARIZONA,6200
6200,4,21,806,530,641,1121,1320,AZ,Pinal,116379,50,"Phoenix-Mesa, AZ",ARIZONA,6200
8520,4,19,716,449,539,996,1175,AZ,Pima,666880,40,"Tucson, AZ",ARIZONA,8520
9360,4,27,670,434,503,931,938,AZ,Yuma,106895,40,"Yuma, AZ",ARIZONA,9360
10000,4,1,561,420,442,733,871,AZ,Apache,61591,40,,ARIZONA,400001
10000,4,3,571,427,450,746,886,AZ,Cochise,97624,40,,ARIZONA,400003
10000,4,7,561,420,442,733,871,AZ,Gila,40216,40,,ARIZONA,400007
10000,4,9,561,420,442,733,871,AZ,Graham,26554,40,,ARIZONA,400009
10000,4,11,561,420,442,733,871,AZ,Greenlee,8008,40,,ARIZONA,400011
10000,4,12,571,427,449,745,885,AZ,La Paz,13844,40,,ARIZONA,400012
10000,4,17,571,427,449,745,886,AZ,Navajo,77658,40,,ARIZONA,400017
10000,4,23,575,418,462,729,867,AZ,Santa Cruz,29676,40,,ARIZONA,400023
10000,4,25,608,437,455,848,933,AZ,Yavapai,107714,40,,ARIZONA,400025
2580,5,7,580,350,441,783,810,AR,Benton,97499,40,"Fayetteville-Springdale-Rogers, AR",ARKANSAS,2580
2580,5,143,580,350,441,783,810,AR,Washington,113409,40,"Fayetteville-Springdale-Rogers, AR",ARKANSAS,2580
2720,5,33,511,383,388,682,716,AR,Crawford,42493,40,"Fort Smith, AR-OK",ARKANSAS,2720
2720,5,131,511,383,388,682,716,AR,Sebastian,99590,40,"Fort Smith, AR-OK",ARKANSAS,2720
3700,5,31,528,413,449,728,769,AR,Craighead,68956,40,"Jonesboro, AR",ARKANSAS,3700
4400,5,45,572,433,481,791,923,AR,Faulkner,60006,40,"Little Rock-North Little Rock, AR",ARKANSAS,4400
4400,5,85,572,433,481,791,923,AR,Lonoke,39268,40,"Little Rock-North Little Rock, AR",ARKANSAS,4400
4400,5,119,572,433,481,791,923,AR,Pulaski,349660,40,"Little Rock-North Little Rock, AR",ARKANSAS,4400
4400,5,125,572,433,481,791,923,AR,Saline,64183,40,"Little Rock-North Little Rock, AR",ARKANSAS,4400
4920,5,35,674,493,575,937,984,AR,Crittenden,49939,40,"Memphis, TN-AR-MS",ARKANSAS,4920
6240,5,69,513,329,390,647,839,AR,Jefferson,85487,40,"Pine Bluff, AR",ARKANSAS,6240
8360,5,91,530,355,434,699,741,AR,Miller,38467,40,"Texarkana, TX-Texarkana, AR",ARKANSAS,8360
10000,5,1,418,301,326,571,619,AR,Arkansas,21653,40,,ARKANSAS,500001
10000,5,3,418,275,326,554,655,AR,Ashley,24319,40,,ARKANSAS,500003
10000,5,5,466,275,350,599,730,AR,Baxter,31186,40,,ARKANSAS,500005
10000,5,9,426,316,321,594,701,AR,Boone,28297,40,,ARKANSAS,500009
10000,5,11,418,275,326,554,619,AR,Bradley,11793,40,,ARKANSAS,500011
10000,5,13,418,275,326,554,619,AR,Calhoun,5826,40,,ARKANSAS,500013
10000,5,15,418,323,353,554,662,AR,Carroll,18654,40,,ARKANSAS,500015
10000,5,17,418,275,326,554,619,AR,Chicot,15713,40,,ARKANSAS,500017
10000,5,19,430,305,331,561,678,AR,Clark,21437,40,,ARKANSAS,500019
10000,5,21,418,275,326,554,619,AR,Clay,18107,40,,ARKANSAS,500021
10000,5,23,418,311,326,554,627,AR,Cleburne,19411,40,,ARKANSAS,500023
10000,5,25,418,275,326,554,619,AR,Cleveland,7781,40,,ARKANSAS,500025
