State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",620,781,956,1380,1513,AK,6174
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",620,781,956,1380,1513,AK,10195
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",791,857,1123,1375,1416,AK,7028
2,NCNTY02280N02280,"Wrangell-Petersburg Census Area, AK",791,857,1123,1375,1416,AK,6684
2,NCNTY02282N02282,"Yakutat City and Borough, AK",791,857,1123,1375,1416,AK,808
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",791,857,1123,1375,1416,AK,6551
4,METRO22380M22380,"Flagstaff, AZ MSA",759,874,996,1296,1706,AZ,116320
4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",553,648,782,1139,1359,AZ,3251876
4,METRO39140M39140,"Prescott, AZ MSA",631,642,791,1152,1200,AZ,167517
4,METRO46060M46060,"Tucson, AZ MSA",503,591,772,1114,1251,AZ,843746
4,METRO49740M49740,"Yuma, AZ MSA",553,617,733,1045,1233,AZ,160026
4,NCNTY04001N04001,"Apache County, AZ",370,494,547,766,938,AZ,69423
4,NCNTY04003N04003,"Cochise County, AZ",445,523,663,921,1166,AZ,117755
4,NCNTY04007N04007,"Gila County, AZ",502,588,773,1108,1141,AZ,51335
4,NCNTY04009N04009,"Graham County, AZ",504,544,606,856,952,AZ,33489
4,NCNTY04011N04011,"Greenlee County, AZ",459,521,657,909,1066,AZ,8547
4,NCNTY04012N04012,"La Paz County, AZ",505,506,639,934,960,AZ,19715
4,NCNTY04015N04015,"Mohave County, AZ",570,609,719,1015,1153,AZ,155032
4,NCNTY04017N04017,"Navajo County, AZ",455,505,653,886,1137,AZ,97470
4,NCNTY04023N04023,"Santa Cruz County, AZ",523,524,674,979,1008,AZ,38381
5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",457,483,614,892,955,AR,325364
5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",368,416,524,708,783,AR,168318
5,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",308,393,474,589,702,AR,17771
5,METRO26300M26300,"Hot Springs, AR MSA",410,513,633,815,841,AR,88068
