State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
4,40000007,471,550,724,1036,1067,Gila County,9999,AZ,51335
4,40000009,470,510,567,802,892,Graham County,9999,AZ,33489
4,40000011,428,487,615,851,997,Greenlee County,9999,AZ,8547
4,40000012,470,471,597,870,897,La Paz County,9999,AZ,19715
4,40000017,427,473,611,827,1063,Navajo County,9999,AZ,97470
4,40000023,491,492,629,914,941,Santa Cruz County,9999,AZ,38381
4,40000025,591,599,740,1079,1121,Yavapai County,9999,AZ,167517
5,2580,431,454,581,845,912,"Fayetteville--Springdale--Rogers, AR MSA",2580,AR,311121
5,2720,346,392,507,689,782,"Fort Smith, AR--OK MSA",2720,AR,168318
5,3700,429,447,517,733,755,"Jonesboro, AR MSA",3700,AR,82148
5,4400,497,552,613,844,923,"Little Rock--North Little Rock, AR MSA",4400,AR,583845
5,4920,559,605,673,900,938,"Memphis, TN--AR--MS MSA",4920,AR,50866
5,6240,368,446,558,717,771,"Pine Bluff, AR MSA",6240,AR,84278
5,8360,436,437,537,676,736,"Texarkana, TX--Texarkana, AR MSA",8360,AR,40443
5,50000001,321,372,489,648,666,Arkansas County,9999,AR,20749
5,50000003,349,401,504,613,631,Ashley County,9999,AR,24209
5,50000005,364,413,511,667,896,Baxter County,9999,AR,38386
5,50000009,399,408,480,614,680,Boone County,9999,AR,33948
5,50000011,339,346,455,569,619,Bradley County,9999,AR,12600
5,50000013,332,413,459,586,735,Calhoun County,9999,AR,5744
5,50000015,400,401,511,625,896,Carroll County,9999,AR,25357
5,50000017,339,346,455,569,619,Chicot County,9999,AR,14117
5,50000019,409,410,491,650,669,Clark County,9999,AR,23546
5,50000021,306,318,385,516,532,Clay County,9999,AR,17609
5,50000023,442,443,535,689,938,Cleburne County,9999,AR,24046
5,50000025,339,346,455,569,619,Cleveland County,9999,AR,8571
5,50000027,313,400,481,614,733,Columbia County,9999,AR,25603
5,50000029,403,404,485,620,649,Conway County,9999,AR,20336
5,50000037,396,397,476,692,723,Cross County,9999,AR,19526
5,50000039,332,413,459,586,735,Dallas County,9999,AR,9210
5,50000041,339,346,455,585,619,Desha County,9999,AR,15341
5,50000043,285,362,440,577,768,Drew County,9999,AR,18723
5,50000047,283,364,436,543,647,Franklin County,9999,AR,17771
5,50000049,361,362,456,598,693,Fulton County,9999,AR,11642
5,50000051,383,479,590,761,784,Garland County,9999,AR,88068
5,50000053,395,396,475,688,710,Grant County,9999,AR,16464
5,50000055,341,425,471,686,708,Greene County,9999,AR,37331
5,50000057,351,404,485,579,670,Hempstead County,9999,AR,23587
5,50000059,392,393,472,628,756,Hot Spring County,9999,AR,30353
5,50000061,294,349,426,541,557,Howard County,9999,AR,14300
5,50000063,351,432,485,614,700,Independence County,9999,AR,34233
5,50000065,361,362,456,598,693,Izard County,9999,AR,13249
5,50000067,335,347,402,536,551,Jackson County,9999,AR,18418
5,50000071,300,411,461,622,811,Johnson County,9999,AR,22781
5,50000073,383,418,491,587,676,Lafayette County,9999,AR,8559
5,50000075,276,347,424,527,657,Lawrence County,9999,AR,17774
5,50000077,372,373,455,621,715,Lee County,9999,AR,12580
5,50000079,339,346,455,569,619,Lincoln County,9999,AR,14492
5,50000081,383,418,491,598,676,Little River County,9999,AR,13628
5,50000083,270,375,417,606,642,Logan County,9999,AR,22486
5,50000087,398,399,478,619,688,Madison County,9999,AR,14243
5,50000089,360,361,451,605,656,Marion County,9999,AR,16140
5,50000093,323,395,486,653,768,Mississippi County,9999,AR,51979
5,50000095,386,387,466,613,631,Monroe County,9999,AR,10254
5,50000097,361,431,541,687,709,Montgomery County,9999,AR,9245
5,50000099,383,418,491,587,676,Nevada County,9999,AR,9955
5,50000101,398,399,478,619,688,Newton County,9999,AR,8608
5,50000103,295,367,408,554,624,Ouachita County,9999,AR,28790
5,50000105,376,382,475,645,664,Perry County,9999,AR,10209
5,50000107,363,364,436,549,567,Phillips County,9999,AR,26445
5,50000109,383,418,491,587,676,Pike County,9999,AR,11303
5,50000111,284,359,437,583,656,Poinsett County,9999,AR,25614
5,50000113,345,375,417,575,652,Polk County,9999,AR,20229
5,50000115,352,377,489,694,715,Pope County,9999,AR,54469
5,50000117,386,387,466,613,631,Prairie County,9999,AR,9539
5,50000121,294,371,452,541,772,Randolph County,9999,AR,18195
5,50000123,378,414,481,684,813,St. Francis County,9999,AR,29329
5,50000127,356,357,431,562,754,Scott County,9999,AR,10996
5,50000129,398,399,478,619,688,Searcy County,9999,AR,8261
5,50000133,348,375,421,573,644,Sevier County,9999,AR,15757
5,50000135,382,383,460,575,593,Sharp County,9999,AR,17119
5,50000137,361,362,456,598,693,Stone County,9999,AR,11499
5,50000139,409,425,492,627,864,Union County,9999,AR,45629
5,50000141,364,365,437,577,680,Van Buren County,9999,AR,16192
5,50000145,385,386,492,672,693,White County,9999,AR,67165
5,50000147,386,387,466,613,631,Woodruff County,9999,AR,8741
5,50000149,377,378,459,598,617,Yell County,9999,AR,21139
6,680,501,540,639,932,1123,"Bakersfield, CA MSA",680,CA,661645
6,1620,490,580,700,985,1171,"Chico--Paradise, CA MSA",1620,CA,203171
6,2840,504,556,650,947,1062,"Fresno, CA MSA",2840,CA,922516
6,4480,784,945,1186,1614,1990,"Los Angeles--Long Beach, CA PMSA",4480,CA,9519338
6,4940,486,536,646,943,1136,"Merced, CA MSA",4940,CA,210554
6,5170,595,645,754,1075,1282,"Modesto, CA MSA",5170,CA,446997
6,5775,945,1132,1342,1870,2293,"Oakland, CA PMSA",5775,CA,2392557
6,5945,979,1098,1317,1885,2165,"Orange County, CA PMSA",5945,CA,2846289
6,6690,483,549,667,971,1170,"Redding, CA MSA",6690,CA,163256
6,6780,621,679,792,1125,1315,"Riverside--San Bernardino, CA PMSA",6780,CA,3254821
6,6920,707,812,971,1403,1639,"Sacramento, CA PMSA",6920,CA,1628197
6,7120,828,931,1096,1596,1662,"Salinas, CA MSA",7120,CA,401762
6,7320,854,975,1183,1725,2080,"San Diego, CA MSA",7320,CA,2813833
6,7360,1065,1305,1638,2172,2334,"San Francisco, CA PMSA",7360,CA,1731183
6,7400,942,1107,1313,1779,1958,"San Jose, CA PMSA",7400,CA,1682585
6,7460,648,775,947,1379,1457,"San Luis Obispo--Atascadero--Paso Robles, CA MSA",7460,CA,246681
6,7480,866,974,1145,1446,1739,"Santa Barbara--Santa Maria--Lompoc, CA MSA",7480,CA,399347
6,7485,945,1111,1455,2118,2267,"Santa Cruz--Watsonville, CA PMSA",7485,CA,255602
6,7500,801,970,1211,1764,2050,"Santa Rosa, CA PMSA",7500,CA,458614
6,8120,563,635,779,1075,1367,"Stockton--Lodi, CA MSA",8120,CA,563598
6,8720,842,921,1083,1490,1815,"Vallejo--Fairfield--Napa, CA PMSA",8720,CA,518821
6,8735,986,1093,1382,2011,2319,"Ventura, CA PMSA",8735,CA,753197
6,8780,524,558,640,933,963,"Visalia--Tulare--Porterville, CA MSA",8780,CA,368021
6,9270,685,753,890,1297,1563,"Yolo, CA PMSA",9270,CA,168660
6,9340,449,511,621,903,1089,"Yuba City, CA MSA",9340,CA,139149
6,60000003,541,584,767,1066,1097,Alpine County,9999,CA,1208
6,60000005,614,634,835,1201,1236,Amador County,9999,CA,35100
6,60000009,594,595,715,1044,1208,Calaveras County,9999,CA,40554
6,60000011,525,526,660,847,1159,Colusa County,9999,CA,18804
6,60000015,503,533,655,955,984,Del Norte County,9999,CA,27507
6,60000021,427,462,590,770,792,Glenn County,9999,CA,26453
6,60000023,462,541,708,1032,1230,Humboldt County,9999,CA,126518
6,60000025,499,563,663,952,1163,Imperial County,9999,CA,142361
6,60000027,457,486,625,907,1027,Inyo County,9999,CA,17945
6,60000031,520,543,626,914,1102,Kings County,9999,CA,129461
6,60000033,495,535,703,1023,1095,Lake County,9999,CA,58309
6,60000035,475,516,681,989,1069,Lassen County,9999,CA,33828
6,60000043,541,584,767,1066,1097,Mariposa County,9999,CA,17130
6,60000045,526,636,787,1089,1334,Mendocino County,9999,CA,86265
6,60000049,431,488,642,923,969,Modoc County,9999,CA,9449
6,60000051,591,799,901,1314,1584,Mono County,9999,CA,12853
6,60000057,596,676,890,1285,1563,Nevada County,9999,CA,92033
6,60000063,470,521,689,1004,1208,Plumas County,9999,CA,20824
6,60000069,644,824,917,1335,1609,San Benito County,9999,CA,53234
6,60000091,561,635,836,1185,1404,Sierra County,9999,CA,3555
6,60000093,402,478,619,861,948,Siskiyou County,9999,CA,44301
6,60000103,444,473,605,881,1063,Tehama County,9999,CA,56039
6,60000105,452,478,612,868,997,Trinity County,9999,CA,13022
6,60000109,509,603,783,1053,1084,Tuolumne County,9999,CA,54501
8,1125,750,853,1082,1576,1885,"Boulder--Longmont, CO PMSA",1125,CO,269814
8,1720,555,629,778,1122,1320,"Colorado Springs, CO MSA",1720,CO,516929
8,2080,674,768,973,1382,1612,"Denver, CO PMSA",2080,CO,2130766
8,2670,580,683,793,1157,1392,"Fort Collins--Loveland, CO MSA",2670,CO,251494
8,2995,491,492,593,863,1041,"Grand Junction, CO MSA",2995,CO,116255
8,3060,571,584,707,1031,1225,"Greeley, CO PMSA",3060,CO,180926
8,6560,473,492,649,849,970,"Pueblo, CO MSA",6560,CO,141472
8,80000003,352,454,506,703,858,Alamosa County,9999,CO,14966
8,80000007,481,604,742,920,1143,Archuleta County,9999,CO,9898
8,80000009,359,445,494,690,710,Baca County,9999,CO,4517
8,80000011,443,444,534,708,825,Bent County,9999,CO,5998
8,80000015,413,549,639,931,959,Chaffee County,9999,CO,16242
8,80000017,443,444,534,708,825,Cheyenne County,9999,CO,2231
8,80000019,609,728,903,1229,1422,Clear Creek County,9999,CO,9322
8,80000021,359,445,494,690,710,Conejos County,9999,CO,8400
8,80000023,359,445,494,690,710,Costilla County,9999,CO,3663
8,80000025,443,444,534,708,825,Crowley County,9999,CO,5518
8,80000027,469,549,720,959,1106,Custer County,9999,CO,3503
8,80000029,478,519,578,798,823,Delta County,9999,CO,27834
8,80000033,475,603,692,920,1142,Dolores County,9999,CO,1844
8,80000037,834,978,1282,1613,2253,Eagle County,9999,CO,41659
8,80000039,443,444,534,708,825,Elbert County,9999,CO,19872
8,80000043,407,477,627,877,1043,Fremont County,9999,CO,46145
8,80000045,618,716,811,1094,1425,Garfield County,9999,CO,43791
8,80000047,609,728,903,1229,1422,Gilpin County,9999,CO,4757
8,80000049,523,611,804,1047,1078,Grand County,9999,CO,12442
8,80000051,516,577,757,1026,1331,Gunnison County,9999,CO,13956
8,80000053,670,813,1033,1445,1813,Hinsdale County,9999,CO,790
8,80000055,359,445,494,690,710,Huerfano County,9999,CO,7862
8,80000057,532,682,756,1026,1273,Jackson County,9999,CO,1577
8,80000061,443,444,534,708,825,Kiowa County,9999,CO,1622
8,80000063,443,444,534,708,825,Kit Carson County,9999,CO,8011
8,80000065,670,813,1033,1445,1813,Lake County,9999,CO,7812
8,80000067,556,667,776,1104,1240,La Plata County,9999,CO,43941
8,80000071,378,514,580,738,758,Las Animas County,9999,CO,15207
8,80000073,443,444,534,708,825,Lincoln County,9999,CO,6087
8,80000075,423,424,535,772,796,Logan County,9999,CO,20504
8,80000079,670,813,1033,1445,1813,Mineral County,9999,CO,831
8,80000081,384,435,544,748,932,Moffat County,9999,CO,13184
8,80000083,427,507,582,717,899,Montezuma County,9999,CO,23830
8,80000085,411,555,634,873,1099,Montrose County,9999,CO,33432
8,80000087,483,507,582,756,882,Morgan County,9999,CO,27171
8,80000089,367,400,486,707,770,Otero County,9999,CO,20311
8,80000091,670,813,1033,1445,1813,Ouray County,9999,CO,3742
8,80000093,583,683,897,1073,1106,Park County,9999,CO,14523
8,80000095,443,444,534,708,825,Phillips County,9999,CO,4480
8,80000097,937,1095,1441,1939,2528,Pitkin County,9999,CO,14872
8,80000099,349,424,472,642,830,Prowers County,9999,CO,14483
8,80000103,532,682,756,1026,1273,Rio Blanco County,9999,CO,5986
8,80000105,359,445,494,696,716,Rio Grande County,9999,CO,12413
8,80000107,649,779,998,1237,1751,Routt County,9999,CO,19690
8,80000109,359,445,494,690,710,Saguache County,9999,CO,5917
8,80000111,475,603,692,920,1142,San Juan County,9999,CO,558
8,80000113,690,876,1060,1545,1592,San Miguel County,9999,CO,6594
8,80000115,443,444,534,708,825,Sedgwick County,9999,CO,2747
8,80000117,738,862,1135,1624,1993,Summit County,9999,CO,23548
8,80000119,590,690,907,1321,1593,Teller County,9999,CO,20555
8,80000121,443,444,534,708,825,Washington County,9999,CO,4926
8,80000125,443,444,534,708,825,Yuma County,9999,CO,9841
9,1160,678,840,995,1189,1440,"Bridgeport, CT PMSA",1160,CT,459479
9,1930,783,952,1176,1453,1717,"Danbury, CT PMSA",1930,CT,217980
9,3280,632,754,924,1115,1339,"Hartford, CT MSA",3280,CT,1183110
9,5480,702,794,960,1153,1312,"New Haven--Meriden, CT PMSA",5480,CT,542149
9,5520,586,700,824,985,1131,"New London--Norwich, CT--RI MSA",5520,CT,262764
9,8040,1024,1239,1575,2075,2697,"Stamford--Norwalk, CT PMSA",8040,CT,353556
9,8880,524,673,806,965,1017,"Waterbury, CT PMSA",8880,CT,228984
9,9240,643,740,888,1062,1106,"Worcester, MA--CT PMSA",9240,CT,8878
9,90000003,574,690,858,1026,1250,Hartford County,9999,CT,2012
9,90000005,530,631,792,1076,1357,Litchfield County,9999,CT,68569
9,90000007,635,770,953,1207,1399,Middlesex County,9999,CT,21150
9,90000011,586,709,834,1029,1082,New London County,9999,CT,4544
9,90000013,675,725,873,1133,1253,Tolland County,9999,CT,693
9,90000015,476,572,717,927,955,Windham County,9999,CT,51697
10,2190,553,598,664,899,1152,"Dover, DE MSA",2190,DE,126697
10,9160,674,726,846,1118,1352,"Wilmington--Newark, DE--MD PMSA",9160,DE,500265
10,100000005,508,548,613,876,903,Sussex County,9999,DE,156638
11,8840,915,1045,1187,1537,2000,"Washington, DC--MD--VA--WV PMSA",8840,DC,572059
12,2020,545,584,726,943,978,"Daytona Beach, FL MSA",2020,FL,493175
12,2680,743,830,998,1380,1752,"Fort Lauderdale, FL PMSA",2680,FL,1623018
12,2700,605,661,755,1033,1063,"Fort Myers--Cape Coral, FL MSA",2700,FL,440888
12,2710,574,579,727,937,966,"Fort Pierce--Port St. Lucie, FL MSA",2710,FL,319426
12,2750,498,572,646,943,1065,"Fort Walton Beach, FL MSA",2750,FL,170498
12,2900,499,572,655,956,986,"Gainesville, FL MSA",2900,FL,217955
12,3600,571,638,749,961,1127,"Jacksonville, FL MSA",3600,FL,1100491
12,3980,466,511,591,778,914,"Lakeland--Winter Haven, FL MSA",3980,FL,483924
12,4900,484,596,690,947,1085,"Melbourne--Titusville--Palm Bay, FL MSA",4900,FL,476230
12,5000,682,775,929,1204,1419,"Miami, FL PMSA",5000,FL,2253362
12,5345,711,787,876,1119,1343,"Naples, FL MSA",5345,FL,251377
12,5790,496,521,599,820,845,"Ocala, FL MSA",5790,FL,258916
12,5960,714,777,885,1114,1365,"Orlando, FL MSA",5960,FL,1644561
12,6015,513,529,617,869,964,"Panama City, FL MSA",6015,FL,148217
12,6080,500,543,603,877,1059,"Pensacola, FL MSA",6080,FL,412153
12,6580,488,549,689,1004,1209,"Punta Gorda, FL MSA",6580,FL,141627
12,7510,606,668,800,1022,1123,"Sarasota--Bradenton, FL MSA",7510,FL,589959
12,8240,519,572,726,975,1005,"Tallahassee, FL MSA",8240,FL,284539
12,8280,597,669,805,1037,1264,"Tampa--St. Petersburg--Clearwater, FL MSA",8280,FL,2395997
12,8960,649,761,898,1270,1308,"West Palm Beach--Boca Raton, FL MSA",8960,FL,1131184
12,120000003,287,399,444,646,665,Baker County,9999,FL,22259
12,120000007,310,430,479,658,678,Bradford County,9999,FL,26088
12,120000013,422,423,509,657,677,Calhoun County,9999,FL,13017
12,120000017,452,469,545,794,912,Citrus County,9999,FL,118085
12,120000023,443,467,531,665,934,Columbia County,9999,FL,56513
12,120000027,449,455,544,651,672,DeSoto County,9999,FL,32209
12,120000029,365,396,440,526,772,Dixie County,9999,FL,13827
12,120000037,422,423,509,657,677,Franklin County,9999,FL,11057
12,120000041,385,434,482,576,845,Gilchrist County,9999,FL,14437
12,120000043,456,485,551,689,710,Glades County,9999,FL,10576
12,120000045,422,423,509,657,677,Gulf County,9999,FL,13332
12,120000047,365,396,440,526,772,Hamilton County,9999,FL,13327
12,120000049,436,474,525,629,648,Hardee County,9999,FL,26938
12,120000051,456,494,550,680,772,Hendry County,9999,FL,36210
12,120000055,463,467,559,719,829,Highlands County,9999,FL,87366
12,120000059,418,419,505,628,645,Holmes County,9999,FL,18564
12,120000061,479,570,730,896,922,Indian River County,9999,FL,112947
12,120000063,299,399,443,564,632,Jackson County,9999,FL,46755
12,120000065,422,423,509,657,677,Jefferson County,9999,FL,12902
12,120000067,365,396,440,526,772,Lafayette County,9999,FL,7022
12,120000075,395,407,476,588,834,Levy County,9999,FL,34450
12,120000077,422,423,509,657,677,Liberty County,9999,FL,7021
12,120000079,422,423,509,657,677,Madison County,9999,FL,18733
12,120000087,755,865,1091,1548,1595,Monroe County,9999,FL,79589
12,120000093,472,476,570,745,767,Okeechobee County,9999,FL,35910
12,120000107,399,415,480,574,591,Putnam County,9999,FL,70423
12,120000119,383,415,460,574,797,Sumter County,9999,FL,53345
12,120000121,299,415,460,551,570,Suwannee County,9999,FL,34844
12,120000123,409,445,493,671,692,Taylor County,9999,FL,19256
12,120000125,412,447,495,667,686,Union County,9999,FL,13442
12,120000129,494,523,596,752,773,Wakulla County,9999,FL,22863
12,120000131,472,513,570,728,750,Walton County,9999,FL,40601
12,120000133,364,365,439,640,659,Washington County,9999,FL,20973
13,120,464,491,564,751,824,"Albany, GA MSA",120,GA,120822
13,500,460,524,651,915,946,"Athens, GA MSA",500,GA,153444
13,520,769,834,928,1150,1295,"Atlanta, GA MSA",520,GA,4112198
13,600,470,523,589,812,864,"Augusta--Aiken, GA--SC MSA",600,GA,310294
13,1560,485,520,607,771,874,"Chattanooga, TN--GA MSA",1560,GA,129489
13,1800,487,514,588,772,915,"Columbus, GA--AL MSA",1800,GA,224868
13,4680,495,522,597,798,832,"Macon, GA MSA",4680,GA,322549
13,7520,578,632,712,945,1074,"Savannah, GA MSA",7520,GA,293000
13,130000001,391,422,470,570,612,Appling County,9999,GA,17419
13,130000003,357,385,433,571,657,Atkinson County,9999,GA,7609
13,130000005,357,385,433,571,657,Bacon County,9999,GA,10103
13,130000007,364,394,438,530,628,Baker County,9999,GA,4074
13,130000009,355,466,546,667,686,Baldwin County,9999,GA,44700
13,130000011,418,453,504,626,834,Banks County,9999,GA,14422
13,130000017,302,386,464,649,668,Ben Hill County,9999,GA,17484
13,130000019,348,350,439,582,601,Berrien County,9999,GA,16235
13,130000023,306,368,438,559,607,Bleckley County,9999,GA,11666
13,130000025,357,385,433,571,657,Brantley County,9999,GA,14629
13,130000027,461,469,557,784,806,Brooks County,9999,GA,16450
13,130000031,429,444,545,657,677,Bulloch County,9999,GA,55983
13,130000033,300,341,449,582,600,Burke County,9999,GA,22243
13,130000035,364,504,560,813,947,Butts County,9999,GA,19522
13,130000037,364,394,438,530,628,Calhoun County,9999,GA,6320
13,130000039,478,501,575,838,1011,Camden County,9999,GA,43664
13,130000043,391,422,470,570,612,Candler County,9999,GA,9577
13,130000049,357,385,433,571,657,Charlton County,9999,GA,10282
13,130000055,296,352,455,559,757,Chattooga County,9999,GA,25470
13,130000061,364,394,438,530,628,Clay County,9999,GA,3357
13,130000065,357,385,433,571,657,Clinch County,9999,GA,6878
13,130000069,347,390,449,588,788,Coffee County,9999,GA,37413
13,130000071,378,412,457,547,657,Colquitt County,9999,GA,42053
13,130000075,359,390,433,586,762,Cook County,9999,GA,15771
13,130000079,453,458,546,653,901,Crawford County,9999,GA,12495
13,130000081,363,364,437,561,577,Crisp County,9999,GA,21996
13,130000085,568,615,683,959,1034,Dawson County,9999,GA,15999
13,130000087,338,394,519,619,691,Decatur County,9999,GA,28240
13,130000091,293,320,392,526,586,Dodge County,9999,GA,19171
13,130000093,383,387,460,589,762,Dooly County,9999,GA,11525
13,130000099,364,394,438,530,628,Early County,9999,GA,12354
13,130000101,461,469,557,784,806,Echols County,9999,GA,3754
13,130000105,388,408,466,602,619,Elbert County,9999,GA,20511
13,130000107,270,333,416,499,622,Emanuel County,9999,GA,21837
13,130000109,391,422,470,570,612,Evans County,9999,GA,10495
13,130000111,317,442,490,587,669,Fannin County,9999,GA,19798
13,130000115,415,456,564,702,722,Floyd County,9999,GA,90565
13,130000119,418,453,504,626,834,Franklin County,9999,GA,20285
13,130000123,475,529,590,743,842,Gilmer County,9999,GA,23456
13,130000125,300,332,436,521,583,Glascock County,9999,GA,2556
13,130000127,474,521,579,808,1017,Glynn County,9999,GA,67568
13,130000129,479,480,582,717,858,Gordon County,9999,GA,44104
13,130000131,272,377,420,600,617,Grady County,9999,GA,23659
13,130000133,388,408,466,602,619,Greene County,9999,GA,14406
13,130000137,459,460,554,688,972,Habersham County,9999,GA,35902
13,130000139,609,662,734,932,1162,Hall County,9999,GA,139277
13,130000141,388,408,466,602,619,Hancock County,9999,GA,10076
13,130000143,358,384,449,653,788,Haralson County,9999,GA,25690
