State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",394,408,501,678,792,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",368,439,566,770,790,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",464,534,595,758,813,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",304,420,467,582,657,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",389,390,467,603,749,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",498,528,601,792,938,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",395,450,507,692,712,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",375,436,484,615,705,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",311,430,477,570,662,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",421,423,519,685,796,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",387,443,515,673,695,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",454,485,581,797,940,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",500,530,605,796,960,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",491,564,641,861,1124,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",440,494,617,810,834,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",444,596,664,904,1153,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",389,389,467,643,759,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",337,414,493,591,608,AL,11714
1,NCNTY01013N01013,"Butler County, AL",337,414,493,591,608,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",361,420,467,619,638,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",416,433,503,599,618,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",387,396,467,588,759,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",303,410,467,560,822,AL,27867
1,NCNTY01027N01027,"Clay County, AL",389,390,467,579,768,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",388,389,467,579,768,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",359,447,507,739,889,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",387,396,467,588,759,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",359,420,467,630,722,AL,12202
1,NCNTY01039N01039,"Covington County, AL",374,378,467,595,802,AL,37631
1,NCNTY01041N01041,"Crenshaw County, AL",337,414,493,591,608,AL,13665
1,NCNTY01043N01043,"Cullman County, AL",401,418,484,665,782,AL,77483
1,NCNTY01045N01045,"Dale County, AL",359,420,467,648,807,AL,49129
1,NCNTY01047N01047,"Dallas County, AL",312,436,483,579,612,AL,46365
1,NCNTY01049N01049,"DeKalb County, AL",343,392,467,603,654,AL,64452
1,NCNTY01053N01053,"Escambia County, AL",386,387,467,585,681,AL,38440
1,NCNTY01057N01057,"Fayette County, AL",307,354,467,682,824,AL,18495
1,NCNTY01059N01059,"Franklin County, AL",304,391,467,604,787,AL,31223
1,NCNTY01071N01071,"Jackson County, AL",389,415,467,591,822,AL,53926
1,NCNTY01075N01075,"Lamar County, AL",311,390,467,622,818,AL,15904
1,NCNTY01087N01087,"Macon County, AL",336,389,478,615,634,AL,24105
1,NCNTY01091N01091,"Marengo County, AL",392,397,472,580,595,AL,22539
1,NCNTY01093N01093,"Marion County, AL",304,354,467,603,819,AL,31214
1,NCNTY01095N01095,"Marshall County, AL",407,441,491,675,723,AL,82231
1,NCNTY01099N01099,"Monroe County, AL",389,420,467,681,770,AL,24324
1,NCNTY01105N01105,"Perry County, AL",392,397,472,580,595,AL,11861
1,NCNTY01107N01107,"Pickens County, AL",306,384,467,611,819,AL,20949
1,NCNTY01109N01109,"Pike County, AL",354,389,467,607,626,AL,29605
1,NCNTY01111N01111,"Randolph County, AL",389,390,467,579,768,AL,22380
1,NCNTY01119N01119,"Sumter County, AL",311,410,467,622,818,AL,14798
1,NCNTY01121N01121,"Talladega County, AL",395,396,474,642,836,AL,80321
1,NCNTY01123N01123,"Tallapoosa County, AL",360,387,467,682,745,AL,41475
1,NCNTY01129N01129,"Washington County, AL",387,396,467,588,759,AL,18097
1,NCNTY01131N01131,"Wilcox County, AL",387,396,467,588,759,AL,13183
1,NCNTY01133N01133,"Winston County, AL",305,356,467,560,694,AL,24843
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",676,772,967,1409,1698,AK,260283
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",532,643,797,1161,1376,AK,59322
2,METRO21820M21820,"Fairbanks, AK MSA",566,686,871,1250,1347,AK,82840
2,NCNTY02013N02013,"Aleutians East Borough, AK",764,828,1085,1328,1368,AK,2697
2,NCNTY02016N02016,"Aleutians West Census Area, AK",764,828,1085,1328,1368,AK,5465
2,NCNTY02050N02050,"Bethel Census Area, AK",877,1054,1279,1530,2245,AK,16006
2,NCNTY02060N02060,"Bristol Bay Borough, AK",764,828,1085,1328,1368,AK,1258
