MSA,State,County,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4
10000,2,122,49691,Kenai Peninsula Borough,,40,Alaska,AK,518,660,795,1103,1303
10000,2,130,14070,Ketchikan Gateway Borough,,40,Alaska,AK,615,753,1007,1402,1476
10000,2,150,13913,Kodiak Island Borough,,40,Alaska,AK,813,894,1162,1452,1884
10000,2,164,1823,Lake and Peninsula Borough,,40,Alaska,AK,473,767,861,1075,1208
10000,2,170,59322,Matanuska-Susitna Borough,,40,Alaska,AK,525,710,799,1085,1282
10000,2,180,9196,Nome Census Area,,40,Alaska,AK,789,976,1096,1526,1722
10000,2,185,7385,North Slope Borough,,40,Alaska,AK,913,935,1156,1607,1872
10000,2,188,7208,Northwest Arctic Borough,,40,Alaska,AK,951,1070,1200,1670,1971
10000,2,201,6146,Prince of Wales-Outer Ketchikan Census Area,,40,Alaska,AK,425,676,779,1080,1142
10000,2,220,8835,Sitka City and Borough,,40,Alaska,AK,655,779,874,1217,1435
10000,2,232,3436,Skagway-Hoonah-Angoon Census Area,,40,Alaska,AK,515,524,678,850,954
10000,2,240,6174,Southeast Fairbanks Census Area,,40,Alaska,AK,527,553,667,835,938
10000,2,261,10195,Valdez-Cordova Census Area,,40,Alaska,AK,625,766,850,1085,1294
10000,2,270,7028,Wade Hampton Census Area,,40,Alaska,AK,447,672,758,948,1061
10000,2,280,6684,Wrangell-Petersburg Census Area,,40,Alaska,AK,451,665,808,1028,1130
10000,2,282,808,Yakutat City and Borough,,40,Alaska,AK,515,524,678,850,954
10000,2,290,6551,Yukon-Koyukuk Census Area,,40,Alaska,AK,590,665,751,939,1086
2620,4,5,116320,Coconino County,"Flagstaff, AZ--UT MSA",40,Arizona,AZ,670,723,939,1259,1512
4120,4,15,155032,Mohave County,"Las Vegas, NV--AZ MSA",50,Arizona,AZ,606,719,856,1191,1407
6200,4,13,3072149,Maricopa County,"Phoenix--Mesa, AZ MSA",50,Arizona,AZ,549,664,835,1161,1367
6200,4,21,179727,Pinal County,"Phoenix--Mesa, AZ MSA",50,Arizona,AZ,549,664,835,1161,1367
8520,4,19,843746,Pima County,"Tucson, AZ MSA",40,Arizona,AZ,465,557,741,1030,1215
9360,4,27,160026,Yuma County,"Yuma, AZ MSA",40,Arizona,AZ,449,521,694,964,971
10000,4,1,69423,Apache County,,40,Arizona,AZ,432,454,577,753,895
10000,4,3,117755,Cochise County,,40,Arizona,AZ,440,462,587,767,911
10000,4,7,51335,Gila County,,40,Arizona,AZ,432,454,577,753,895
10000,4,9,33489,Graham County,,40,Arizona,AZ,432,454,577,753,895
10000,4,11,8547,Greenlee County,,40,Arizona,AZ,432,454,577,753,895
10000,4,12,19715,La Paz County,,40,Arizona,AZ,440,462,587,767,911
10000,4,17,97470,Navajo County,,40,Arizona,AZ,440,462,587,767,911
10000,4,23,38381,Santa Cruz County,,40,Arizona,AZ,430,475,591,749,890
10000,4,25,167517,Yavapai County,,40,Arizona,AZ,449,467,625,871,959
