"fips_st","fips_puma","owner_occ","total","per_owner"
21,2500,443,578,76.643598615917
22,101,326,500,65.2
22,102,290,401,72.3192019950125
22,200,433,590,73.3898305084746
22,300,848,1149,73.8033072236728
22,400,360,508,70.8661417322835
22,500,501,653,76.7228177641654
22,600,477,613,77.8140293637847
22,700,639,881,72.5312145289444
22,800,788,1060,74.3396226415094
22,900,521,683,76.281112737921
22,1000,263,388,67.7835051546392
22,1100,372,483,77.0186335403727
22,1200,357,464,76.9396551724138
22,1300,299,377,79.3103448275862
22,1401,282,333,84.6846846846847
22,1402,311,417,74.5803357314149
22,1501,160,296,54.0540540540541
22,1502,283,467,60.5995717344754
22,1600,618,720,85.8333333333333
22,1700,248,331,74.9244712990937
22,1803,178,303,58.7458745874587
22,1804,185,357,51.8207282913165
22,1901,364,510,71.3725490196078
22,1902,240,352,68.1818181818182
22,1903,200,290,68.9655172413793
22,1904,246,298,82.5503355704698
