"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"ME",2006,4,224.06,225.46
"ME",2007,1,224.11,225.51
"ME",2007,2,226.62,227.63
"ME",2007,3,226.98,226.6
"ME",2007,4,227.11,228.74
"ME",2008,1,225.27,226.22
"ME",2008,2,221.54,222.93
"ME",2008,3,224.85,224.3
"ME",2008,4,216.99,218.72
"ME",2009,1,221.06,221.68
"MI",2000,1,166.57,166.67
"MI",2000,2,170.99,169.59
"MI",2000,3,173.67,172.01
"MI",2000,4,174.01,173.88
"MI",2001,1,176.1,176.28
"MI",2001,2,179.78,178.32
"MI",2001,3,182.43,180.61
"MI",2001,4,182.69,182.51
"MI",2002,1,183.89,184.2
"MI",2002,2,187.43,185.9
"MI",2002,3,189.54,187.57
"MI",2002,4,189.78,189.55
"MI",2003,1,191.01,191.52
"MI",2003,2,193.93,192.27
"MI",2003,3,196.81,194.67
"MI",2003,4,196.14,195.91
"MI",2004,1,197.09,197.83
"MI",2004,2,200.89,198.97
"MI",2004,3,202.43,200.18
"MI",2004,4,202.37,202.26
"MI",2005,1,201.92,202.85
"MI",2005,2,205.74,203.44
"MI",2005,3,206.45,204.12
"MI",2005,4,203.93,204.17
"MI",2006,1,199.93,200.82
"MI",2006,2,201.64,199.04
"MI",2006,3,200.35,198.08
"MI",2006,4,194.59,195.33
"MI",2007,1,190.87,191.5
"MI",2007,2,191.42,188.69
"MI",2007,3,184.83,182.71
"MI",2007,4,177.36,178.56
"MI",2008,1,172.78,173.04
"MI",2008,2,171.22,168.62
"MI",2008,3,165.45,163.56
"MI",2008,4,157.85,159.3
"MI",2009,1,161.93,161.91
"MN",2000,1,158.16,159.05
"MN",2000,2,164.55,163.33
"MN",2000,3,169.67,167.79
"MN",2000,4,172.11,172.63
"MN",2001,1,176.61,177.61
"MN",2001,2,183.86,182.47
"MN",2001,3,189.29,187.16
"MN",2001,4,189.83,190.45
"MN",2002,1,193.36,194.42
"MN",2002,2,201.28,199.77
"MN",2002,3,206.23,203.98
"MN",2002,4,208.1,208.69
"MN",2003,1,212.05,213.16
"MN",2003,2,218.32,216.76
"MN",2003,3,223.23,220.86
"MN",2003,4,224.81,225.36
"MN",2004,1,228.55,229.75
"MN",2004,2,234.97,233.23
"MN",2004,3,240.07,237.64
"MN",2004,4,240.92,241.5
"MN",2005,1,242.89,244.19
"MN",2005,2,249.44,247.34
"MN",2005,3,253.74,251.33
"MN",2005,4,252.94,253.73
"MN",2006,1,253.23,254.57
"MN",2006,2,257.48,254.92
"MN",2006,3,256.36,254.07
"MN",2006,4,253.17,254.34
"MN",2007,1,253.46,254.61
"MN",2007,2,256.43,253.67
"MN",2007,3,251.51,249.21
"MN",2007,4,244.61,246.22
"MN",2008,1,240.21,240.99
"MN",2008,2,238.99,236.43
"MN",2008,3,234.87,232.52
"MN",2008,4,225.29,227.21
"MN",2009,1,226.1,226.54
"MO",2000,1,142.89,143.25
"MO",2000,2,146.9,145.77
"MO",2000,3,148.16,147.03
"MO",2000,4,149.7,149.44
"MO",2001,1,150.78,151.14
"MO",2001,2,155.49,154.27
"MO",2001,3,157.27,156.07
"MO",2001,4,158.27,158.03
"MO",2002,1,159.29,159.66
"MO",2002,2,162.73,161.44
"MO",2002,3,165.02,163.75
"MO",2002,4,166.67,166.47
"MO",2003,1,168.79,169.15
"MO",2003,2,171.58,170.23
"MO",2003,3,175.05,173.64
"MO",2003,4,176.31,176.19
"MO",2004,1,178.76,179.12
"MO",2004,2,182.47,181.05
"MO",2004,3,184.71,183.04
"MO",2004,4,186.38,186.46
"MO",2005,1,187.17,187.57
"MO",2005,2,193.5,191.96
"MO",2005,3,196.18,194.13
"MO",2005,4,197.17,197.54
"MO",2006,1,199.53,200.09
"MO",2006,2,202.34,200.57
"MO",2006,3,204.28,201.84
"MO",2006,4,202.75,203.49
"MO",2007,1,204.49,205.19
"MO",2007,2,206.71,204.73
"MO",2007,3,207.45,204.66
"MO",2007,4,201.93,203.02
"MO",2008,1,197.04,197.8
"MO",2008,2,202.75,200.67
"MO",2008,3,200.84,197.92
"MO",2008,4,193.67,194.97
"MO",2009,1,195.67,196.47
"MS",2000,1,137.16,137.84
"MS",2000,2,139.88,139.66
"MS",2000,3,141.37,140.78
"MS",2000,4,140.2,140.75
"MS",2001,1,140.69,141.32
"MS",2001,2,143.09,142.99
"MS",2001,3,145.05,144.42
"MS",2001,4,144.78,145.33
"MS",2002,1,145.32,145.9
"MS",2002,2,145.62,145.59
"MS",2002,3,148.44,147.85
"MS",2002,4,150.05,150.55
"MS",2003,1,150.68,151.22
"MS",2003,2,151.92,151.91
"MS",2003,3,153.08,152.6
"MS",2003,4,153.05,153.48
"MS",2004,1,155.54,156.04
"MS",2004,2,158.06,158.04
"MS",2004,3,160.03,159.66
"MS",2004,4,159.88,160.24
"MS",2005,1,163.92,164.52
"MS",2005,2,166.49,166.31
"MS",2005,3,170.9,170.68
"MS",2005,4,175.53,175.79
"MS",2006,1,177.54,178.4
"MS",2006,2,182.86,182.38
"MS",2006,3,186.13,186.12
"MS",2006,4,188.93,188.96
"MS",2007,1,191.95,193.26
"MS",2007,2,192.9,192.03
"MS",2007,3,191.93,192.16
"MS",2007,4,190.91,190.71
"MS",2008,1,187.4,188.99
"MS",2008,2,193.57,192.42
"MS",2008,3,185.6,185.98
"MS",2008,4,184.46,184.08
"MS",2009,1,178.41,180.17
"MT",2000,1,174.63,173.96
"MT",2000,2,176.61,175.28
"MT",2000,3,180.66,178.29
"MT",2000,4,179.86,178.99
"MT",2001,1,185.78,185.36
"MT",2001,2,186.89,185.32
"MT",2001,3,188.01,185.42
"MT",2001,4,191.25,190.34
"MT",2002,1,193.51,193.46
"MT",2002,2,197.58,195.53
"MT",2002,3,203.61,200.83
"MT",2002,4,205.1,204.18
"MT",2003,1,207.06,207.26
"MT",2003,2,216.79,214.17
"MT",2003,3,221.95,219
"MT",2003,4,223.93,223.03
"MT",2004,1,226.25,226.59
"MT",2004,2,237.85,234.6
"MT",2004,3,244.23,241.21
"MT",2004,4,247.15,246.34
"MT",2005,1,252.93,253
"MT",2005,2,265.59,261.92
"MT",2005,3,270.51,267.33
"MT",2005,4,276.98,276.44
"MT",2006,1,286.18,285.53
"MT",2006,2,295.42,291.54
"MT",2006,3,302.73,299.38
"MT",2006,4,306.88,306.73
"MT",2007,1,308.56,306.77
"MT",2007,2,320.6,317.02
"MT",2007,3,319.84,316.25
"MT",2007,4,321.23,321.52
"MT",2008,1,325.44,322.65
"MT",2008,2,323.27,320.17
"MT",2008,3,322.78,319.07
"MT",2008,4,313.34,313.97
"MT",2009,1,317.7,314.39
"NC",2000,1,141.15,141.3
"NC",2000,2,143.8,143.29
"NC",2000,3,145.34,144.75
"NC",2000,4,145.97,146.1
"NC",2001,1,147.54,147.6
"NC",2001,2,148.84,148.33
"NC",2001,3,149.68,149.1
"NC",2001,4,149.58,149.74
"NC",2002,1,150.98,151
"NC",2002,2,152.75,152.19
"NC",2002,3,154.38,153.87
"NC",2002,4,155.14,155.27
"NC",2003,1,156.43,156.42
"NC",2003,2,158.01,157.41
"NC",2003,3,158.78,158.37
"NC",2003,4,159.44,159.49
"NC",2004,1,160.9,160.89
"NC",2004,2,165.1,164.44
"NC",2004,3,165.97,165.66
"NC",2004,4,168.57,168.56
"NC",2005,1,171.72,171.68
"NC",2005,2,174.83,174.13
"NC",2005,3,178.17,177.8
"NC",2005,4,181.87,181.92
"NC",2006,1,185.37,185.53
"NC",2006,2,189.14,188.06
"NC",2006,3,191.91,191.39
"NC",2006,4,195.42,195.84
"NC",2007,1,197.72,198.18
"NC",2007,2,200.58,198.8
"NC",2007,3,202.15,201.4
"NC",2007,4,201.22,202.31
"NC",2008,1,200.57,201.32
"NC",2008,2,205.05,202.4
"NC",2008,3,200.78,199.99
"NC",2008,4,194.17,195.89
"NC",2009,1,198.99,199.71
"ND",2000,1,138.48,139.22
"ND",2000,2,139.11,138.9
"ND",2000,3,142.56,141.07
"ND",2000,4,140.55,140.56
"ND",2001,1,144.73,145.49
"ND",2001,2,143.94,143.73
"ND",2001,3,144.59,143.23
"ND",2001,4,146.96,146.82
"ND",2002,1,146.95,147.71
"ND",2002,2,151.34,151.16
"ND",2002,3,155.46,154.08
"ND",2002,4,158.11,157.77
"ND",2003,1,158.71,159.71
"ND",2003,2,161.05,160.78
"ND",2003,3,165.03,163.57
"ND",2003,4,165.56,165.16
"ND",2004,1,166.44,167.67
"ND",2004,2,172.62,172.13
"ND",2004,3,177.34,175.8
"ND",2004,4,178.47,178.09
"ND",2005,1,181.75,183.22
"ND",2005,2,185.7,184.94
"ND",2005,3,191.22,189.57
"ND",2005,4,194.65,194.46
"ND",2006,1,194.1,195.6
"ND",2006,2,200.98,199.95
"ND",2006,3,203.61,201.98
"ND",2006,4,203.68,203.6
"ND",2007,1,204.49,206.02
"ND",2007,2,211.57,210.31
"ND",2007,3,211.6,210.01
"ND",2007,4,213.55,213.62
"ND",2008,1,216.49,217.98
"ND",2008,2,216.61,215.21
"ND",2008,3,219.43,217.88
"ND",2008,4,217.27,217.44
"ND",2009,1,217.24,218.63
"NE",2000,1,157.34,157.68
"NE",2000,2,160.62,159.92
"NE",2000,3,161.71,160.44
"NE",2000,4,161.31,161.51
"NE",2001,1,161.42,161.82
"NE",2001,2,164.36,163.71
"NE",2001,3,166.2,164.72
"NE",2001,4,165.48,165.72
"NE",2002,1,167.62,168.13
"NE",2002,2,169.65,169.01
"NE",2002,3,172.81,171.11
"NE",2002,4,172.87,173.15
"NE",2003,1,174.25,174.9
"NE",2003,2,177.09,176.43
"NE",2003,3,179.72,177.78
"NE",2003,4,178.78,179.11
"NE",2004,1,180.57,181.44
"NE",2004,2,182.74,181.94
"NE",2004,3,188.1,185.92
"NE",2004,4,187.55,187.98
"NE",2005,1,187.91,189.09
"NE",2005,2,190.27,189.13
"NE",2005,3,193.53,191.28
"NE",2005,4,193.19,193.68
"NE",2006,1,192.92,194.48
"NE",2006,2,197.89,196.21
"NE",2006,3,199.82,197.65
"NE",2006,4,196.06,196.55
"NE",2007,1,197.05,198.99
"NE",2007,2,202.1,199.89
"NE",2007,3,200.89,198.91
"NE",2007,4,196.42,196.88
"NE",2008,1,193.84,196.02
"NE",2008,2,197.49,194.92
"NE",2008,3,193.48,191.77
"NE",2008,4,192.34,192.74
"NE",2009,1,188.06,190.33
"NH",2000,1,128.64,129.85
"NH",2000,2,135.25,134.47
"NH",2000,3,140.21,139.08
"NH",2000,4,145.73,145.86
"NH",2001,1,148.15,149.63
"NH",2001,2,155.57,154.57
"NH",2001,3,161.12,160.02
"NH",2001,4,163.46,163.49
"NH",2002,1,165.57,167.19
"NH",2002,2,174.36,173.15
"NH",2002,3,182.21,181.2
"NH",2002,4,184.79,184.79
"NH",2003,1,188.04,189.73
"NH",2003,2,196.11,194.67
"NH",2003,3,198.94,198.07
"NH",2003,4,203.88,203.99
"NH",2004,1,207.42,209.04
"NH",2004,2,214.64,212.9
"NH",2004,3,217.71,216.95
"NH",2004,4,223.34,223.8
"NH",2005,1,227.61,229.01
"NH",2005,2,234.2,232.12
"NH",2005,3,237.78,237.09
"NH",2005,4,237.57,238.57
"NH",2006,1,235.14,236.12
"NH",2006,2,238.94,236.69
"NH",2006,3,233.59,232.87
"NH",2006,4,231.33,232.93
"NH",2007,1,232.64,233.17
"NH",2007,2,235.74,233.4
"NH",2007,3,231.23,230.44
"NH",2007,4,223.23,225.36
"NH",2008,1,221.59,221.73
"NH",2008,2,218.96,216.69
"NH",2008,3,215.16,214.38
"NH",2008,4,208.41,210.81
"NH",2009,1,213.88,213.74
"NJ",2000,1,121.92,123.11
"NJ",2000,2,126.28,126.28
"NJ",2000,3,129.75,129.04
"NJ",2000,4,132.66,133.23
"NJ",2001,1,135.5,136.96
"NJ",2001,2,140.16,140.23
"NJ",2001,3,146.22,145.38
"NJ",2001,4,148.95,149.44
"NJ",2002,1,152.44,154.24
"NJ",2002,2,159.96,160
"NJ",2002,3,167.64,166.72
"NJ",2002,4,172.3,172.78
"NJ",2003,1,175.12,177.26
"NJ",2003,2,183.65,183.58
"NJ",2003,3,190.22,189.26
"NJ",2003,4,194.92,195.55
"NJ",2004,1,199.8,202.17
"NJ",2004,2,209.87,209.53
"NJ",2004,3,217.38,216.56
"NJ",2004,4,223.6,224.53
"NJ",2005,1,229.71,232.12
"NJ",2005,2,240.29,239.71
"NJ",2005,3,248.8,248.17
"NJ",2005,4,252.42,253.75
"NJ",2006,1,255.29,257.5
"NJ",2006,2,260.46,259.69
"NJ",2006,3,259,258.7
"NJ",2006,4,257.04,258.66
"NJ",2007,1,257.68,259.33
"NJ",2007,2,259.96,259.26
"NJ",2007,3,256.78,256.73
"NJ",2007,4,255.18,256.95
"NJ",2008,1,250.74,251.92
"NJ",2008,2,246.73,246.16
"NJ",2008,3,241.98,242.05
"NJ",2008,4,236.02,237.77
"NJ",2009,1,235.15,235.99
"NM",2000,1,144.53,144.7
"NM",2000,2,146.53,145.27
"NM",2000,3,146.77,145.66
"NM",2000,4,145.67,145.39
"NM",2001,1,148.33,148.47
"NM",2001,2,150.75,149.55
"NM",2001,3,151.74,150.56
"NM",2001,4,151.39,151.05
"NM",2002,1,152.56,152.72
"NM",2002,2,157.37,156.21
"NM",2002,3,159.37,158.06
"NM",2002,4,161.23,160.82
"NM",2003,1,162.41,162.64
"NM",2003,2,165.91,164.75
"NM",2003,3,169.41,167.91
"NM",2003,4,171.71,171.24
"NM",2004,1,174.94,175.29
"NM",2004,2,179.51,178.27
"NM",2004,3,184.53,182.82
"NM",2004,4,186.4,185.8
"NM",2005,1,193.18,193.73
"NM",2005,2,200.24,198.88
"NM",2005,3,208.52,206.52
"NM",2005,4,215.34,214.5
"NM",2006,1,220.27,221.09
"NM",2006,2,229.44,227.9
"NM",2006,3,235.56,233.26
"NM",2006,4,238.47,237.39
"NM",2007,1,240.61,241.68
"NM",2007,2,245.43,243.82
"NM",2007,3,246.22,243.75
"NM",2007,4,242.9,241.7
"NM",2008,1,244.04,245.27
"NM",2008,2,242.2,240.61
"NM",2008,3,243.78,241.29
"NM",2008,4,238.76,237.46
"NM",2009,1,228.33,229.67
"NV",2000,1,124.02,123.69
"NV",2000,2,126.48,125.46
"NV",2000,3,127.01,125.7
"NV",2000,4,128.7,127.86
"NV",2001,1,131.46,131.14
"NV",2001,2,134.35,133.28
"NV",2001,3,136.74,135.28
"NV",2001,4,138.76,137.87
"NV",2002,1,140.46,140.15
"NV",2002,2,143.85,142.73
"NV",2002,3,147.72,146.02
"NV",2002,4,150.24,149.29
"NV",2003,1,154.02,153.82
"NV",2003,2,158.52,157.27
"NV",2003,3,166.7,164.58
"NV",2003,4,175.81,174.84
"NV",2004,1,186.52,186.38
"NV",2004,2,205.32,203.62
"NV",2004,3,221.46,218.45
"NV",2004,4,231.14,230.02
"NV",2005,1,240.94,240.97
"NV",2005,2,256.21,253.85
"NV",2005,3,260.57,256.84
"NV",2005,4,270.56,269.56
"NV",2006,1,273.92,274.07
"NV",2006,2,274.01,271.18
"NV",2006,3,275.35,271.39
"NV",2006,4,268.84,268.07
"NV",2007,1,265.66,265.82
"NV",2007,2,265.26,262.37
"NV",2007,3,253.96,250.25
"NV",2007,4,237.17,236.67
"NV",2008,1,220.65,220.74
"NV",2008,2,206.95,204.65
"NV",2008,3,190.83,188.03
"NV",2008,4,170.36,170.04
"NV",2009,1,152.02,152.09
"NY",2000,1,119.48,119.97
"NY",2000,2,123.08,122.33
"NY",2000,3,127.05,125.55
"NY",2000,4,129.56,128.9
"NY",2001,1,131.42,131.76
"NY",2001,2,135.83,135.14
"NY",2001,3,140.2,138.67
"NY",2001,4,143.38,142.58
"NY",2002,1,146.58,146.78
"NY",2002,2,151.78,151.11
"NY",2002,3,157.26,155.68
"NY",2002,4,160.49,159.5
"NY",2003,1,165.96,166.07
"NY",2003,2,169.63,168.97
"NY",2003,3,175.54,173.87
"NY",2003,4,180.94,179.73
"NY",2004,1,184.45,184.56
"NY",2004,2,190.56,189.82
"NY",2004,3,194.84,192.99
"NY",2004,4,200.55,199.24
"NY",2005,1,203.03,203.19
"NY",2005,2,207.48,206.59
"NY",2005,3,215.08,212.93
"NY",2005,4,217.09,215.85
"NY",2006,1,218.62,218.93
"NY",2006,2,221.66,220.44
"NY",2006,3,222.34,220.04
"NY",2006,4,221.84,220.82
"NY",2007,1,221.99,222.37
"NY",2007,2,225.74,224.36
"NY",2007,3,226.13,223.59
"NY",2007,4,225.44,224.65
"NY",2008,1,223,223.41
"NY",2008,2,223.59,222.23
"NY",2008,3,223.88,221.1
"NY",2008,4,218.28,217.77
"NY",2009,1,215.44,215.77
"OH",2000,1,144.08,144.1
"OH",2000,2,147.04,145.57
"OH",2000,3,148.36,147.03
"OH",2000,4,148.94,148.45
"OH",2001,1,149.59,149.78
"OH",2001,2,152.84,151.2
"OH",2001,3,153.68,152.28
"OH",2001,4,154.15,153.66
"OH",2002,1,155.42,155.74
"OH",2002,2,157.78,155.98
"OH",2002,3,159.31,157.81
"OH",2002,4,159.97,159.51
"OH",2003,1,160.11,160.55
"OH",2003,2,164.3,162.31
"OH",2003,3,165.45,163.79
"OH",2003,4,165.52,165.18
"OH",2004,1,166.31,166.86
"OH",2004,2,169.97,167.79
"OH",2004,3,171.06,169.21
"OH",2004,4,170.81,170.61
"OH",2005,1,171.45,172.2
"OH",2005,2,175.63,173.16
"OH",2005,3,175.74,173.68
"OH",2005,4,175.09,175.04
"OH",2006,1,174.62,175.68
"OH",2006,2,178.49,175.74
"OH",2006,3,177.63,175.24
"OH",2006,4,174.86,175.1
"OH",2007,1,173.54,174.86
"OH",2007,2,177.03,174.1
"OH",2007,3,175.21,172.51
"OH",2007,4,170.58,171.13
"OH",2008,1,166.9,168.34
"OH",2008,2,170.05,167.11
"OH",2008,3,168.1,165.19
"OH",2008,4,159.99,160.85
"OH",2009,1,158.37,159.72
"OK",2000,1,139.33,139.49
"OK",2000,2,141.93,140.92
"OK",2000,3,143.25,141.98
"OK",2000,4,144.38,143.66
"OK",2001,1,144.79,144.92
"OK",2001,2,147.44,146.37
"OK",2001,3,149.33,147.94
"OK",2001,4,149.41,148.79
"OK",2002,1,150.6,150.74
"OK",2002,2,152.49,151.28
"OK",2002,3,154.59,153.12
"OK",2002,4,155.42,154.92
"OK",2003,1,155.67,155.84
"OK",2003,2,158.78,157.35
"OK",2003,3,160.59,159.08
"OK",2003,4,160.99,160.59
"OK",2004,1,162.38,162.6
"OK",2004,2,166.07,164.45
"OK",2004,3,165.34,163.73
"OK",2004,4,168.3,167.98
"OK",2005,1,169.09,169.43
"OK",2005,2,174.01,172.21
"OK",2005,3,176.06,174.17
"OK",2005,4,177.64,177.43
"OK",2006,1,179.99,180.49
"OK",2006,2,184.94,183
"OK",2006,3,185.57,183.3
"OK",2006,4,185.51,185.43
"OK",2007,1,189.11,189.81
"OK",2007,2,191.79,189.79
"OK",2007,3,196.41,193.69
"OK",2007,4,195.59,195.65
"OK",2008,1,192.74,193.57
"OK",2008,2,196.98,194.99
"OK",2008,3,198.24,195.24
"OK",2008,4,192.17,192.29
"OK",2009,1,193.2,194.16
"OR",2000,1,179.48,179.38
"OR",2000,2,181.33,179.7
"OR",2000,3,182.77,181.21
"OR",2000,4,183.75,183.64
"OR",2001,1,186.31,186.28
"OR",2001,2,189.7,188.08
"OR",2001,3,192.11,190.38
"OR",2001,4,192.82,192.6
"OR",2002,1,194.96,195.05
"OR",2002,2,199.71,198.15
"OR",2002,3,203.2,201.17
"OR",2002,4,204.47,204.13
"OR",2003,1,207.74,208.05
"OR",2003,2,213.91,212.34
"OR",2003,3,217.8,215.36
"OR",2003,4,221.66,221.26
"OR",2004,1,226.33,226.94
"OR",2004,2,234.27,232.5
"OR",2004,3,243.61,240.67
"OR",2004,4,249.46,249.04
"OR",2005,1,256.58,257.57
"OR",2005,2,270.84,268.6
"OR",2005,3,287.81,284.12
"OR",2005,4,297.12,296.82
"OR",2006,1,305.98,307.47
"OR",2006,2,319.7,316.68
"OR",2006,3,327.92,323.54
"OR",2006,4,326.4,326.41
"OR",2007,1,334.45,336.32
"OR",2007,2,342.32,338.62
"OR",2007,3,341.14,336.46
"OR",2007,4,334.95,335.38
"OR",2008,1,328.32,330.26
"OR",2008,2,332.25,328.25
"OR",2008,3,324.22,319.76
"OR",2008,4,311.22,311.9
"OR",2009,1,302.83,304.63
"PA",2000,1,116.88,117.18
"PA",2000,2,120.03,118.96
"PA",2000,3,120.94,119.81
"PA",2000,4,121.99,121.75
"PA",2001,1,123.15,123.49
"PA",2001,2,127.13,126
"PA",2001,3,129.18,127.92
"PA",2001,4,129.94,129.71
"PA",2002,1,132.12,132.5
"PA",2002,2,135.95,134.81
"PA",2002,3,139.38,137.9
"PA",2002,4,142.07,141.86
"PA",2003,1,144.21,144.62
"PA",2003,2,148.76,147.56
"PA",2003,3,152.72,151.03
"PA",2003,4,154.02,153.81
"PA",2004,1,157.48,157.93
"PA",2004,2,164.02,162.75
"PA",2004,3,169.08,167.13
"PA",2004,4,172.9,172.74
"PA",2005,1,174.86,175.31
"PA",2005,2,182.14,180.72
"PA",2005,3,188.77,186.59
"PA",2005,4,191.12,191.02
"PA",2006,1,193.73,194.17
"PA",2006,2,198.06,196.48
"PA",2006,3,200.53,198.23
"PA",2006,4,200.13,200.14
"PA",2007,1,201.73,202.08
"PA",2007,2,206.08,204.39
"PA",2007,3,206.12,203.81
"PA",2007,4,203.9,203.99
"PA",2008,1,203.04,203.31
"PA",2008,2,203.04,201.33
"PA",2008,3,201.92,199.71
"PA",2008,4,196.95,197.09
"PA",2009,1,194.76,194.97
"RI",2000,1,107.09,108.36
"RI",2000,2,113.54,113.26
"RI",2000,3,118.35,117.35
"RI",2000,4,120.06,120.03
"RI",2001,1,122.45,123.97
"RI",2001,2,128.96,128.72
"RI",2001,3,134.57,133.23
"RI",2001,4,139.17,139.32
"RI",2002,1,143.53,145.16
"RI",2002,2,152.1,151.91
"RI",2002,3,162.09,160.42
"RI",2002,4,166.93,167.3
"RI",2003,1,171.36,173.07
"RI",2003,2,181,180.77
"RI",2003,3,187.78,185.97
"RI",2003,4,193.78,194.34
"RI",2004,1,201.42,203.17
"RI",2004,2,209.78,209.37
"RI",2004,3,221.26,219.53
"RI",2004,4,221.79,222.4
"RI",2005,1,231.3,233.13
"RI",2005,2,234.84,234.07
"RI",2005,3,239.99,238.65
"RI",2005,4,237.73,238.4
"RI",2006,1,236.85,238.43
"RI",2006,2,242.6,241.55
"RI",2006,3,237.95,237.12
"RI",2006,4,237.93,238.72
"RI",2007,1,229.43,230.61
"RI",2007,2,230.39,229.14
"RI",2007,3,227.81,227.5
"RI",2007,4,224.64,225.48
"RI",2008,1,219.06,219.83
"RI",2008,2,215.57,214.29
"RI",2008,3,206.62,206.61
"RI",2008,4,202.58,203.49
"RI",2009,1,206.06,206.47
"SC",2000,1,140.52,140.59
"SC",2000,2,143.52,142.78
"SC",2000,3,144.16,143.49
"SC",2000,4,144.32,144.47
"SC",2001,1,146.37,146.36
"SC",2001,2,148,147.33
"SC",2001,3,149.22,148.48
"SC",2001,4,149.6,149.76
"SC",2002,1,151.53,151.46
"SC",2002,2,152.48,151.88
"SC",2002,3,154.23,153.46
"SC",2002,4,155.01,155.12
"SC",2003,1,155.29,155.21
"SC",2003,2,157.76,157.16
"SC",2003,3,159.74,159
"SC",2003,4,160.29,160.3
"SC",2004,1,162.96,162.99
"SC",2004,2,165.15,164.39
"SC",2004,3,168.56,167.85
"SC",2004,4,170.24,170.3
"SC",2005,1,172.56,172.66
"SC",2005,2,176.33,175.29
"SC",2005,3,179.75,178.99
"SC",2005,4,184.48,184.87
"SC",2006,1,186.74,186.77
"SC",2006,2,191.8,190.41
"SC",2006,3,191.61,190.67
"SC",2006,4,194.93,195.95
"SC",2007,1,197.39,197.16
"SC",2007,2,201.49,199.84
"SC",2007,3,200.83,199.64
"SC",2007,4,198.34,200.05
"SC",2008,1,200.65,200.11
"SC",2008,2,201.15,199.39
"SC",2008,3,199.27,197.88
"SC",2008,4,190.89,193.12
"SC",2009,1,194.7,193.87
"SD",2000,1,157.24,157.23
"SD",2000,2,160.01,158.59
"SD",2000,3,162.85,161.39
"SD",2000,4,160.73,161.55
"SD",2001,1,161.94,161.97
"SD",2001,2,166.54,165.03
"SD",2001,3,168.4,166.82
"SD",2001,4,169.38,170.25
"SD",2002,1,168.86,168.98
"SD",2002,2,175.03,173.41
"SD",2002,3,173.82,172.18
"SD",2002,4,174.67,175.47
"SD",2003,1,176.53,176.76
"SD",2003,2,181.42,179.79
"SD",2003,3,185.06,183.26
"SD",2003,4,184.47,185.17
"SD",2004,1,186.82,187.24
"SD",2004,2,190.93,189.24
"SD",2004,3,196.15,194.2
"SD",2004,4,194.05,194.66
"SD",2005,1,198.35,198.93
"SD",2005,2,205.3,203.5
"SD",2005,3,205.92,203.82
"SD",2005,4,209.8,210.4
"SD",2006,1,208.63,209.3
"SD",2006,2,214.71,212.88
"SD",2006,3,217.08,214.81
"SD",2006,4,217.22,217.84
"SD",2007,1,220.09,220.78
"SD",2007,2,221.86,220.05
"SD",2007,3,225.2,222.77
"SD",2007,4,225.31,225.96
"SD",2008,1,225.62,226.31
"SD",2008,2,228.52,226.68
"SD",2008,3,229.81,227.36
"SD",2008,4,225.09,225.69
"SD",2009,1,226.27,226.96
"TN",2000,1,144.61,144.24
"TN",2000,2,146.66,145.71
"TN",2000,3,146.94,146.22
"TN",2000,4,147.43,147.15
"TN",2001,1,148.46,148.11
"TN",2001,2,149.68,148.76
"TN",2001,3,150.39,149.57
"TN",2001,4,152.16,151.92
"TN",2002,1,152.76,152.41
"TN",2002,2,154.24,153.31
"TN",2002,3,156,155.06
"TN",2002,4,155.97,155.78
"TN",2003,1,158.13,157.81
"TN",2003,2,160.43,159.42
"TN",2003,3,162.09,161.01
"TN",2003,4,163.88,163.82
"TN",2004,1,164.9,164.61
"TN",2004,2,168.35,167.18
"TN",2004,3,171.33,170.13
"TN",2004,4,172.28,172.32
"TN",2005,1,175.89,175.7
"TN",2005,2,179.43,178
"TN",2005,3,182.98,181.63
"TN",2005,4,185.53,185.75
"TN",2006,1,189.7,189.59
"TN",2006,2,194.42,192.66
"TN",2006,3,196.38,194.87
"TN",2006,4,197.75,198.14
"TN",2007,1,200.48,200.46
"TN",2007,2,205.29,203.26
"TN",2007,3,205.19,203.53
"TN",2007,4,202.72,203.3
"TN",2008,1,201.72,201.75
"TN",2008,2,202.68,200.55
"TN",2008,3,200.13,198.44
"TN",2008,4,194.73,195.4
"TN",2009,1,193.5,193.57
"TX",2000,1,135.96,135.94
"TX",2000,2,139.22,138.11
"TX",2000,3,141.65,140.49
"TX",2000,4,142.99,142.66
"TX",2001,1,144.48,144.45
"TX",2001,2,147.15,145.96
"TX",2001,3,148.35,147.14
"TX",2001,4,148.51,148.19
"TX",2002,1,149.51,149.49
"TX",2002,2,152.2,150.93
"TX",2002,3,153.04,151.78
"TX",2002,4,153.46,153.16
"TX",2003,1,153.96,153.95
"TX",2003,2,155.82,154.49
"TX",2003,3,156.8,155.49
"TX",2003,4,156.83,156.56
"TX",2004,1,157.75,157.76
"TX",2004,2,160.64,159.24
"TX",2004,3,161.81,160.42
"TX",2004,4,162.36,162.11
"TX",2005,1,164.24,164.32
"TX",2005,2,168.05,166.54
"TX",2005,3,170.51,168.97
"TX",2005,4,171.77,171.55
"TX",2006,1,174.61,174.79
"TX",2006,2,178.54,176.89
"TX",2006,3,181.18,179.42
"TX",2006,4,183.39,183.22
"TX",2007,1,185.45,185.75
"TX",2007,2,189.55,187.76
"TX",2007,3,190.92,188.95
"TX",2007,4,189.81,189.69
"TX",2008,1,189.91,190.32
