CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000001732','1840',1,'3','-6','2','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001732','3760',1,'2','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001732','6440',1,'3','-6','1','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
'000000001733','3760',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001734','3760',1,'2','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001735','1520',1,'3','-6','1','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001735','1840',1,'3','-6','2','2','-9',2,'1','2','2','1','-9','-9','-9','-9','-9'
'000000001735','1840',2,'2','-6','1','2','-9',2,'1','1','2','2','-9','-9','-9','-9','-9'
'000000001736','5000',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001737','1840',1,'3','-6','3','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001737','3760',1,'3','-6','3','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000001738','6440',1,'3','-6','2','1','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'000000001739','1840',1,'3','-6','3','1','-9',-7,'-6','2','1','1','-9','-9','-9','1','-9'
'000000001739','3760',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001740','1840',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001741','1840',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001741','3760',1,'3','-6','3','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001742','3760',1,'3','-6','1','2','-9',5,'1','3','2','1','-9','-9','-9','-9','-9'
'000000001742','5000',1,'3','-6','1','2','-9',2,'1','2','1','1','-9','-9','-9','-9','-9'
'000000001742','5000',2,'3','-6','2','2','-9',3,'1','2','2','2','-9','-9','-9','-9','-9'
'000000001744','1520',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'000000001744','1840',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001744','3760',1,'3','-6','3','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'000000001744','3760',2,'3','-6','3','1','-9',2,'-6','2','1','2','-9','-9','-9','-9','-9'
'000000001744','5000',1,'3','-6','3','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001745','1840',1,'3','-6','1','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000001745','3760',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001746','1520',1,'3','-6','-7','2','-9',2,'2','3','1','1','-9','-9','-9','-9','-9'
'000000001746','1840',1,'2','-6','2','2','-9',2,'2','2','1','1','-9','-9','-9','-9','-9'
'000000001746','3760',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000001746','5000',1,'3','-6','2','2','-9',3,'2','2','1','1','-9','-9','-9','-9','-9'
'000000001747','5000',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000001748','3760',1,'3','-6','1','1','-9',4,'-6','3','1','1','-9','-9','-9','-9','-9'
'000000001748','5000',1,'3','-6','1','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000001749','6440',1,'3','-6','-7','2','-9',4,'1','1','3','1','-9','-9','-9','-9','-9'
