CONTROL,SMSA,OWNHERE,JWNHER
'000000000001','1840','-6','-9'
'000000000001','5000','2','-9'
'000000000002','5000','2','-9'
'000000000002','6440','2','-9'
'000000000003','1520','-6','-9'
'000000000003','1840','-6','-9'
'000000000004','1840','-6','-9'
'000000000004','5000','1','-9'
'000000000004','6440','1','-9'
'000000000005','1520','-6','-9'
'000000000007','1520','-6','-9'
'000000000007','1840','-6','-9'
'000000000008','1520','-6','-9'
'000000000008','1840','-6','-9'
'000000000008','5000','2','-9'
'000000000009','5000','2','-9'
'000000000010','5000','-6','-9'
'000000000011','1840','2','2'
'000000000012','1520','-6','-9'
'000000000012','1840','2','-9'
'000000000012','5000','2','-9'
'000000000012','6440','-6','-9'
'000000000013','1520','2','-9'
'000000000013','1840','2','-9'
'000000000014','5000','1','-9'
'000000000015','6440','1','-9'
'000000000016','1520','1','-9'
'000000000016','5000','2','2'
'000000000016','6440','1','-9'
'000000000017','1520','-6','-9'
'000000000017','3760','-6','-9'
'000000000018','1520','1','-9'
'000000000019','1840','-6','-9'
'000000000019','5000','2','-9'
'000000000020','1520','2','-9'
'000000000020','6440','-6','-9'
'000000000021','1520','-6','-9'
'000000000021','6440','2','-9'
'000000000023','1840','1','-9'
'000000000024','1840','-6','-9'
'000000000024','6440','-6','-9'
'000000000025','1520','2','2'
'000000000025','6440','2','-9'
'000000000026','1840','-6','-9'
'000000000026','6440','1','-9'
'000000000027','1840','-6','-9'
'000000000027','3760','-6','-9'
'000000000029','1520','-6','-9'
'000000000029','5000','-6','-9'
'000000000030','1840','-6','-9'
'000000000030','5000','2','-9'
'000000000030','6440','2','-9'
'000000000031','1840','-6','-9'
'000000000031','6440','-6','-9'
'000000000032','1520','1','2'
'000000000033','6440','1','-9'
'000000000035','1840','-6','-9'
'000000000036','3760','-6','-9'
'000000000037','1520','-6','-9'
'000000000037','1840','2','-9'
'000000000039','1520','2','-9'
'000000000041','3760','-6','-9'
'000000000042','1840','-6','-9'
'000000000042','3760','2','-9'
'000000000042','6440','-6','-9'
'000000000043','6440','1','-9'
'000000000046','5000','1','-9'
'000000000047','5000','2','-9'
'000000000048','3760','-6','-9'
'000000000049','6440','2','-9'
'000000000050','1520','-6','-9'
'000000000050','1840','-6','-9'
'000000000050','3760','-6','-9'
'000000000051','1840','-6','-9'
'000000000051','6440','-6','-9'
'000000000052','1520','-6','-9'
'000000000052','1840','-6','-9'
'000000000052','6440','-6','-9'
'000000000053','1840','-6','-9'
'000000000055','3760','-6','-9'
'000000000056','5000','2','-9'
'000000000057','5000','-6','-9'
'000000000057','6440','1','-9'
'000000000059','5000','2','-9'
'000000000060','1520','2','-9'
'000000000060','3760','-6','-9'
'000000000060','5000','-6','-9'
'000000000062','1840','-6','-9'
'000000000065','5000','-6','-9'
'000000000065','6440','-6','-9'
'000000000066','1520','2','-9'
'000000000067','1520','-6','-9'
'000000000067','6440','1','-9'
'000000000071','3760','-6','-9'
'000000000072','1520','2','-9'
'000000000073','6440','1','-9'
'000000000074','1520','2','-9'
'000000000074','5000','-6','-9'
'000000000076','6440','-6','-9'
'000000000077','1520','-6','-9'
'000000000079','6440','1','-9'
'000000000080','1520','2','-9'
'000000000080','3760','-6','-9'
'000000000081','1520','2','-9'
'000000000082','3760','-6','-9'
'000000000084','6440','2','2'
'000000000085','1520','-6','-9'
'000000000085','1840','2','-9'
'000000000085','5000','2','2'
'000000000086','6440','1','-9'
'000000000087','1520','2','-9'
'000000000087','5000','-6','-9'
'000000000088','5000','-6','-9'
'000000000088','6440','1','-9'
'000000000090','6440','-6','-9'
'000000000092','1840','1','-9'
'000000000092','5000','2','-9'
'000000000093','1520','-6','-9'
'000000000093','3760','-6','-9'
'000000000093','5000','2','-9'
'000000000094','1520','1','-9'
'000000000094','5000','-6','-9'
'000000000096','6440','1','-9'
'000000000097','1520','-6','-9'
'000000000097','1840','-6','-9'
'000000000097','5000','2','-9'
'000000000098','1520','-6','-9'
'000000000098','1840','2','-9'
'000000000098','5000','1','-9'
'000000000100','1840','2','-9'
'000000000100','6440','1','-9'
'000000000101','5000','1','-9'
'000000000102','5000','1','2'
'000000000103','1840','2','2'
'000000000104','5000','2','-9'
'000000000105','1840','2','-9'
'000000000105','6440','1','-9'
'000000000106','1520','-6','-9'
'000000000106','5000','2','2'
'000000000106','6440','1','-9'
'000000000108','5000','1','2'
'000000000109','1840','2','-9'
'000000000109','6440','1','-9'
'000000000110','1840','2','-9'
'000000000110','5000','1','-9'
'000000000111','1520','2','-9'
'000000000116','5000','1','-9'
'000000000116','6440','2','-9'
'000000000118','1840','1','-9'
'000000000119','5000','-6','-9'
'000000000120','1520','-6','-9'
'000000000121','1520','-6','-9'
'000000000122','5000','-6','-9'
'000000000123','1840','1','-9'
'000000000124','6440','-6','-9'
'000000000125','5000','2','-9'
'000000000126','5000','1','2'
'000000000129','6440','1','-9'
'000000000131','1520','2','-9'
'000000000133','5000','2','2'
'000000000133','6440','2','-9'
'000000000134','5000','2','-9'
'000000000135','5000','1','-9'
'000000000135','6440','1','-9'
'000000000136','5000','-6','-9'
'000000000136','6440','1','-9'
'000000000137','5000','-6','-9'
'000000000138','1520','2','-9'
'000000000138','5000','-6','-9'
'000000000139','6440','1','-9'
'000000000140','1840','-6','-9'
'000000000140','5000','-6','-9'
'000000000140','6440','2','-9'
'000000000141','6440','1','-9'
'000000000142','1840','2','-9'
'000000000143','5000','-6','-9'
'000000000144','1520','-6','-9'
'000000000144','6440','-6','-9'
'000000000146','5000','-6','-9'
'000000000147','6440','1','-9'
'000000000150','5000','2','-9'
