"state","puma5","cbsa","stab","cbsaname","pop2k","afact"
"FIPS state","puma5","cbsa","State Postal Code","CBSA Name","Total Pop, 2000 census","puma5 to cbsa alloc factor"
"04","00117","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",143876,1 
"04","00118","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",148303,1 
"04","00119","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",104352,1 
"04","00120","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",189676,1 
"04","00121","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",126516,1 
"04","00122","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",100117,1 
"04","00201","46060","AZ","Tucson, AZ Metropolitan Statistical Area",130097,1 
"04","00202","46060","AZ","Tucson, AZ Metropolitan Statistical Area",107604,1 
"04","00203","46060","AZ","Tucson, AZ Metropolitan Statistical Area",101880,1 
"04","00204","46060","AZ","Tucson, AZ Metropolitan Statistical Area",136739,1 
"04","00205","46060","AZ","Tucson, AZ Metropolitan Statistical Area",100961,1 
"04","00206","46060","AZ","Tucson, AZ Metropolitan Statistical Area",107307,1 
"04","00207","46060","AZ","Tucson, AZ Metropolitan Statistical Area",159158,1 
"04","00300"," ","AZ"," ",69423,0.416 
"04","00300","43320","AZ","Show Low, AZ",97470,0.584 
"04","00400","22380","AZ","Flagstaff, AZ Metropolitan Statistical Area",116320,1 
"04","00500","39140","AZ","Prescott, AZ Metropolitan Statistical Area",167517,1 
"04","00600"," ","AZ"," ",19715,0.113 
"04","00600","29420","AZ","Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",155032,0.887 
"04","00700","49740","AZ","Yuma, AZ Metropolitan Statistical Area",160026,1 
"04","00800","37740","AZ","Payson, AZ Micropolitan Statistical Area",51335,0.222 
"04","00800","38060","AZ","Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",179727,0.778 
"04","00900","35700","AZ","Nogales, AZ Micropolitan Statistical Area",38381,0.194 
"04","00900","40940","AZ","Safford, AZ Micropolitan Statistical Area",42036,0.212 
"04","00900","43420","AZ","Sierra Vista-Douglas, AZ Micropolitan Statistical Area",117755,0.594 
"05","00100","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",153406,1 
"05","00200","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",157715,1 
"05","00300"," ","AR"," ",49758,0.343 
"05","00300","22220","AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",14243,0.098 
"05","00300","25460","AR","Harrison, AR Micropolitan Statistical Area",42556,0.294 
"05","00300","34260","AR","Mountain Home, AR Micropolitan Statistical Area",38386,0.265 
"05","00400"," ","AR"," ",93747,0.733 
"05","00400","12900","AR","Batesville, AR Micropolitan Statistical Area",34233,0.267 
"05","00500"," ","AR"," ",53578,0.31 
"05","00500","27860","AR","Jonesboro, AR Metropolitan Statistical Area",82148,0.475 
"05","00500","37500","AR","Paragould, AR Micropolitan Statistical Area",37331,0.216 
"05","00600","14180","AR","Blytheville, AR Micropolitan Statistical Area",51979,0.505 
"05","00600","32820","AR","Memphis, TN-MS-AR Metropolitan Statistical Area",50866,0.495 
"05","00700"," ","AR"," ",32106,0.283 
"05","00700","22620","AR","Forrest City, AR Micropolitan Statistical Area",29329,0.258 
"05","00700","25760","AR","Helena-West Helena, AR Micropolitan Statistical Area",26445,0.233 
"05","00700","27860","AR","Jonesboro, AR Metropolitan Statistical Area",25614,0.226 
"05","00800"," ","AR"," ",46952,0.411 
"05","00800","42620","AR","Searcy, AR Micropolitan Statistical Area",67165,0.589 
"05","00900","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",183133,1 
"05","01000","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",178341,1 
"05","01100","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",222371,1 
"05","01200"," ","AR"," ",43117,0.334 
"05","01200","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",10209,0.079 
"05","01200","40780","AR","Russellville, AR Micropolitan Statistical Area",75608,0.586 
"05","01300","22900","AR","Fort Smith, AR-OK Metropolitan Statistical Area",168318,1 
"05","01400"," ","AR"," ",83768,0.825 
"05","01400","22900","AR","Fort Smith, AR-OK Metropolitan Statistical Area",17771,0.175 
"05","01500"," ","AR"," ",39598,0.262 
"05","01500","11660","AR","Arkadelphia, AR Micropolitan Statistical Area",23546,0.156 
"05","01500","26300","AR","Hot Springs, AR Metropolitan Statistical Area",88068,0.582 
"05","01600"," ","AR"," ",20749,0.171 
"05","01600","30780","AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",16464,0.136 
"05","01600","38220","AR","Pine Bluff, AR Metropolitan Statistical Area",84278,0.694 
"05","01700"," ","AR"," ",84990,0.787 
"05","01700","38220","AR","Pine Bluff, AR Metropolitan Statistical Area",23063,0.213 
"05","01800"," ","AR"," ",9210,0.08 
"05","01800","15780","AR","Camden, AR Micropolitan Statistical Area",34534,0.3 
"05","01800","20980","AR","El Dorado, AR Micropolitan Statistical Area",45629,0.397 
"05","01800","31620","AR","Magnolia, AR Micropolitan Statistical Area",25603,0.223 
"05","01900"," ","AR"," ",33490,0.312 
"05","01900","26260","AR","Hope, AR Micropolitan Statistical Area",33542,0.312 
"05","01900","45500","AR","Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",40443,0.376 
"06","00100"," ","CA"," ",53750,0.467 
"06","00100","18860","CA","Crescent City, CA Micropolitan Statistical Area",27507,0.239 
"06","00100","45000","CA","Susanville, CA Micropolitan Statistical Area",33828,0.294 
"06","00200","21700","CA","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",126518,1 
"06","00300","39820","CA","Redding, CA Metropolitan Statistical Area",163256,1 
"06","00400","17340","CA","Clearlake, CA Micropolitan Statistical Area",58309,0.403 
"06","00400","46380","CA","Ukiah, CA Micropolitan Statistical Area",86265,0.597 
"06","00500"," ","CA"," ",58279,0.51 
"06","00500","39780","CA","Red Bluff, CA Micropolitan Statistical Area",56039,0.49 
"06","00600","17020","CA","Chico, CA Metropolitan Statistical Area",203171,1 
"06","00700"," ","CA"," ",24379,0.209 
"06","00700","46020","CA","Truckee-Grass Valley, CA Micropolitan Statistical Area",92033,0.791 
"06","00800","49700","CA","Yuba City, CA Metropolitan Statistical Area",139149,1 
"06","00900","40900","CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",168660,1 
"06","01000","34900","CA","Napa, CA Metropolitan Statistical Area",124279,1 
"06","01101","42220","CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",177541,1 
