"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
" ","26","01100","MI",89677,0.005 
" ","26","01600","MI",24527,0.001 
" ","26","02100","MI",61266,0.003 
" ","26","03000","MI",46527,0.002 
" ","27","00100","MN",57103,0.003 
" ","27","00200","MN",66511,0.003 
" ","27","00300","MN",74573,0.004 
" ","27","00500","MN",79157,0.004 
" ","27","00600","MN",69851,0.004 
" ","27","00700","MN",49488,0.003 
" ","27","01800","MN",55154,0.003 
" ","27","01900","MN",55479,0.003 
" ","27","02000","MN",19526,0.001 
" ","27","02100","MN",25426,0.001 
" ","27","02200","MN",21122,0.001 
" ","27","02500","MN",80273,0.004 
" ","28","00200","MS",28852,0.002 
" ","28","00300","MS",44719,0.002 
" ","28","00400","MS",25362,0.001 
" ","28","00500","MS",44391,0.002 
" ","28","00700","MS",26109,0.001 
" ","28","00800","MS",80022,0.004 
" ","28","00900","MS",39600,0.002 
" ","28","01000","MS",50562,0.003 
" ","28","01100","MS",21838,0.001 
" ","28","01200","MS",94229,0.005 
" ","28","01600","MS",30463,0.002 
" ","28","01700","MS",68198,0.004 
" ","28","01800","MS",34515,0.002 
" ","28","02000","MS",59511,0.003 
" ","29","00100","MO",66637,0.003 
" ","29","00300","MO",58101,0.003 
" ","29","00400","MO",39798,0.002 
" ","29","00500","MO",16670,0.001 
" ","29","00700","MO",18723,0.001 
" ","29","01200","MO",104497,0.005 
" ","29","01300","MO",79924,0.004 
" ","29","01400","MO",60652,0.003 
" ","29","02000","MO",58471,0.003 
" ","29","02100","MO",53234,0.003 
" ","29","02200","MO",69103,0.004 
" ","29","02300","MO",82252,0.004 
" ","29","02600","MO",77137,0.004 
" ","30","00100","MT",55571,0.003 
" ","30","00200","MT",48849,0.003 
" ","30","00300","MT",125921,0.007 
" ","30","00500","MT",33679,0.002 
" ","30","00600","MT",23812,0.001 
" ","30","00700","MT",39954,0.002 
" ","31","00100","NE",79041,0.004 
" ","31","00200","NE",82195,0.004 
" ","31","00300","NE",35958,0.002 
" ","31","00400","NE",45188,0.002 
" ","31","00500","NE",26225,0.001 
" ","31","00600","NE",103947,0.005 
" ","32","00300","NV",47981,0.003 
" ","33","00200","NH",43666,0.002 
" ","35","00200","NM",9860,0.001 
" ","35","00300","NM",31568,0.002 
" ","35","00800","NM",40823,0.002 
" ","36","00200","NY",44230,0.002 
" ","36","00500","NY",26944,0.001 
" ","36","01200","NY",43424,0.002 
" ","36","01800","NY",51401,0.003 
" ","36","01900","NY",48055,0.003 
" ","36","02500","NY",48195,0.003 
" ","36","02700","NY",19224,0.001 
" ","36","02800","NY",24621,0.001 
" ","36","02900","NY",49927,0.003 
" ","36","03101","NY",73966,0.004 
" ","37","00100","NC",116966,0.006 
" ","37","00400","NC",60475,0.003 
" ","37","00500","NC",75012,0.004 
" ","37","00600","NC",10677,0.001 
" ","37","02400","NC",23501,0.001 
" ","37","02500","NC",26822,0.001 
" ","37","03200","NC",109224,0.006 
" ","37","03300","NC",68470,0.004 
" ","37","03500","NC",22601,0.001 
" ","37","04100","NC",87027,0.005 
" ","37","04700","NC",45366,0.002 
" ","37","04800","NC",48740,0.003 
" ","38","00100","ND",40455,0.002 
" ","38","00200","ND",58174,0.003 
" ","38","00300","ND",73598,0.004 
" ","38","00500","ND",35424,0.002 
" ","39","00100","OH",68398,0.004 
" ","39","01500","OH",22908,0.001 
" ","39","01600","OH",55019,0.003 
" ","39","01800","OH",31945,0.002 
" ","39","02500","OH",15856,0.001 
" ","39","02600","OH",38943,0.002 
" ","39","03400","OH",34078,0.002 
" ","39","03500","OH",44135,0.002 
" ","39","03600","OH",64119,0.003 
" ","39","03700","OH",27695,0.001 
" ","39","03800","OH",40875,0.002 
" ","39","04700","OH",27330,0.001 
" ","39","04800","OH",32641,0.002 
" ","40","00100","OK",75170,0.004 
" ","40","00200","OK",11411,0.001 
" ","40","00300","OK",60657,0.003 
" ","40","00400","OK",52869,0.003 
" ","40","00500","OK",83440,0.004 
" ","40","00600","OK",50862,0.003 
" ","40","00700","OK",83895,0.004 
" ","40","00800","OK",40494,0.002 
" ","40","00900","OK",100965,0.005 
" ","41","00100","OR",23967,0.001 
" ","41","00200","OR",32340,0.002 
" ","41","00300","OR",15031,0.001 
" ","41","00500","OR",68741,0.004 
" ","42","00400","PA",24054,0.001 
" ","42","00500","PA",47929,0.002 
" ","42","00600","PA",89960,0.005 
" ","42","01200","PA",22821,0.001 
" ","42","01400","PA",45932,0.002 
" ","42","01500","PA",46711,0.002 
" ","42","02202","PA",40672,0.002 
" ","42","02700","PA",64245,0.003 
" ","45","00800","SC",36125,0.002 
" ","45","01300","SC",62887,0.003 
" ","45","01600","SC",35466,0.002 
" ","45","01800","SC",72733,0.004 
" ","45","02300","SC",69719,0.004 
" ","46","00200","SD",77395,0.004 
" ","46","00300","SD",47649,0.002 
" ","46","00400","SD",43058,0.002 
" ","46","00500","SD",59616,0.003 
" ","47","00100","TN",22486,0.001 
" ","47","00200","TN",72029,0.004 
" ","47","00600","TN",52477,0.003 
" ","47","00700","TN",77532,0.004 
" ","47","00900","TN",17499,0.001 
" ","47","01600","TN",38961,0.002 
" ","47","02000","TN",66185,0.003 
" ","47","02100","TN",23102,0.001 
" ","47","02500","TN",31340,0.002 
" ","47","02700","TN",65287,0.003 
" ","47","02800","TN",115589,0.006 
