"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"91","Fort Pierce-Port St. Lucie*  FL MSA","226",218,2,0,6,1
"92","Fort Smith* AR-OK MSA","23",20,0,3,0,0
"93","Fort Walton Beach* FL MSA","116",100,2,3,11,1
"94","Fort Wayne* IN MSA","98",98,0,0,0,0
"95","Fresno  CA MSA","234",232,2,0,0,0
"96","Gadsden* AL MSA","4",4,0,0,0,0
"97","Gainesville* FL MSA","198",87,2,3,106,8
"98","Glens Falls* NY MSA","13",13,0,0,0,0
"99","Goldsboro* NC MSA","36",36,0,0,0,0
"100","Grand Forks* ND-MN MSA","16",0,0,0,16,1
"101","Grand Junction* CO MSA","87",87,0,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","394",326,2,3,63,5
"103","Great Falls* MT MSA","8",4,0,4,0,0
"104","Green Bay* WI MSA","85",56,6,0,23,2
"105","Greensboro--Winston-Salem--  High Point  NC MSA","798",657,6,39,96,12
"106","Greenville* NC MSA","144",38,26,0,80,4
"107","Greenville-Spartanburg-  Anderson* SC MSA","687",486,14,0,187,12
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","99",99,0,0,0,0
"109","Hartford* CT MSA","220",200,0,0,20,3
"110","Hattiesburg* MS MSA","103",3,0,0,100,13
"111","Hickory-Morganton-Lenoir*  NC MSA","337",141,0,0,196,14
"112","Honolulu  HI MSA","103",103,0,0,0,0
"113","Houma* LA MSA","57",57,0,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","3668",2393,0,4,1271,41
"115","Huntington-Ashland* WV-KY-  OH MSA","13",5,0,0,8,1
"116","Huntsville* AL MSA","74",74,0,0,0,0
"117","Indianapolis  IN MSA","994",843,26,0,125,14
"118","Iowa City* IA MSA","33",19,2,0,12,2
"119","Jackson* MI MSA","2",2,0,0,0,0
"120","Jackson* MS MSA","245",152,0,0,93,10
"121","Jackson* TN MSA","34",32,2,0,0,0
"122","Jacksonville  FL MSA","1815",634,2,0,1179,55
"123","Jacksonville* NC MSA","57",52,2,3,0,0
"124","Jamestown* NY MSA","1",1,0,0,0,0
"125","Janesville-Beloit* WI MSA","37",14,4,3,16,2
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","77",70,2,0,5,1
