"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"116","Fort Walton Beach-Crestview-Destin,  FL","131",72,0,0,59,2
"117","Fort Wayne,* IN","117",115,2,0,0,0
"118","Fresno, CA","411",404,0,7,0,0
"119","Gadsden, AL","13",13,0,0,0,0
"120","Gainesville, FL","89",57,0,0,32,2
"121","Gainesville, GA","180",172,0,8,0,0
"122","Glens Falls, NY","16",16,0,0,0,0
"123","Goldsboro, NC","33",33,0,0,0,0
"124","Grand Forks, ND-MN","0",0,0,0,0,0
"125","Grand Junction,* CO","160",142,18,0,0,0
"126","Grand Rapids-Wyoming,* MI","177",158,0,3,16,2
"127","Great Falls, MT","19",19,0,0,0,0
"128","Greeley,* CO","182",177,0,0,5,1
"129","Green Bay, WI","112",99,0,0,13,2
"130","Greensboro-High Point,* NC","709",375,0,6,328,17
"131","Greenville, NC","162",126,28,0,8,1
"132","Greenville,* SC","666",435,2,0,229,9
"133","Gulfport-Biloxi, MS","819",289,28,0,502,24
"134","Hagerstown-Martinsburg, MD-WV","105",92,2,11,0,0
"135","Hanford-Corcoran, CA","39",39,0,0,0,0
"136","Harrisburg-Carlisle, PA","112",97,0,7,8,1
"137","Harrisonburg,* VA","64",64,0,0,0,0
"138","Hartford-West Hartford-East Hartford,  CT","225",134,4,0,87,4
"139","Hattiesburg, MS","14",10,0,4,0,0
"140","Hickory-Lenoir-Morganton, NC","169",163,6,0,0,0
"141","Hinesville-Fort Stewart, GA","6",6,0,0,0,0
"142","Holland-Grand Haven, MI","63",63,0,0,0,0
"143","Honolulu,* HI","139",115,0,0,24,3
"144","Hot Springs, AR","10",10,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","134",110,0,24,0,0
"146","Houston-Sugar Land-Baytown,* TX","6844",4994,70,99,1681,77
"147","Huntington-Ashland, WV-KY-OH","4",4,0,0,0,0
"148","Huntsville, AL","392",392,0,0,0,0
"149","Idaho Falls, ID","121",121,0,0,0,0
"150","Indianapolis-Carmel,* IN","759",685,16,45,13,2
"151","Iowa City, IA","64",56,0,0,8,1
"152","Ithaca, NY","3",3,0,0,0,0
"153","Jackson, MI","10",10,0,0,0,0
"154","Jackson, MS","290",290,0,0,0,0
"155","Jackson, TN","44",40,4,0,0,0
"156","Jacksonville,* FL","833",734,34,0,65,5
"157","Jacksonville, NC","114",114,0,0,0,0
"158","Janesville, WI","50",31,4,3,12,1
"159","Jefferson City, MO","18",18,0,0,0,0
"160","Johnson City, TN","96",92,4,0,0,0
"161","Johnstown, PA","3",3,0,0,0,0
"162","Jonesboro, AR","37",37,0,0,0,0
"163","Joplin, MO","10",10,0,0,0,0
"164","Kalamazoo-Portage, MI","40",40,0,0,0,0
"165","Kankakee-Bradley, IL","11",11,0,0,0,0
"166","Kansas City,* MO-KS","948",804,38,52,54,6
"167","Kennewick-Richland-Pasco, WA","154",127,2,16,9,1
"168","Killeen-Temple-Fort Hood, TX","258",212,46,0,0,0
"169","Kingsport-Bristol-Bristol, TN-VA","69",66,0,3,0,0
"170","Kingston, NY","19",19,0,0,0,0
"171","Knoxville, TN","342",322,0,0,20,1
