"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"116","Fort Walton Beach-Crestview-Destin,*  FL","141",141,0,0,0,0
"117","Fort Wayne, IN","284",180,80,0,24,3
"118","Fresno,* CA","541",424,26,60,31,4
"119","Gadsden, AL","15",15,0,0,0,0
"120","Gainesville, FL","257",183,0,19,55,3
"121","Gainesville, GA","94",94,0,0,0,0
"122","Glens Falls, NY","53",44,0,4,5,1
"123","Goldsboro,* NC","64",56,0,0,8,1
"124","Grand Forks, ND-MN","32",17,0,0,15,1
"125","Grand Junction,* CO","133",121,4,8,0,0
"126","Grand Rapids-Wyoming, MI","578",351,2,7,218,4
"127","Great Falls, MT","15",15,0,0,0,0
"128","Greeley,* CO","412",309,8,10,85,5
"129","Green Bay, WI","197",167,10,0,20,2
"130","Greensboro-High Point, NC","315",297,2,16,0,0
"131","Greenville, NC","107",72,4,3,28,3
"132","Greenville, SC","362",353,4,0,5,1
"133","Gulfport-Biloxi, MS","153",147,6,0,0,0
"134","Hagerstown-Martinsburg, MD-WV","300",288,2,4,6,1
"135","Hanford-Corcoran, CA","76",60,0,6,10,1
"136","Harrisburg-Carlisle, PA","155",143,2,3,7,1
"137","Harrisonburg,* VA","90",82,2,0,6,1
"138","Hartford-West Hartford-East Hartford,*  CT","318",275,8,0,35,4
"139","Hattiesburg, MS","4",4,0,0,0,0
"140","Hickory-Lenoir-Morganton, NC","151",123,8,0,20,1
"141","Hinesville-Fort Stewart,* GA","18",14,4,0,0,0
"142","Holland-Grand Haven,* MI","190",140,10,23,17,2
"143","Honolulu,* HI","112",96,12,4,0,0
"144","Hot Springs, AR","11",11,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","56",56,0,0,0,0
"146","Houston-Baytown-Sugar Land, TX","4237",3165,20,20,1032,32
"147","Huntington-Ashland, WV-KY-OH","3",3,0,0,0,0
"148","Huntsville, AL","154",141,4,0,9,1
"149","Idaho Falls, ID","116",111,2,3,0,0
"150","Indianapolis, IN","1275",1033,50,18,174,19
"151","Iowa City, IA","182",90,8,8,76,7
"152","Ithaca, NY","8",8,0,0,0,0
"153","Jackson, MI","34",29,0,0,5,1
"154","Jackson, MS","999",275,0,0,724,63
"155","Jackson, TN","63",57,6,0,0,0
"156","Jacksonville,* FL","1554",1128,26,4,396,34
"157","Jacksonville, NC","73",73,0,0,0,0
"158","Janesville, WI","90",51,10,23,6,1
"159","Jefferson City, MO","37",29,2,6,0,0
"160","Johnson City, TN","74",65,4,0,5,1
"161","Johnstown, PA","5",5,0,0,0,0
"162","Jonesboro, AR","24",24,0,0,0,0
"163","Joplin, MO","16",16,0,0,0,0
"164","Kalamazoo-Portage, MI","97",79,0,7,11,1
"165","Kankakee-Bradley,* IL","60",54,2,4,0,0
"166","Kansas City, MO-KS","1128",1024,28,62,14,1
"167","Kennewick-Richland-Pasco, WA","184",157,0,0,27,2
"168","Killeen-Temple-Fort Hood, TX","272",156,96,20,0,0
"169","Kingsport-Bristol-Bristol, TN-VA","64",62,2,0,0,0
"170","Kingston, NY","43",43,0,0,0,0
"171","Knoxville, TN","266",259,2,0,5,1
"172","Kokomo, IN","28",26,2,0,0,0
"173","La Crosse, WI-MN","57",54,0,3,0,0
"174","Lafayette, IN","164",150,6,8,0,0
"175","Lafayette, LA","114",101,4,3,6,1
"176","Lake Charles, LA","88",56,2,6,24,1
"177","Lakeland,* FL","1688",934,12,22,720,56
"178","Lancaster, PA","126",106,0,3,17,3
"179","Lansing-East Lansing, MI","182",115,6,0,61,5
"180","Laredo,* TX","147",129,0,4,14,1
"181","Las Cruces,* NM","156",113,2,0,41,3
"182","Las Vegas-Paradise,* NV","1782",1426,0,60,296,21
"183","Lawrence, KS","104",51,34,3,16,2
"184","Lawton, OK","12",12,0,0,0,0
"185","Lebanon, PA","51",51,0,0,0,0
"186","Lewiston, ID-WA","6",6,0,0,0,0
"187","Lewiston-Auburn, ME","40",37,0,3,0,0
"188","Lexington-Fayette, KY","614",374,0,0,240,6
"189","Lima, OH","9",9,0,0,0,0
"190","Lincoln, NE","211",172,6,0,33,2
"191","Little Rock-North Little Rock, AR","328",238,0,12,78,5
"192","Logan, UT-ID","159",43,0,3,113,10
"193","Longview, TX","17",17,0,0,0,0
"194","Longview, WA","40",35,0,0,5,1
"195","Los Angeles-Long Beach-Santa Ana,*  CA","2880",1336,42,24,1478,39
"196","Louisville, KY-IN","680",596,2,12,70,6
"197","Lubbock, TX","447",111,48,0,288,12
"198","Lynchburg, VA","91",91,0,0,0,0
"199","Macon, GA","60",56,4,0,0,0
"200","Madera,* CA","214",99,4,16,95,2
"201","Madison, WI","492",277,20,43,152,8
"202","Manchester-Nashua, NH","164",142,4,0,18,2
"203","Mansfield, OH","39",31,0,3,5,1
