"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"104","Green Bay* WI MSA","85",76,4,0,5,1
"105","Greensboro--Winston-Salem--  High Point  NC MSA","884",612,4,15,253,32
"106","Greenville* NC MSA","118",57,8,0,53,3
"107","Greenville-Spartanburg-  Anderson* SC MSA","452",437,2,0,13,1
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","122",118,0,4,0,0
"109","Hartford* CT MSA","326",316,4,0,6,1
"110","Hattiesburg* MS MSA","6",6,0,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","132",119,0,0,13,1
"112","Honolulu  HI MSA","93",88,0,0,5,1
"113","Houma* LA MSA","41",41,0,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","2892",1929,0,243,720,52
"115","Huntington-Ashland* WV-KY-  OH MSA","5",5,0,0,0,0
"116","Huntsville* AL MSA","101",89,0,0,12,1
"117","Indianapolis  IN MSA","1406",1077,18,11,300,10
"118","Iowa City* IA MSA","43",43,0,0,0,0
"119","Jackson* MI MSA","10",10,0,0,0,0
"120","Jackson* MS MSA","525",157,0,4,364,28
"121","Jackson* TN MSA","40",40,0,0,0,0
"122","Jacksonville  FL MSA","565",539,14,0,12,1
"123","Jacksonville* NC MSA","51",47,4,0,0,0
"124","Jamestown* NY MSA","3",3,0,0,0,0
"125","Janesville-Beloit* WI MSA","34",14,4,3,13,2
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","96",87,4,0,5,1
"127","Johnstown* PA MSA","4",4,0,0,0,0
"128","Jonesboro* AR MSA","27",23,0,4,0,0
"129","Joplin* MO MSA","9",9,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","102",76,0,14,12,1
"131","Kansas City  MO-KS MSA","878",704,26,96,52,6
"132","Killeen-Temple* TX MSA","92",86,2,4,0,0
"133","Knoxville* TN MSA","309",228,12,4,65,4
"134","Kokomo* IN MSA","35",35,0,0,0,0
"135","La Crosse* WI-MN MSA","33",27,6,0,0,0
"136","Lafayette* LA MSA","92",92,0,0,0,0
"137","Lafayette* IN MSA","401",61,6,0,334,22
"138","Lake Charles* LA MSA","83",77,6,0,0,0
"139","Lakeland-Winter Haven* FL MSA","373",297,0,4,72,9
"140","Lancaster* PA MSA","114",111,0,3,0,0
"141","Lansing-East Lansing* MI MSA","129",106,2,0,21,2
"142","Laredo* TX MSA","127",100,0,3,24,1
"143","Las Cruces* NM MSA","52",42,0,0,10,1
"144","Las Vegas  NV-AZ MSA","1930",1617,8,108,197,25
"145","Lawrence* KS MSA","77",39,2,0,36,3
"146","Lawton* OK MSA","5",5,0,0,0,0
"147","Lewiston-Auburn* ME MSA","12",12,0,0,0,0
"148","Lexington* KY MSA","326",205,22,16,83,8
"149","Lima* OH MSA","8",8,0,0,0,0
"150","Lincoln* NE MSA","128",85,2,0,41,4
"151","Little Rock-North Little  Rock* AR MSA","255",151,0,16,88,9
"152","Longview-Marshall* TX MSA","12",12,0,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","3822",2960,36,58,768,61
"154","Louisville  KY-IN MSA","540",432,2,0,106,8
"155","Lubbock* TX MSA","54",50,4,0,0,0
"156","Lynchburg* VA MSA","81",78,0,3,0,0
"157","Macon* GA MSA","148",142,6,0,0,0
"158","Madison* WI MSA","489",167,22,15,285,11
"159","Mansfield* OH MSA","39",23,4,0,12,1
"160","McAllen-Edinburg-Mission*  TX MSA","395",340,10,27,18,3
"161","Medford-Ashland* OR MSA","93",86,2,0,5,1
"162","Melbourne-Titusville-Palm  Bay* FL MSA","355",300,0,7,48,2
"163","Memphis  TN-AR-MS MSA","819",463,0,0,356,15
"164","Merced* CA MSA","66",66,0,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","1417",1026,4,112,275,18
"166","Milwaukee-Racine  WI CMSA","541",287,40,10,204,16
"167","Minneapolis-St. Paul  MN-WI  MSA","1719",1259,22,36,402,22
"168","Missoula* MT MSA","22",22,0,0,0,0
"169","Mobile* AL MSA","259",239,0,0,20,3
"170","Modesto* CA MSA","292",212,0,0,80,1
"171","Monroe* LA MSA","18",18,0,0,0,0
"172","Montgomery* AL MSA","114",78,0,12,24,2
"173","Muncie* IN MSA","15",15,0,0,0,0
"174","Myrtle Beach* SC MSA","295",126,2,4,163,13
"175","Naples* FL MSA","640",391,0,60,189,7
"176","Nashville  TN MSA","724",669,8,15,32,3
"177","New London-Norwich* CT-RI MSA","94",68,2,0,24,1
"178","New Orleans* LA MSA","389",289,8,4,88,5
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","4921",2440,372,285,1824,81
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","593",558,0,0,35,4
"181","Ocala* FL MSA","187",187,0,0,0,0
"182","Odessa-Midland* TX MSA","18",18,0,0,0,0
"183","Oklahoma City* OK MSA","444",379,6,0,59,8
"184","Omaha* NE-IA MSA","320",304,0,0,16,2
"185","Orlando  FL MSA","2353",1211,4,4,1134,75
"186","Owensboro* KY MSA","67",67,0,0,0,0
"187","Panama City* FL MSA","89",77,8,4,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","18",18,0,0,0,0
"189","Pensacola* FL MSA","223",195,0,4,24,3
"190","Peoria-Pekin* IL MSA","90",75,2,0,13,1
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","2081",1411,32,72,566,26
"192","Phoenix-Mesa  AZ MSA","4077",2853,12,38,1174,100
"193","Pine Bluff* AR MSA","7",7,0,0,0,0
"194","Pittsburgh  PA MSA","463",366,6,16,75,4
"195","Pittsfield* MA MSA","0",0,0,0,0,0
"196","Pocatello* ID MSA","7",5,2,0,0,0
"197","Portland* ME MSA","99",95,0,4,0,0
"198","Portland-Salem  OR-WA CMSA","1350",974,42,15,319,17
"199","Providence-Fall River-  Warwick* RI-MA MSA","213",188,16,9,0,0
"200","Provo-Orem* UT MSA","271",192,6,37,36,2
"201","Pueblo* CO MSA","88",84,4,0,0,0
"202","Punta Gorda* FL MSA","121",109,0,12,0,0
"203","Raleigh-Durham-Chapel Hill  NC MSA","1286",972,22,23,269,18
