"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","6",6,0,0,0,0,98
"2","Akron, OH","31",21,0,3,7,1,68
"3","Albany, GA","11",8,0,3,0,0,96
"4","Albany-Schenectady-Troy, NY","32",32,0,0,0,0,75
"5","Albuquerque,  NM","109",88,0,0,21,1,100
"6","Alexandria, LA","9",9,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","69",64,0,0,5,1,100
"8","Altoona, PA","0",0,0,0,0,0,9
"9","Amarillo, TX","24",24,0,0,0,0,97
"10","Ames, IA","21",1,0,0,20,2,94
"11","Anchorage,  AK","11",5,6,0,0,0,100
"12","Anderson, IN","3",3,0,0,0,0,64
"13","Anderson, SC","18",18,0,0,0,0,89
"14","Ann Arbor, MI","12",7,0,0,5,1,71
"15","Anniston-Oxford, AL","1",1,0,0,0,0,83
"16","Appleton, WI","16",16,0,0,0,0,81
"17","Asheville, NC","74",74,0,0,0,0,94
"18","Athens-Clarke County, GA","10",6,0,4,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","512",384,0,0,128,5,100
"20","Atlantic City-Hammonton,  NJ","34",30,0,4,0,0,100
"21","Auburn-Opelika,  AL","55",55,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","70",63,0,0,7,1,75
"23","Austin-Round Rock,  TX","1061",326,16,21,698,23,100
"24","Bakersfield, CA","64",54,2,3,5,1,86
"25","Baltimore-Towson,  MD","214",171,0,10,33,2,100
"26","Bangor, ME","10",6,0,4,0,0,53
"27","Barnstable Town, MA","26",26,0,0,0,0,87
"28","Baton Rouge, LA","105",105,0,0,0,0,93
"29","Battle Creek, MI","0",0,0,0,0,0,68
"30","Bay City, MI","1",1,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","32",32,0,0,0,0,71
"32","Bellingham, WA","10",10,0,0,0,0,77
"33","Bend,  OR","16",16,0,0,0,0,100
"34","Billings, MT","9",9,0,0,0,0,92
"35","Binghamton, NY","0",0,0,0,0,0,15
"36","Birmingham-Hoover,  AL","120",110,0,0,10,1,100
"37","Bismarck, ND","3",3,0,0,0,0,98
"38","Bloomington, IN","123",11,0,0,112,3,85
"39","Bloomington-Normal, IL","9",4,0,0,5,1,86
"40","Boise City-Nampa,  ID","146",102,0,44,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","449",182,46,9,212,11,100
"42","Boulder, CO","10",5,0,0,5,1,72
"43","Bowling Green, KY","30",12,10,0,8,1,99
"44","Bradenton-Sarasota-Venice,  FL","91",81,0,0,10,1,100
"45","Bremerton-Silverdale, WA","20",20,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","33",19,6,3,5,1,89
"47","Brownsville-Harlingen, TX","50",48,2,0,0,0,83
"48","Brunswick, GA","17",17,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","34",34,0,0,0,0,78
"50","Burlington, NC","27",27,0,0,0,0,95
"51","Burlington-South Burlington, VT","40",9,0,0,31,1,86
"52","Canton-Massillon, OH","12",12,0,0,0,0,82
"53","Cape Coral-Fort Myers,  FL","75",57,4,8,6,1,100
"54","Carson City,  NV","1",1,0,0,0,0,100
"55","Casper, WY","5",5,0,0,0,0,85
"56","Cedar Rapids, IA","27",18,0,9,0,0,91
"57","Champaign-Urbana, IL","19",8,0,0,11,1,83
"58","Charleston, WV","8",8,0,0,0,0,47
"59","Charleston-North Charleston-Summerville,  SC","177",124,0,12,41,2,NA
"60","Charlottesville, VA","23",18,0,0,5,1,70
"61","Chattanooga, TN-GA","65",55,2,0,8,1,75
"62","Cheyenne, WY","8",8,0,0,0,0,98
"63","Chicago-Naperville-Joliet,  IL-IN-WI","828",227,10,10,581,18,NA
"64","Cincinnati-Middletown,  OH-KY-IN","161",123,0,0,38,5,100
"65","Clarksville, TN-KY","74",62,0,12,0,0,22
"66","Cleveland, TN","13",9,0,4,0,0,74
"67","Cleveland-Elyria-Mentor,  OH","165",101,0,0,64,1,100
"68","Coeur dAlene, ID","41",26,4,0,11,1,99
"69","College Station-Bryan, TX","221",147,28,0,46,8,99
"70","Colorado Springs,  CO","63",63,0,0,0,0,100
"71","Columbia, MO","37",21,4,0,12,1,100
"72","Columbia,  SC","186",148,0,12,26,2,100
