"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","24",24,0,0,0,0,91
"109","Flint, MI","17",17,0,0,0,0,63
"110","Florence, SC","62",46,0,0,16,1,99
"111","Florence-Muscle Shoals, AL","28",15,8,0,5,1,88
"112","Fond du Lac, WI","16",16,0,0,0,0,44
"113","Fort Collins-Loveland,  CO","93",83,0,4,6,1,100
"114","Fort Smith, AR-OK","62",51,0,3,8,1,92
"115","Fort Walton Beach-Crestview-Destin,  FL","34",26,0,0,8,1,77
"116","Fort Wayne,  IN","78",78,0,0,0,0,100
"117","Fresno, CA","289",201,0,10,78,10,81
"118","Gadsden, AL","19",11,0,0,8,1,62
"119","Gainesville, FL","49",21,0,0,28,1,99
"120","Gainesville, GA","44",44,0,0,0,0,94
"121","Glens Falls, NY","28",28,0,0,0,0,77
"122","Goldsboro, NC","25",25,0,0,0,0,79
"123","Grand Forks, ND-MN","14",14,0,0,0,0,221
"124","Grand Junction,  CO","75",75,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","154",114,2,3,35,3,100
"126","Great Falls, MT","13",13,0,0,0,0,91
"127","Greeley,  CO","117",96,0,0,21,2,100
"128","Green Bay, WI","91",81,2,0,8,1,80
"129","Greensboro-High Point,  NC","256",166,0,0,90,5,100
"130","Greenville, NC","75",75,0,0,0,0,99
"131","Greenville,  SC","262",229,0,0,33,2,100
"132","Gulfport-Biloxi, MS","239",139,24,15,61,2,93
"133","Hagerstown-Martinsburg, MD-WV","86",86,0,0,0,0,96
"134","Hanford-Corcoran, CA","22",22,0,0,0,0,78
"135","Harrisburg-Carlisle, PA","108",93,0,10,5,1,54
"136","Harrisonburg,  VA","263",66,0,0,197,2,100
"137","Hartford-West Hartford-East Hartford,  CT","183",87,10,3,83,7,88
"138","Hattiesburg, MS","19",11,0,8,0,0,92
"139","Hickory-Lenoir-Morganton, NC","88",86,2,0,0,0,98
"140","Hinesville-Fort Stewart, GA","18",4,0,0,14,1,68
"141","Holland-Grand Haven, MI","29",24,0,0,5,1,77
"142","Honolulu,  HI","203",65,0,7,131,3,100
"143","Hot Springs, AR","6",6,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","61",61,0,0,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","3947",2990,20,31,906,45,100
"146","Huntington-Ashland, WV-KY-OH","3",3,0,0,0,0,8
"147","Huntsville, AL","238",238,0,0,0,0,98
"148","Idaho Falls, ID","49",49,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","712",443,2,12,255,19,100
"150","Iowa City, IA","72",70,2,0,0,0,94
"151","Ithaca, NY","16",4,0,0,12,1,58
"152","Jackson, MI","9",5,4,0,0,0,61
"153","Jackson, MS","207",207,0,0,0,0,94
