"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","10",10,0,0,0,0
"2","Akron,* OH","274",241,0,10,23,1
"3","Albany, GA","65",55,10,0,0,0
"4","Albany-Schenectady-Troy, NY","178",147,8,0,23,2
"5","Albuquerque,* NM","546",546,0,0,0,0
"6","Alexandria, LA","137",135,2,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","376",350,4,6,16,1
"8","Altoona, PA","22",3,8,0,11,2
"9","Amarillo, TX","53",53,0,0,0,0
"10","Ames, IA","124",26,4,0,94,3
"11","Anchorage,* AK","138",113,10,0,15,3
"12","Anderson,* IN","36",31,0,0,5,1
"13","Anderson,* SC","128",126,2,0,0,0
"14","Ann Arbor,* MI","262",168,0,3,91,10
"15","Anniston-Oxford, AL","17",17,0,0,0,0
"16","Appleton, WI","184",176,8,0,0,0
"17","Asheville, NC","308",274,4,24,6,1
"18","Athens-Clarke County, GA","105",105,0,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","6423",5495,18,36,874,27
"20","Atlantic City,* NJ","202",200,2,0,0,0
"21","Auburn-Opelika,* AL","55",55,0,0,0,0
"22","Augusta-Richmond County, GA-SC","301",301,0,0,0,0
"23","Austin-Round Rock,* TX","1889",1238,22,4,625,36
"24","Bakersfield, CA","576",561,6,0,9,1
"25","Baltimore-Towson,* MD","1068",572,0,8,488,14
"26","Bangor, ME","36",32,0,4,0,0
"27","Barnstable Town, MA","94",80,0,14,0,0
"28","Baton Rouge, LA","470",362,2,3,103,3
"29","Battle Creek, MI","30",30,0,0,0,0
"30","Bay City, MI","5",5,0,0,0,0
"31","Beaumont-Port Arthur, TX","75",75,0,0,0,0
"32","Bellingham, WA","219",147,6,3,63,3
"33","Bend,* OR","346",312,12,22,0,0
"34","Billings, MT","151",59,0,8,84,4
"35","Binghamton, NY","11",11,0,0,0,0
"36","Birmingham-Hoover,* AL","594",594,0,0,0,0
"37","Bismarck, ND","78",74,0,4,0,0
"38","Blacksburg-Christiansburg-Radford,  VA","82",80,2,0,0,0
"39","Bloomington, IN","107",64,14,3,26,2
"40","Bloomington-Normal, IL","70",38,0,8,24,3
"41","Boise City-Nampa,* ID","832",697,18,108,9,1
"42","Boston-Cambridge-Quincy,* MA-NH","1265",740,88,41,396,34
"43","Boulder,* CO","127",125,2,0,0,0
