"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","26",26,0,0,0,0,91
"109","Flint, MI","4",4,0,0,0,0,63
"110","Florence, SC","29",19,0,0,10,1,99
"111","Florence-Muscle Shoals, AL","5",5,0,0,0,0,88
"112","Fond du Lac, WI","6",6,0,0,0,0,44
"113","Fort Collins-Loveland,  CO","30",30,0,0,0,0,100
"114","Fort Smith, AR-OK","29",29,0,0,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","15",10,0,0,5,1,77
"116","Fort Wayne, IN","80",78,2,0,0,0,100
"117","Fresno, CA","72",72,0,0,0,0,81
"118","Gadsden, AL","9",9,0,0,0,0,62
"119","Gainesville, FL","41",26,0,0,15,1,99
"120","Gainesville, GA","7",7,0,0,0,0,94
"121","Glens Falls, NY","22",18,0,4,0,0,77
"122","Goldsboro, NC","12",10,2,0,0,0,79
"123","Grand Forks, ND-MN","1",1,0,0,0,0,221
"124","Grand Junction,  CO","22",22,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","59",48,0,0,11,1,100
"126","Great Falls, MT","6",6,0,0,0,0,91
"127","Greeley,  CO","30",22,0,0,8,1,100
"128","Green Bay, WI","39",33,0,0,6,1,80
"129","Greensboro-High Point,  NC","115",86,2,0,27,2,100
"130","Greenville, NC","35",21,14,0,0,0,99
"131","Greenville,  SC","82",82,0,0,0,0,100
"132","Gulfport-Biloxi, MS","362",66,12,0,284,20,93
"133","Hagerstown-Martinsburg, MD-WV","45",45,0,0,0,0,96
"134","Hanford-Corcoran, CA","63",6,0,57,0,0,78
"135","Harrisburg-Carlisle, PA","50",50,0,0,0,0,54
"136","Harrisonburg,  VA","15",15,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","74",54,0,0,20,3,88
"138","Hattiesburg, MS","5",5,0,0,0,0,92
"139","Hickory-Lenoir-Morganton, NC","45",45,0,0,0,0,98
"140","Hinesville-Fort Stewart, GA","5",5,0,0,0,0,68
"141","Holland-Grand Haven, MI","17",17,0,0,0,0,77
"142","Honolulu,  HI","105",24,0,4,77,2,100
"143","Hot Springs, AR","2",2,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","25",25,0,0,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","2143",1285,14,0,844,32,100
"146","Huntington-Ashland, WV-KY-OH","1",1,0,0,0,0,8
"147","Huntsville, AL","367",91,0,0,276,14,98
"148","Idaho Falls, ID","16",16,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","416",211,2,3,200,16,100
"150","Iowa City, IA","43",31,0,0,12,1,94
"151","Ithaca, NY","4",0,4,0,0,0,58
"152","Jackson, MI","2",2,0,0,0,0,61
"153","Jackson, MS","79",79,0,0,0,0,94
"154","Jackson, TN","64",16,0,20,28,5,92
"155","Jacksonville,  FL","301",249,12,0,40,2,100
"156","Jacksonville, NC","80",76,0,4,0,0,97
"157","Janesville, WI","5",1,4,0,0,0,79
"158","Jefferson City, MO","5",5,0,0,0,0,70
"159","Johnson City, TN","64",14,2,0,48,6,99
"160","Johnstown, PA","1",1,0,0,0,0,7
"161","Jonesboro, AR","12",12,0,0,0,0,92
"162","Joplin, MO","7",7,0,0,0,0,49
"163","Kalamazoo-Portage, MI","30",28,2,0,0,0,70
"164","Kankakee-Bradley, IL","5",5,0,0,0,0,30
"165","Kansas City,  MO-KS","479",125,4,32,318,13,100
"166","Kennewick-Pasco-Richland, WA","38",31,0,0,7,1,89
"167","Killeen-Temple-Fort Hood, TX","56",44,12,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","20",20,0,0,0,0,58
"169","Kingston, NY","4",4,0,0,0,0,70
"170","Knoxville, TN","70",62,2,0,6,1,84
"171","Kokomo, IN","1",1,0,0,0,0,79
"172","La Crosse, WI-MN","18",16,2,0,0,0,3
"173","Lafayette, IN","23",15,0,0,8,1,90
"174","Lafayette, LA","43",35,0,0,8,1,85
"175","Lake Charles, LA","27",12,2,0,13,1,83
"176","Lake Havasu City-Kingman, AZ","18",18,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","123",123,0,0,0,0,100
"178","Lancaster, PA","37",21,0,0,16,2,63
