"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","23",23,0,0,0,0
"2","Akron,* OH","285",249,8,11,17,2
"3","Albany, GA","56",52,4,0,0,0
"4","Albany-Schenectady-Troy, NY","228",183,2,0,43,5
"5","Albuquerque,* NM","844",730,32,13,69,3
"6","Alexandria, LA","41",41,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","437",429,0,8,0,0
"8","Altoona, PA","7",7,0,0,0,0
"9","Amarillo, TX","58",58,0,0,0,0
"10","Ames, IA","34",34,0,0,0,0
"11","Anchorage,* AK","170",116,36,0,18,2
"12","Anderson,* IN","60",54,0,0,6,1
"13","Anderson,* SC","125",125,0,0,0,0
"14","Ann Arbor,* MI","206",183,4,8,11,2
"15","Anniston-Oxford, AL","19",19,0,0,0,0
"16","Appleton, WI","106",98,4,4,0,0
"17","Asheville, NC","317",282,8,15,12,2
"18","Athens-Clarke County, GA","145",125,0,0,20,2
"19","Atlanta-Sandy Springs-Marietta,* GA","5298",5237,20,16,25,3
"20","Atlantic City,* NJ","194",184,2,3,5,1
"21","Auburn-Opelika,* AL","66",64,2,0,0,0
"22","Augusta-Richmond County, GA-SC","291",283,0,0,8,1
"23","Austin-Round Rock,* TX","1579",1157,44,10,368,26
"24","Bakersfield, CA","599",563,10,17,9,1
"25","Baltimore-Towson,* MD","1294",902,0,0,392,26
"26","Bangor, ME","52",52,0,0,0,0
"27","Barnstable Town, MA","142",120,8,14,0,0
"28","Baton Rouge, LA","455",455,0,0,0,0
"29","Battle Creek, MI","21",21,0,0,0,0
"30","Bay City, MI","17",15,2,0,0,0
"31","Beaumont-Port Arthur, TX","48",48,0,0,0,0
"32","Bellingham, WA","170",164,2,4,0,0
"33","Bend,* OR","354",316,28,10,0,0
"34","Billings, MT","62",62,0,0,0,0
"35","Binghamton, NY","34",13,0,0,21,2
"36","Birmingham-Hoover,* AL","761",577,0,0,184,8
"37","Bismarck, ND","101",83,0,8,10,1
"38","Blacksburg-Christiansburg-Radford,  VA","68",68,0,0,0,0
"39","Bloomington, IN","103",67,16,3,17,2
"40","Bloomington-Normal, IL","102",102,0,0,0,0
"41","Boise City-Nampa,* ID","850",780,14,43,13,2
"42","Boston-Cambridge-Quincy,* MA-NH","1396",754,110,70,462,30
"43","Boulder,* CO","117",117,0,0,0,0
"44","Bowling Green, KY","64",64,0,0,0,0
"45","Bremerton-Silverdale,* WA","120",110,10,0,0,0
"46","Bridgeport-Stamford-Norwalk,* CT","216",184,8,0,24,3
"47","Brownsville-Harlingen, TX","344",278,4,48,14,2
"48","Brunswick, GA","74",74,0,0,0,0
"49","Buffalo-Niagara Falls, NY","180",153,4,0,23,3
"50","Burlington,* NC","123",123,0,0,0,0
"51","Burlington-South Burlington, VT","115",86,14,10,5,1
"52","Canton-Massillon, OH","125",115,2,3,5,1
"53","Cape Coral-Fort Myers,* FL","1765",1371,30,87,277,22
"54","Carson City,* NV","14",14,0,0,0,0
"55","Casper,* WY","27",27,0,0,0,0
"56","Cedar Rapids, IA","162",98,14,24,26,3
"57","Champaign-Urbana, IL","91",67,4,0,20,1
"58","Charleston, WV","35",35,0,0,0,0
"59","Charleston-North Charleston,* SC","712",577,0,3,132,11
"60","Charlotte-Gastonia-Concord,* NC-SC","1932",1859,0,3,70,9
"61","Charlottesville,* VA","184",151,4,3,26,1
"62","Chattanooga, TN-GA","288",256,8,7,17,3
"63","Cheyenne, WY","62",47,0,15,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","4590",3611,82,231,666,NA
"65","Cincinnati-Middletown, OH-KY-IN","1216",1104,20,22,70,9
"66","Clarksville, TN-KY","326",303,2,13,8,1
"67","Cleveland, TN","67",43,4,20,0,0
"68","Cleveland-Elyria-Mentor,* OH","664",653,2,9,0,0
"69","Coeur d""Alene, ID","221",199,10,12,0,0
"70","College Station-Bryan, TX","81",79,2,0,0,0
"71","Colorado Springs,* CO","551",551,0,0,0,0
"72","Columbia, MO","170",148,22,0,0,0
"73","Columbia,* SC","667",571,10,31,55,3
"74","Columbus, GA-AL","155",141,0,14,0,0
"75","Columbus, IN","28",28,0,0,0,0
"76","Columbus, OH","1584",1224,12,134,214,20
"77","Corpus Christi, TX","173",156,2,0,15,2
"78","Corvallis,* OR","24",24,0,0,0,0
"79","Cumberland, MD-WV","28",28,0,0,0,0
"80","Dallas-Fort Worth-Arlington,* TX","5468",4307,30,40,1091,45
"81","Dalton,* GA","65",45,0,6,14,1
"82","Danville, IL","0",0,0,0,0,0
"83","Danville,* VA","31",28,0,3,0,0
"84","Davenport-Moline-Rock Island,  IA-IL","87",79,2,0,6,NA
"85","Decatur, AL","37",37,0,0,0,0
"86","Decatur, IL","7",7,0,0,0,0
"87","Deltona-Daytona Beach-Ormond Beach,*  FL","573",533,2,0,38,3
"88","Denver-Aurora,* CO","2274",1482,12,13,767,32
"89","Des Moines, IA","619",497,46,4,72,2
"90","Detroit-Warren-Livonia,* MI","1827",1594,26,28,179,13
"91","Dothan, AL","49",49,0,0,0,0
"92","Dover,* DE","270",215,2,0,53,3
"93","Dubuque, IA","38",34,4,0,0,0
"94","Duluth, MN-WI","139",120,4,0,15,2
"95","Durham,* NC","400",398,2,0,0,0
"96","Eau Claire, WI","104",91,8,0,5,1
"97","El Centro,* CA","118",99,0,3,16,2
"98","El Paso, TX","335",219,0,116,0,0
"99","Elizabethtown, KY","123",119,4,0,0,0
"100","Elkhart-Goshen, IN","105",105,0,0,0,0
"101","Elmira, NY","10",5,0,0,5,1
"102","Erie, PA","80",62,0,4,14,2
"103","Eugene-Springfield,* OR","244",136,2,30,76,6
"104","Evansville, IN-KY","154",132,4,0,18,2
"105","Fairbanks,* AK","30",22,0,3,5,1
"106","Fargo, ND-MN","346",198,6,0,142,6
"107","Farmington,* NM","29",29,0,0,0,0
"108","Fayetteville, NC","237",213,0,0,24,2
"109","Fayetteville-Springdale-Rogers,  AR-MO","640",341,24,15,260,21
"110","Flagstaff, AZ","74",74,0,0,0,0
"111","Flint,* MI","247",244,0,3,0,0
"112","Florence, SC","25",25,0,0,0,0
"113","Fond du Lac, WI","33",29,4,0,0,0
"114","Fort Collins-Loveland,* CO","299",265,6,6,22,3
"115","Fort Smith, AR-OK","107",49,24,0,34,4
"116","Fort Walton Beach-Crestview-Destin,*  FL","130",128,2,0,0,0
"117","Fort Wayne, IN","243",221,0,8,14,2
"118","Fresno,* CA","618",520,24,31,43,5
"119","Gadsden, AL","24",24,0,0,0,0
"120","Gainesville, FL","200",165,0,0,35,2
"121","Gainesville, GA","124",124,0,0,0,0
