"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","22",18,4,0,0,0
"2","Akron, OH","176",149,2,11,14,1
"3","Albany, GA","68",56,4,3,5,1
"4","Albany-Schenectady-Troy, NY","253",124,0,0,129,12
"5","Albuquerque,* NM","694",669,0,4,21,1
"6","Alexandria, LA","59",59,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","396",378,0,3,15,2
"8","Altoona, PA","0",0,0,0,0,0
"9","Amarillo, TX","72",72,0,0,0,0
"10","Ames, IA","58",26,0,0,32,1
"11","Anchorage,* AK","162",81,50,26,5,1
"12","Anderson, IN","46",46,0,0,0,0
"13","Anderson, SC","100",96,4,0,0,0
"14","Ann Arbor, MI","146",123,0,0,23,2
"15","Anniston-Oxford, AL","17",17,0,0,0,0
"16","Appleton, WI","107",101,6,0,0,0
"17","Asheville, NC","393",319,2,18,54,5
"18","Athens-Clarke County, GA","182",164,0,0,18,3
"19","Atlanta-Sandy Springs-Marietta,* GA","7387",5163,20,3,2201,46
"20","Atlantic City,* NJ","135",133,2,0,0,0
"21","Auburn-Opelika,* AL","122",112,10,0,0,0
"22","Augusta-Richmond County, GA-SC","267",267,0,0,0,0
"23","Austin-Round Rock,* TX","1766",1576,34,12,144,4
"24","Bakersfield, CA","610",565,10,27,8,1
"25","Baltimore-Towson,* MD","820",692,0,11,117,7
"26","Bangor, ME","44",42,2,0,0,0
"27","Barnstable Town, MA","95",81,0,0,14,1
"28","Baton Rouge, LA","376",376,0,0,0,0
"29","Battle Creek, MI","15",15,0,0,0,0
"30","Bay City, MI","3",3,0,0,0,0
"31","Beaumont-Port Arthur, TX","32",32,0,0,0,0
"32","Bellingham, WA","137",105,2,11,19,1
"33","Bend,* OR","327",315,12,0,0,0
"34","Billings, MT","57",57,0,0,0,0
"35","Binghamton, NY","4",4,0,0,0,0
"36","Birmingham-Hoover,* AL","584",513,0,4,67,2
"37","Bismarck, ND","100",66,2,12,20,3
"38","Bloomington, IN","91",51,18,3,19,2
"39","Bloomington-Normal, IL","69",63,0,0,6,1
"40","Boise City-Nampa,* ID","1041",917,22,102,0,0
"41","Boston-Cambridge-Quincy,* MA-NH","1616",765,88,81,682,46
"42","Boulder, CO","52",45,0,0,7,1
"43","Bowling Green, KY","133",85,16,0,32,4
"44","Bremerton-Silverdale, WA","81",79,2,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","308",244,6,12,46,7
"46","Brownsville-Harlingen, TX","325",252,6,59,8,1
"47","Brunswick, GA","90",78,0,3,9,1
"48","Buffalo-Niagara Falls, NY","150",142,8,0,0,0
"49","Burlington, NC","130",130,0,0,0,0
"50","Burlington-South Burlington, VT","68",52,4,7,5,1
"51","Canton-Massillon, OH","101",94,2,0,5,1
"52","Cape Coral-Fort Myers,* FL","2324",1982,0,7,335,33
"53","Carson City,* NV","18",6,0,0,12,1
"54","Casper,* WY","22",22,0,0,0,0
"55","Cedar Rapids, IA","150",97,10,43,0,0
"56","Champaign-Urbana, IL","371",149,2,20,200,13
"57","Charleston, WV","36",36,0,0,0,0
"58","Charleston-North Charleston,* SC","813",747,0,4,62,6
"59","Charlotte-Gastonia-Concord,* NC-SC","1968",1478,4,6,480,24
"60","Charlottesville,* VA","157",107,2,0,48,2
"61","Chattanooga, TN-GA","287",275,4,0,8,1
"62","Cheyenne, WY","77",68,0,4,5,1
"63","Chicago-Naperville-Joliet,* IL-IN-WI","4618",3359,68,243,948,NA
"64","Cincinnati-Middletown,* OH-KY-IN","1147",1009,6,28,104,13
"65","Clarksville, TN-KY","226",157,0,40,29,4
"66","Cleveland, TN","60",60,0,0,0,0
"67","Cleveland-Elyria-Mentor,* OH","623",556,20,21,26,4
"68","Coeur d""Alene, ID","241",217,12,7,5,1
"69","College Station-Bryan, TX","94",86,0,8,0,0
"70","Colorado Springs,* CO","572",564,8,0,0,0
"71","Columbia, MO","167",167,0,0,0,0
"72","Columbia,* SC","698",573,2,0,123,5
"73","Columbus, GA-AL","216",168,0,0,48,5
"74","Columbus, IN","24",24,0,0,0,0
"75","Columbus,* OH","1109",768,34,95,212,24
"76","Corpus Christi, TX","214",147,0,19,48,4
"77","Corvallis, OR","21",19,2,0,0,0
"78","Cumberland, MD-WV","21",21,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","4878",4051,34,20,773,52
"80","Dalton,* GA","71",63,2,0,6,1
"81","Danville, IL","0",0,0,0,0,0
