"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"94","Eau Claire, WI","37",33,0,4,0,0,91
"95","El Centro, CA","35",25,2,3,5,1,71
"96","El Paso, TX","308",268,0,0,40,8,96
"97","Elizabethtown, KY","52",30,22,0,0,0,62
"98","Elkhart-Goshen, IN","39",34,0,0,5,1,97
"99","Elmira, NY","1",1,0,0,0,0,11
"100","Erie, PA","24",22,2,0,0,0,74
"101","Eugene-Springfield, OR","91",86,0,0,5,1,100
"102","Evansville, IN-KY","80",50,2,0,28,3,89
"103","Fairbanks,  AK","4",4,0,0,0,0,100
"104","Fargo, ND-MN","207",161,0,0,46,2,78
"105","Farmington,  NM","22",22,0,0,0,0,100
"106","Fayetteville, NC","171",171,0,0,0,0,92
"107","Fayetteville-Springdale-Rogers,  AR-MO","165",122,8,3,32,3,93
"108","Flagstaff, AZ","24",24,0,0,0,0,91
"109","Flint, MI","17",17,0,0,0,0,63
"110","Florence, SC","65",48,0,0,17,1,99
"111","Florence-Muscle Shoals, AL","16",11,0,0,5,1,88
"112","Fond du Lac, WI","6",6,0,0,0,0,44
"113","Fort Collins-Loveland,  CO","206",90,6,8,102,4,100
"114","Fort Smith, AR-OK","64",34,6,0,24,3,92
"115","Fort Walton Beach-Crestview-Destin,  FL","26",26,0,0,0,0,77
"116","Fort Wayne,  IN","160",80,0,0,80,10,100
"117","Fresno, CA","240",175,4,15,46,6,81
"118","Gadsden, AL","13",13,0,0,0,0,62
"119","Gainesville, FL","76",41,2,3,30,2,99
"120","Gainesville, GA","45",45,0,0,0,0,94
"121","Glens Falls, NY","23",23,0,0,0,0,77
"122","Goldsboro, NC","31",31,0,0,0,0,79
"123","Grand Forks, ND-MN","21",21,0,0,0,0,221
"124","Grand Junction,  CO","80",76,4,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","120",117,0,3,0,0,100
"126","Great Falls, MT","16",16,0,0,0,0,91
"127","Greeley,  CO","113",101,0,0,12,1,100
"128","Green Bay, WI","149",88,0,0,61,6,80
"129","Greensboro-High Point,  NC","288",221,2,0,65,4,100
"130","Greenville, NC","119",83,12,0,24,2,99
"131","Greenville,  SC","549",287,0,4,258,13,100
"132","Gulfport-Biloxi, MS","246",185,26,4,31,2,93
"133","Hagerstown-Martinsburg, MD-WV","114",112,2,0,0,0,96
"134","Hanford-Corcoran, CA","27",27,0,0,0,0,78
"135","Harrisburg-Carlisle, PA","117",117,0,0,0,0,54
"136","Harrisonburg,  VA","142",80,2,0,60,5,100
"137","Hartford-West Hartford-East Hartford,  CT","153",95,8,3,47,4,88
"138","Hattiesburg, MS","2",2,0,0,0,0,92
"139","Hickory-Lenoir-Morganton, NC","104",97,2,0,5,1,98
"140","Hinesville-Fort Stewart, GA","4",4,0,0,0,0,68
"141","Holland-Grand Haven, MI","32",27,0,0,5,1,77
"142","Honolulu,  HI","173",63,0,8,102,3,100
"143","Hot Springs, AR","6",6,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","55",51,0,4,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","5151",3002,30,0,2119,88,100
"146","Huntington-Ashland, WV-KY-OH","4",4,0,0,0,0,8
"147","Huntsville, AL","303",191,0,0,112,14,98
"148","Idaho Falls, ID","43",43,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","516",492,4,14,6,1,100
"150","Iowa City, IA","104",104,0,0,0,0,94
"151","Ithaca, NY","9",4,0,0,5,1,58
"152","Jackson, MI","37",7,0,0,30,1,61
"153","Jackson, MS","177",166,0,6,5,1,94
"154","Jackson, TN","34",34,0,0,0,0,92
"155","Jacksonville,  FL","589",535,2,0,52,3,100
"156","Jacksonville, NC","123",115,4,4,0,0,97
"157","Janesville, WI","28",28,0,0,0,0,79
"158","Jefferson City, MO","17",17,0,0,0,0,70
"159","Johnson City, TN","74",74,0,0,0,0,99
"160","Johnstown, PA","3",3,0,0,0,0,7
"161","Jonesboro, AR","37",37,0,0,0,0,92
"162","Joplin, MO","11",9,2,0,0,0,49
"163","Kalamazoo-Portage, MI","54",21,0,3,30,5,70
"164","Kankakee-Bradley, IL","5",5,0,0,0,0,30
"165","Kansas City,  MO-KS","584",337,12,67,168,13,100
"166","Kennewick-Pasco-Richland, WA","84",74,0,0,10,1,89
"167","Killeen-Temple-Fort Hood, TX","264",159,54,3,48,2,81
"168","Kingsport-Bristol-Bristol, TN-VA","61",55,0,0,6,1,58
"169","Kingston, NY","15",11,4,0,0,0,70
"170","Knoxville, TN","187",177,10,0,0,0,84
"171","Kokomo, IN","7",7,0,0,0,0,79
"172","La Crosse, WI-MN","43",30,2,4,7,1,3
"173","Lafayette, IN","53",53,0,0,0,0,90
"174","Lafayette, LA","94",80,0,0,14,1,85
"175","Lake Charles, LA","66",32,4,3,27,1,83
"176","Lake Havasu City-Kingman, AZ","86",62,8,16,0,0,100
"177","Lakeland-Winter Haven,  FL","256",250,2,4,0,0,100
"178","Lancaster, PA","99",85,0,0,14,1,63
"179","Lansing-East Lansing, MI","37",22,0,0,15,3,81
"180","Laredo,  TX","101",80,0,4,17,1,100
"181","Las Cruces,  NM","89",80,2,7,0,0,100
"182","Las Vegas-Paradise,  NV","836",668,0,24,144,6,100
"183","Lawrence, KS","31",17,0,4,10,1,96
"184","Lawton, OK","10",10,0,0,0,0,89
"185","Lebanon, PA","37",37,0,0,0,0,92
"186","Lewiston, ID-WA","5",3,2,0,0,0,55
"187","Lewiston-Auburn, ME","16",16,0,0,0,0,71
"188","Lexington-Fayette, KY","361",129,0,10,222,10,98
"189","Lima, OH","0",0,0,0,0,0,11
