"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","22",22,0,0,0,0,91
"2","Akron, OH","70",59,0,0,11,1,69
"3","Albany, GA","21",19,2,0,0,0,84
"4","Albany-Schenectady-Troy, NY","83",64,0,3,16,2,59
"5","Albuquerque,  NM","276",148,0,128,0,0,100
"6","Alexandria, LA","29",29,0,0,0,0,97
"7","Allentown-Bethlehem-Easton,  PA-NJ","205",184,2,3,16,3,100
"8","Altoona, PA","2",2,0,0,0,0,7
"9","Amarillo, TX","45",25,0,0,20,1,79
"10","Ames, IA","13",13,0,0,0,0,92
"11","Anchorage,  AK","112",17,12,0,83,2,100
"12","Anderson, IN","8",8,0,0,0,0,73
"13","Anderson, SC","52",52,0,0,0,0,90
"14","Ann Arbor, MI","27",22,0,0,5,1,72
"15","Anniston-Oxford, AL","10",10,0,0,0,0,78
"16","Appleton, WI","28",25,0,3,0,0,79
"17","Asheville, NC","185",170,2,0,13,2,88
"18","Athens-Clarke County, GA","42",29,0,0,13,2,73
"19","Atlanta-Sandy Springs-Marietta,  GA","2177",1559,4,12,602,20,100
"20","Atlantic City,  NJ","64",64,0,0,0,0,100
"21","Auburn-Opelika,  AL","268",193,0,3,72,4,100
"22","Augusta-Richmond County, GA-SC","139",139,0,0,0,0,80
"23","Austin-Round Rock,  TX","1375",591,22,11,751,25,100
"24","Bakersfield, CA","208",166,12,30,0,0,90
"25","Baltimore-Towson,  MD","321",266,0,11,44,3,100
"26","Bangor, ME","8",8,0,0,0,0,49
"27","Barnstable Town, MA","42",37,0,0,5,1,88
"28","Baton Rouge, LA","206",174,32,0,0,0,94
"29","Battle Creek, MI","4",4,0,0,0,0,55
"30","Bay City, MI","2",2,0,0,0,0,21
"31","Beaumont-Port Arthur, TX","23",23,0,0,0,0,76
"32","Bellingham, WA","45",31,2,0,12,2,69
"33","Bend,  OR","116",83,0,3,30,5,100
"34","Billings, MT","29",29,0,0,0,0,90
"35","Binghamton, NY","4",4,0,0,0,0,18
"36","Birmingham-Hoover,  AL","391",272,0,0,119,6,100
"37","Bismarck, ND","84",76,0,8,0,0,98
"38","Bloomington, IN","272",23,0,0,249,9,86
"39","Bloomington-Normal, IL","36",23,0,0,13,2,84
"40","Boise City-Nampa,  ID","304",205,4,95,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","615",395,32,30,158,13,100
"42","Boulder, CO","33",28,0,0,5,1,78
"43","Bowling Green, KY","40",34,6,0,0,0,99
"44","Bremerton-Silverdale, WA","50",50,0,0,0,0,84
"45","Bridgeport-Stamford-Norwalk, CT","198",90,24,0,84,1,90
"46","Brownsville-Harlingen, TX","97",85,12,0,0,0,86
"47","Brunswick, GA","30",30,0,0,0,0,80
"48","Buffalo-Niagara Falls, NY","58",56,2,0,0,0,78
"49","Burlington, NC","86",86,0,0,0,0,92
"50","Burlington-South Burlington, VT","45",35,4,6,0,0,82
"51","Canton-Massillon, OH","38",33,0,0,5,1,82
"52","Cape Coral-Fort Myers,  FL","108",96,4,0,8,1,100
"53","Carson City,  NV","0",0,0,0,0,0,100
"54","Casper, WY","19",19,0,0,0,0,86
"55","Cedar Rapids, IA","79",52,12,15,0,0,86
"56","Champaign-Urbana, IL","72",30,0,4,38,3,66
"57","Charleston, WV","11",11,0,0,0,0,43
"58","Charleston-North Charleston,  SC","358",318,0,4,36,4,100
"59","Charlotte-Gastonia-Concord,  NC-SC","1573",842,6,14,711,29,100
"60","Charlottesville, VA","53",53,0,0,0,0,66
"61","Chattanooga, TN-GA","116",85,4,0,27,4,82
"62","Cheyenne, WY","15",15,0,0,0,0,100
"63","Chicago-Naperville-Joliet,  IL-IN-WI","2047",1074,34,124,815,45,NA
"64","Cincinnati-Middletown,  OH-KY-IN","416",282,4,19,111,11,100
"65","Clarksville, TN-KY","212",171,2,39,0,0,54
"66","Cleveland, TN","24",20,4,0,0,0,81
"67","Cleveland-Elyria-Mentor,  OH","365",205,0,6,154,14,100
"68","Coeur dAlene, ID","58",41,2,0,15,1,97
"69","College Station-Bryan, TX","56",49,0,0,7,1,98
"70","Colorado Springs,  CO","173",157,4,0,12,1,100
"71","Columbia, MO","76",76,0,0,0,0,100
"72","Columbia,  SC","544",307,8,7,222,12,100
"73","Columbus, GA-AL","73",45,0,4,24,2,88
"74","Columbus, IN","20",20,0,0,0,0,99
"75","Columbus,  OH","489",237,8,60,184,27,100
"76","Corpus Christi, TX","150",70,2,12,66,3,89
"77","Corvallis, OR","5",5,0,0,0,0,69
"78","Cumberland, MD-WV","6",6,0,0,0,0,20
"79","Dallas-Fort Worth-Arlington,  TX","3243",1534,14,8,1687,38,100
"80","Dalton, GA","32",21,2,3,6,1,88
"81","Danville, IL","0",0,0,0,0,0,11
"82","Danville, VA","8",8,0,0,0,0,81
"83","Davenport-Moline-Rock Island,  IA-IL","77",33,0,0,44,5,NA
"84","Decatur, AL","26",14,0,0,12,1,77
"85","Decatur, IL","1",1,0,0,0,0,67
"86","Deltona-Daytona Beach-Ormond Beach,  FL","100",81,0,0,19,2,NA
"87","Des Moines-West Des Moines,  IA","212",187,4,8,13,2,100
"88","Detroit-Warren-Livonia,  MI","306",201,0,6,99,3,100
"89","Dothan, AL","12",12,0,0,0,0,87
"90","Dover,  DE","70",66,0,4,0,0,100
"91","Dubuque, IA","24",12,0,0,12,1,84
"92","Duluth, MN-WI","62",30,0,0,32,3,69
"93","Durham,  NC","233",137,2,0,94,6,100
"94","Eau Claire, WI","39",35,4,0,0,0,92
"95","El Centro, CA","37",31,2,4,0,0,85
"96","El Paso, TX","393",391,2,0,0,0,90
"97","Elizabethtown, KY","22",22,0,0,0,0,59
"98","Elkhart-Goshen, IN","30",30,0,0,0,0,97
"99","Elmira, NY","0",0,0,0,0,0,20
"100","Erie, PA","54",36,0,6,12,1,57
"101","Eugene-Springfield, OR","66",42,8,16,0,0,100
"102","Evansville, IN-KY","50",40,0,0,10,2,88
"103","Fairbanks,  AK","10",8,2,0,0,0,100
"104","Fargo, ND-MN","216",49,2,30,135,4,79
"105","Farmington,  NM","12",12,0,0,0,0,100
"106","Fayetteville, NC","104",104,0,0,0,0,96
"107","Fayetteville-Springdale-Rogers,  AR-MO","186",99,36,3,48,4,91
"108","Flagstaff, AZ","22",22,0,0,0,0,93
"109","Flint, MI","13",13,0,0,0,0,61
"110","Florence, SC","32",32,0,0,0,0,97
"111","Florence-Muscle Shoals, AL","20",14,6,0,0,0,94
"112","Fond du Lac, WI","6",6,0,0,0,0,56
"113","Fort Collins-Loveland,  CO","120",69,2,0,49,4,100
"114","Fort Smith, AR-OK","40",40,0,0,0,0,90
"115","Fort Walton Beach-Crestview-Destin,  FL","34",34,0,0,0,0,55
"116","Fort Wayne,  IN","88",71,0,0,17,3,100
"117","Fresno, CA","256",181,0,3,72,9,76
"118","Gadsden, AL","11",11,0,0,0,0,62
"119","Gainesville, FL","78",34,0,0,44,2,99
"120","Gainesville, GA","51",51,0,0,0,0,82
"121","Glens Falls, NY","48",37,0,6,5,1,84
"122","Goldsboro, NC","18",18,0,0,0,0,83
"123","Grand Forks, ND-MN","8",8,0,0,0,0,988
"124","Grand Junction,  CO","88",84,4,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","139",120,6,0,13,2,100
"126","Great Falls, MT","13",13,0,0,0,0,62
"127","Greeley,  CO","84",71,0,3,10,1,100
"128","Green Bay, WI","70",59,0,0,11,1,80
"129","Greensboro-High Point,  NC","477",283,0,0,194,5,100
"130","Greenville, NC","289",85,30,0,174,21,99
"131","Greenville,  SC","286",236,0,0,50,2,100
"132","Gulfport-Biloxi, MS","446",133,2,12,299,19,96
"133","Hagerstown-Martinsburg, MD-WV","291",135,0,0,156,11,91
"134","Hanford-Corcoran, CA","20",12,0,3,5,1,82
"135","Harrisburg-Carlisle, PA","91",91,0,0,0,0,67
"136","Harrisonburg,  VA","112",76,0,0,36,3,100
"137","Hartford-West Hartford-East Hartford,  CT","160",117,2,4,37,4,84
"138","Hattiesburg, MS","284",4,0,0,280,10,80
"139","Hickory-Lenoir-Morganton, NC","113",113,0,0,0,0,97
"140","Hinesville-Fort Stewart, GA","3",3,0,0,0,0,35
"141","Holland-Grand Haven, MI","77",53,0,0,24,2,79
"142","Honolulu,  HI","111",52,0,0,59,1,100
"143","Hot Springs, AR","5",5,0,0,0,0,100
"144","Houma-Bayou Cane-Thibodaux, LA","46",46,0,0,0,0,91
"145","Houston-Sugar Land-Baytown,  TX","4350",2411,42,18,1879,129,100
"146","Huntington-Ashland, WV-KY-OH","15",10,0,0,5,1,0
"147","Huntsville, AL","518",186,0,0,332,17,98
"148","Idaho Falls, ID","86",82,0,4,0,0,99
"149","Indianapolis-Carmel,  IN","580",438,54,40,48,3,100
"150","Iowa City, IA","80",56,0,0,24,2,94
"151","Ithaca, NY","13",3,0,0,10,2,65
"152","Jackson, MI","10",6,4,0,0,0,59
"153","Jackson, MS","185",163,0,8,14,2,93
"154","Jackson, TN","28",28,0,0,0,0,94
"155","Jacksonville,  FL","630",295,4,8,323,15,100
"156","Jacksonville, NC","90",83,2,0,5,1,90
"157","Janesville, WI","26",16,2,0,8,1,83
"158","Jefferson City, MO","14",14,0,0,0,0,68
"159","Johnson City, TN","74",37,2,8,27,4,100
"160","Johnstown, PA","1",1,0,0,0,0,8
"161","Jonesboro, AR","51",51,0,0,0,0,93
"162","Joplin, MO","6",6,0,0,0,0,52
"163","Kalamazoo-Portage, MI","30",30,0,0,0,0,69
"164","Kankakee-Bradley, IL","11",11,0,0,0,0,23
"165","Kansas City,  MO-KS","530",357,2,47,124,2,100
"166","Kennewick-Richland-Pasco, WA","58",56,2,0,0,0,90
"167","Killeen-Temple-Fort Hood, TX","176",114,62,0,0,0,83
"168","Kingsport-Bristol-Bristol, TN-VA","47",32,0,0,15,2,70
"169","Kingston, NY","12",12,0,0,0,0,50
"170","Knoxville, TN","186",186,0,0,0,0,83
"171","Kokomo, IN","4",4,0,0,0,0,57
"172","La Crosse, WI-MN","39",22,2,3,12,1,0
"173","Lafayette, IN","51",51,0,0,0,0,89
"174","Lafayette, LA","93",69,0,0,24,1,87
"175","Lake Charles, LA","18",13,0,0,5,1,67
"176","Lake Havasu City-Kingman, AZ","45",39,0,0,6,1,99
"177","Lakeland,  FL","251",251,0,0,0,0,100
"178","Lancaster, PA","86",42,0,8,36,3,58
"179","Lansing-East Lansing, MI","34",24,0,0,10,2,78
"180","Laredo,  TX","98",75,0,6,17,1,100
"181","Las Cruces,  NM","73",71,2,0,0,0,100
"182","Las Vegas-Paradise,  NV","1508",660,2,15,831,2,100
"183","Lawrence, KS","18",18,0,0,0,0,94
"184","Lawton, OK","14",14,0,0,0,0,80
"185","Lebanon, PA","32",32,0,0,0,0,91
"186","Lewiston, ID-WA","3",3,0,0,0,0,72
"187","Lewiston-Auburn, ME","10",8,2,0,0,0,74
"188","Lexington-Fayette, KY","132",130,2,0,0,0,97
"189","Lima, OH","2",0,2,0,0,0,20
