"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","20",20,0,0,0,0,91
"109","Flint, MI","15",15,0,0,0,0,63
"110","Florence, SC","61",44,0,0,17,1,99
"111","Florence-Muscle Shoals, AL","24",17,2,0,5,1,88
"112","Fond du Lac, WI","13",6,2,0,5,1,44
"113","Fort Collins-Loveland,  CO","97",52,0,0,45,4,100
"114","Fort Smith, AR-OK","54",36,14,4,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","58",26,0,0,32,2,77
"116","Fort Wayne,  IN","80",78,2,0,0,0,100
"117","Fresno, CA","470",459,2,3,6,1,81
"118","Gadsden, AL","8",8,0,0,0,0,62
"119","Gainesville, FL","68",37,0,0,31,1,99
"120","Gainesville, GA","36",36,0,0,0,0,94
"121","Glens Falls, NY","28",26,2,0,0,0,77
"122","Goldsboro, NC","30",30,0,0,0,0,79
"123","Grand Forks, ND-MN","11",11,0,0,0,0,221
"124","Grand Junction,  CO","75",75,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","131",103,0,0,28,3,100
"126","Great Falls, MT","4",4,0,0,0,0,91
"127","Greeley,  CO","131",106,0,3,22,2,100
"128","Green Bay, WI","94",82,0,3,9,1,80
"129","Greensboro-High Point,  NC","378",177,0,0,201,11,100
"130","Greenville, NC","290",49,20,0,221,4,99
"131","Greenville,  SC","298",259,2,0,37,5,100
"132","Gulfport-Biloxi, MS","350",194,20,16,120,5,93
"133","Hagerstown-Martinsburg, MD-WV","119",59,0,0,60,5,96
"134","Hanford-Corcoran, CA","15",7,8,0,0,0,78
"135","Harrisburg-Carlisle, PA","87",87,0,0,0,0,54
"136","Harrisonburg,  VA","105",47,0,0,58,5,100
"137","Hartford-West Hartford-East Hartford,  CT","439",107,2,0,330,12,88
"138","Hattiesburg, MS","5",5,0,0,0,0,92
"139","Hickory-Lenoir-Morganton, NC","91",79,2,0,10,1,98
"140","Hinesville-Fort Stewart, GA","21",3,0,0,18,1,68
"141","Holland-Grand Haven, MI","55",38,2,0,15,3,77
"142","Honolulu,  HI","209",66,0,6,137,3,100
"143","Hot Springs, AR","5",5,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","50",47,0,3,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","3499",2882,6,0,611,64,100
"146","Huntington-Ashland, WV-KY-OH","5",3,2,0,0,0,8
"147","Huntsville, AL","152",152,0,0,0,0,98
"148","Idaho Falls, ID","60",60,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","1020",465,4,0,551,34,100
"150","Iowa City, IA","31",31,0,0,0,0,94
"151","Ithaca, NY","14",5,0,0,9,1,58
"152","Jackson, MI","34",4,0,0,30,1,61
"153","Jackson, MS","151",133,0,8,10,2,94
"154","Jackson, TN","26",26,0,0,0,0,92
"155","Jacksonville,  FL","844",519,22,3,300,15,100
"156","Jacksonville, NC","86",86,0,0,0,0,97
"157","Janesville, WI","21",16,0,0,5,1,79
"158","Jefferson City, MO","10",10,0,0,0,0,70
"159","Johnson City, TN","63",63,0,0,0,0,99
"160","Johnstown, PA","1",1,0,0,0,0,7
"161","Jonesboro, AR","83",83,0,0,0,0,92
"162","Joplin, MO","11",8,0,3,0,0,49
"163","Kalamazoo-Portage, MI","39",39,0,0,0,0,70
"164","Kankakee-Bradley, IL","4",4,0,0,0,0,30
"165","Kansas City,  MO-KS","371",254,2,15,100,7,100
"166","Kennewick-Pasco-Richland, WA","102",85,2,0,15,1,89
"167","Killeen-Temple-Fort Hood, TX","254",160,34,16,44,1,81
"168","Kingsport-Bristol-Bristol, TN-VA","69",40,24,0,5,1,58
"169","Kingston, NY","16",16,0,0,0,0,70
"170","Knoxville, TN","163",153,10,0,0,0,84
"171","Kokomo, IN","7",7,0,0,0,0,79
"172","La Crosse, WI-MN","31",26,0,0,5,1,3
"173","Lafayette, IN","52",34,0,0,18,1,90
"174","Lafayette, LA","85",71,0,0,14,1,85
"175","Lake Charles, LA","62",30,4,0,28,1,83
"176","Lake Havasu City-Kingman, AZ","55",55,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","803",213,2,0,588,21,100
"178","Lancaster, PA","75",59,0,3,13,2,63
"179","Lansing-East Lansing, MI","24",19,0,0,5,1,81
"180","Laredo,  TX","93",72,0,4,17,1,100
"181","Las Cruces,  NM","86",81,2,3,0,0,100
"182","Las Vegas-Paradise,  NV","2434",810,2,44,1578,104,100
"183","Lawrence, KS","23",15,0,0,8,1,96
"184","Lawton, OK","10",10,0,0,0,0,89
