"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"116","Fort Walton Beach-Crestview-Destin,  FL","180",96,0,0,84,3
"117","Fort Wayne,* IN","143",139,4,0,0,0
"118","Fresno, CA","446",320,8,8,110,11
"119","Gadsden, AL","23",23,0,0,0,0
"120","Gainesville, FL","199",121,0,4,74,4
"121","Gainesville, GA","125",116,0,0,9,1
"122","Glens Falls, NY","64",64,0,0,0,0
"123","Goldsboro, NC","41",39,2,0,0,0
"124","Grand Forks, ND-MN","56",56,0,0,0,0
"125","Grand Junction,* CO","157",157,0,0,0,0
"126","Grand Rapids-Wyoming,* MI","266",243,2,3,18,2
"127","Great Falls, MT","16",16,0,0,0,0
"128","Greeley,* CO","349",317,20,0,12,2
"129","Green Bay, WI","196",166,2,0,28,3
"130","Greensboro-High Point,* NC","578",429,0,4,145,14
"131","Greenville, NC","268",196,18,0,54,3
"132","Greenville,* SC","458",451,2,0,5,1
"133","Gulfport-Biloxi, MS","535",488,16,7,24,2
"134","Hagerstown-Martinsburg, MD-WV","235",197,2,0,36,3
"135","Hanford-Corcoran, CA","56",56,0,0,0,0
"136","Harrisburg-Carlisle, PA","120",120,0,0,0,0
"137","Harrisonburg,* VA","93",79,14,0,0,0
"138","Hartford-West Hartford-East Hartford,  CT","291",201,14,3,73,6
"139","Hattiesburg, MS","15",15,0,0,0,0
"140","Hickory-Lenoir-Morganton, NC","137",137,0,0,0,0
"141","Hinesville-Fort Stewart, GA","47",47,0,0,0,0
"142","Holland-Grand Haven, MI","88",77,0,0,11,1
"143","Honolulu,* HI","222",182,0,0,40,1
"144","Hot Springs, AR","13",13,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","53",53,0,0,0,0
"146","Houston-Sugar Land-Baytown,* TX","6572",5222,10,4,1336,39
"147","Huntington-Ashland, WV-KY-OH","5",5,0,0,0,0
"148","Huntsville, AL","333",333,0,0,0,0
"149","Idaho Falls, ID","147",143,0,4,0,0
"150","Indianapolis-Carmel,* IN","1099",943,36,7,113,13
"151","Iowa City, IA","83",47,0,0,36,3
"152","Ithaca, NY","68",7,0,0,61,8
"153","Jackson, MI","44",21,0,0,23,1
"154","Jackson, MS","285",285,0,0,0,0
"155","Jackson, TN","85",51,2,0,32,4
"156","Jacksonville,* FL","1960",1204,48,8,700,44
"157","Jacksonville, NC","105",105,0,0,0,0
"158","Janesville, WI","65",40,6,0,19,1
"159","Jefferson City, MO","34",27,2,0,5,1
"160","Johnson City, TN","148",87,4,12,45,6
"161","Johnstown, PA","1",1,0,0,0,0
"162","Jonesboro, AR","42",42,0,0,0,0
"163","Joplin, MO","61",15,0,0,46,2
"164","Kalamazoo-Portage, MI","74",70,4,0,0,0
"165","Kankakee-Bradley, IL","8",8,0,0,0,0
"166","Kansas City,* MO-KS","1279",747,30,89,413,28
"167","Kennewick-Richland-Pasco, WA","178",153,2,12,11,1
"168","Killeen-Temple-Fort Hood, TX","229",169,44,16,0,0
"169","Kingsport-Bristol-Bristol, TN-VA","77",72,0,0,5,1
"170","Kingston, NY","32",24,0,3,5,1
"171","Knoxville, TN","401",398,0,3,0,0
"172","Kokomo, IN","9",9,0,0,0,0
"173","La Crosse, WI-MN","57",38,4,4,11,2
"174","Lafayette, IN","67",67,0,0,0,0
"175","Lafayette, LA","342",174,0,0,168,6
"176","Lake Charles, LA","30",25,0,0,5,1
"177","Lakeland,* FL","583",570,2,0,11,1
"178","Lancaster, PA","109",97,0,7,5,1
"179","Lansing-East Lansing, MI","95",74,0,0,21,3
"180","Laredo,* TX","183",158,2,4,19,2
"181","Las Cruces,* NM","200",200,0,0,0,0
"182","Las Vegas-Paradise,* NV","3039",2106,0,59,874,38
"183","Lawrence, KS","46",46,0,0,0,0
"184","Lawton, OK","255",19,0,8,228,10
