"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","20",20,0,0,0,0,96
"2","Akron, OH","91",83,0,3,5,1,71
"3","Albany, GA","16",16,0,0,0,0,92
"4","Albany-Schenectady-Troy, NY","62",60,2,0,0,0,69
"5","Albuquerque,  NM","184",173,0,0,11,1,100
"6","Alexandria, LA","20",20,0,0,0,0,98
"7","Allentown-Bethlehem-Easton,  PA-NJ","127",103,0,0,24,3,100
"8","Altoona, PA","2",2,0,0,0,0,5
"9","Amarillo, TX","47",47,0,0,0,0,94
"10","Ames, IA","14",14,0,0,0,0,93
"11","Anchorage,  AK","51",31,2,0,18,1,100
"12","Anderson, IN","4",4,0,0,0,0,75
"13","Anderson, SC","23",23,0,0,0,0,90
"14","Ann Arbor, MI","11",11,0,0,0,0,72
"15","Anniston-Oxford, AL","4",4,0,0,0,0,77
"16","Appleton, WI","26",26,0,0,0,0,78
"17","Asheville, NC","108",94,0,0,14,1,89
"18","Athens-Clarke County, GA","19",19,0,0,0,0,67
"19","Atlanta-Sandy Springs-Marietta,  GA","483",477,0,0,6,1,100
"20","Atlantic City-Hammonton,  NJ","41",35,0,0,6,1,100
"21","Auburn-Opelika,  AL","65",48,0,0,17,1,100
"22","Augusta-Richmond County, GA-SC","182",182,0,0,0,0,71
"23","Austin-Round Rock,  TX","938",706,4,0,228,4,100
"24","Bakersfield, CA","125",103,10,7,5,1,94
"25","Baltimore-Towson,  MD","275",244,0,0,31,1,100
"26","Bangor, ME","7",7,0,0,0,0,62
"27","Barnstable Town, MA","19",19,0,0,0,0,81
"28","Baton Rouge, LA","156",156,0,0,0,0,92
"29","Battle Creek, MI","1",1,0,0,0,0,31
"30","Bay City, MI","1",1,0,0,0,0,18
"31","Beaumont-Port Arthur, TX","491",203,0,0,288,1,63
"32","Bellingham, WA","22",17,0,0,5,1,71
"33","Bend,  OR","50",24,0,0,26,1,100
"34","Billings, MT","26",26,0,0,0,0,92
"35","Binghamton, NY","2",2,0,0,0,0,15
"36","Birmingham-Hoover,  AL","211",201,0,0,10,1,100
"37","Bismarck, ND","34",31,0,3,0,0,97
"38","Bloomington, IN","17",17,0,0,0,0,91
"39","Bloomington-Normal, IL","24",19,0,0,5,1,89
"40","Boise City-Nampa,  ID","157",154,0,3,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","314",212,20,13,69,9,100
"42","Boulder, CO","39",11,0,3,25,3,77
"43","Bowling Green, KY","33",33,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","106",74,0,8,24,4,100
"45","Bremerton-Silverdale, WA","51",51,0,0,0,0,81
"46","Bridgeport-Stamford-Norwalk, CT","214",48,2,0,164,5,96
"47","Brownsville-Harlingen, TX","69",69,0,0,0,0,79
"48","Brunswick, GA","26",26,0,0,0,0,80
"49","Buffalo-Niagara Falls, NY","58",58,0,0,0,0,64
"50","Burlington, NC","33",33,0,0,0,0,95
"51","Burlington-South Burlington, VT","23",16,4,3,0,0,86
"52","Canton-Massillon, OH","29",29,0,0,0,0,84
"53","Cape Coral-Fort Myers,  FL","61",61,0,0,0,0,100
"54","Cape Girardeau-Jackson, MO-IL","7",7,0,0,0,0,0
"55","Carson City,  NV","0",0,0,0,0,0,100
"56","Casper, WY","10",10,0,0,0,0,85
"57","Cedar Rapids, IA","132",108,12,12,0,0,93
"58","Champaign-Urbana, IL","20",13,2,0,5,1,76
"59","Charleston, WV","10",3,0,0,7,1,64
"60","Charleston-North Charleston-Summerville,  SC","293",246,0,0,47,3,NA
"61","Charlottesville, VA","52",47,0,0,5,1,70
"62","Chattanooga, TN-GA","74",67,2,0,5,1,72
"63","Cheyenne, WY","6",6,0,0,0,0,100
"64","Chicago-Naperville-Joliet,  IL-IN-WI","438",393,10,19,16,3,NA
"65","Cincinnati-Middletown,  OH-KY-IN","315",291,0,0,24,3,100
"66","Clarksville, TN-KY","97",89,0,8,0,0,15
"67","Cleveland, TN","31",21,2,8,0,0,86
"68","Cleveland-Elyria-Mentor,  OH","151",147,0,4,0,0,100
"69","Coeur dAlene, ID","102",85,2,0,15,1,97
"70","College Station-Bryan, TX","56",56,0,0,0,0,99
"71","Colorado Springs,  CO","85",85,0,0,0,0,100
"72","Columbia, MO","60",44,16,0,0,0,100
"73","Columbia,  SC","244",230,0,0,14,1,100
"74","Columbus, GA-AL","50",39,2,0,9,1,56
"75","Columbus, IN","14",14,0,0,0,0,98
"76","Columbus,  OH","428",265,0,18,145,7,100
"77","Corpus Christi, TX","75",63,0,0,12,1,84
"78","Corvallis, OR","2",2,0,0,0,0,56
"79","Cumberland, MD-WV","9",9,0,0,0,0,15
"80","Dallas-Fort Worth-Arlington,  TX","1935",1039,4,0,892,40,100
"81","Dalton,  GA","12",12,0,0,0,0,100
"82","Danville, IL","0",0,0,0,0,0,0
"83","Danville, VA","6",6,0,0,0,0,66
"84","Davenport-Moline-Rock Island,  IA-IL","22",22,0,0,0,0,NA
"85","Decatur, AL","4",4,0,0,0,0,69
"86","Decatur, IL","2",2,0,0,0,0,73
"87","Deltona-Daytona Beach-Ormond Beach,  FL","59",51,0,0,8,1,NA
"88","Des Moines-West Des Moines,  IA","130",130,0,0,0,0,100
"89","Detroit-Warren-Livonia,  MI","99",99,0,0,0,0,100
"90","Dothan, AL","23",23,0,0,0,0,87
"91","Dover,  DE","65",65,0,0,0,0,100
"92","Dubuque, IA","23",23,0,0,0,0,84
"93","Duluth, MN-WI","23",21,2,0,0,0,67
"94","Durham-Chapel Hill,  NC","361",93,0,28,240,26,100
"95","Eau Claire, WI","48",18,6,24,0,0,92
"96","El Centro, CA","20",20,0,0,0,0,35
"97","El Paso, TX","280",280,0,0,0,0,97
"98","Elizabethtown, KY","24",24,0,0,0,0,66
"99","Elkhart-Goshen, IN","11",11,0,0,0,0,99
"100","Elmira, NY","1",1,0,0,0,0,22
"101","Erie, PA","22",22,0,0,0,0,76
"102","Eugene-Springfield, OR","42",31,6,0,5,1,100
"103","Evansville, IN-KY","35",30,0,0,5,1,81
"104","Fairbanks,  AK","3",3,0,0,0,0,100
"105","Fargo, ND-MN","28",28,0,0,0,0,86
