"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","27",25,2,0,0,0,91
"109","Flint, MI","10",10,0,0,0,0,63
"110","Florence, SC","63",41,0,0,22,1,99
"111","Florence-Muscle Shoals, AL","23",16,2,0,5,1,88
"112","Fond du Lac, WI","119",7,2,4,106,11,44
"113","Fort Collins-Loveland,  CO","83",56,0,3,24,1,100
"114","Fort Smith, AR-OK","41",29,8,4,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","34",24,0,0,10,1,77
"116","Fort Wayne,  IN","109",109,0,0,0,0,100
"117","Fresno, CA","116",114,2,0,0,0,81
"118","Gadsden, AL","11",11,0,0,0,0,62
"119","Gainesville, FL","69",31,0,0,38,1,99
"120","Gainesville, GA","21",21,0,0,0,0,94
"121","Glens Falls, NY","31",31,0,0,0,0,77
"122","Goldsboro, NC","18",16,2,0,0,0,79
"123","Grand Forks, ND-MN","6",6,0,0,0,0,221
"124","Grand Junction,  CO","44",44,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","106",99,2,0,5,1,100
"126","Great Falls, MT","16",16,0,0,0,0,91
"127","Greeley,  CO","84",74,0,0,10,1,100
"128","Green Bay, WI","91",79,0,0,12,1,80
"129","Greensboro-High Point,  NC","319",208,0,0,111,6,100
"130","Greenville, NC","232",41,10,0,181,19,99
"131","Greenville,  SC","251",190,2,0,59,2,100
"132","Gulfport-Biloxi, MS","137",118,16,3,0,0,93
"133","Hagerstown-Martinsburg, MD-WV","112",88,0,0,24,2,96
"134","Hanford-Corcoran, CA","21",21,0,0,0,0,78
"135","Harrisburg-Carlisle, PA","113",93,2,4,14,2,54
"136","Harrisonburg,  VA","173",61,2,0,110,3,100
"137","Hartford-West Hartford-East Hartford,  CT","146",93,2,3,48,5,88
"138","Hattiesburg, MS","363",3,0,0,360,15,92
"139","Hickory-Lenoir-Morganton, NC","83",77,6,0,0,0,98
"140","Hinesville-Fort Stewart, GA","1",1,0,0,0,0,68
"141","Holland-Grand Haven, MI","60",26,0,0,34,4,77
"142","Honolulu,  HI","151",55,0,8,88,2,100
"143","Hot Springs, AR","5",5,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","39",39,0,0,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","4461",2806,22,4,1629,51,100
"146","Huntington-Ashland, WV-KY-OH","2",2,0,0,0,0,8
"147","Huntsville, AL","184",184,0,0,0,0,98
"148","Idaho Falls, ID","59",59,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","586",405,10,3,168,10,100
"150","Iowa City, IA","51",40,0,0,11,1,94
"151","Ithaca, NY","16",6,0,0,10,2,58
"152","Jackson, MI","4",4,0,0,0,0,61
"153","Jackson, MS","201",201,0,0,0,0,94
"154","Jackson, TN","25",25,0,0,0,0,92
"155","Jacksonville,  FL","549",515,4,0,30,2,100
"156","Jacksonville, NC","104",104,0,0,0,0,97
"157","Janesville, WI","9",9,0,0,0,0,79
"158","Jefferson City, MO","14",11,0,3,0,0,70
"159","Johnson City, TN","45",45,0,0,0,0,99
