"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","23",19,4,0,0,0
"2","Akron, OH","174",143,2,11,18,1
"3","Albany, GA","59",54,2,3,0,0
"4","Albany-Schenectady-Troy, NY","173",110,0,4,59,5
"5","Albuquerque,* NM","873",831,0,3,39,1
"6","Alexandria, LA","80",80,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","411",394,0,7,10,2
"8","Altoona, PA","0",0,0,0,0,0
"9","Amarillo, TX","89",89,0,0,0,0
"10","Ames, IA","54",26,0,0,28,2
"11","Anchorage,* AK","172",74,36,4,58,6
"12","Anderson, IN","25",25,0,0,0,0
"13","Anderson, SC","118",118,0,0,0,0
"14","Ann Arbor, MI","67",40,2,8,17,3
"15","Anniston-Oxford, AL","17",17,0,0,0,0
"16","Appleton, WI","72",57,4,11,0,0
"17","Asheville, NC","394",361,4,23,6,1
"18","Athens-Clarke County, GA","166",114,0,0,52,6
"19","Atlanta-Sandy Springs-Marietta,* GA","7278",5663,18,88,1509,53
"20","Atlantic City,* NJ","170",152,2,4,12,1
"21","Auburn-Opelika,* AL","178",148,0,0,30,2
"22","Augusta-Richmond County, GA-SC","323",323,0,0,0,0
"23","Austin-Round Rock,* TX","3123",2162,84,24,853,28
"24","Bakersfield, CA","581",466,16,11,88,7
"25","Baltimore-Towson,* MD","939",811,2,0,126,8
"26","Bangor, ME","23",23,0,0,0,0
"27","Barnstable Town, MA","84",74,0,0,10,1
"28","Baton Rouge, LA","539",518,0,4,17,2
"29","Battle Creek, MI","9",9,0,0,0,0
"30","Bay City, MI","3",3,0,0,0,0
"31","Beaumont-Port Arthur, TX","32",32,0,0,0,0
"32","Bellingham, WA","89",89,0,0,0,0
"33","Bend,* OR","353",345,8,0,0,0
"34","Billings, MT","55",55,0,0,0,0
"35","Binghamton, NY","6",6,0,0,0,0
"36","Birmingham-Hoover,* AL","791",688,0,4,99,7
"37","Bismarck, ND","54",42,0,0,12,2
"38","Bloomington, IN","66",66,0,0,0,0
"39","Bloomington-Normal, IL","70",62,0,0,8,1
"40","Boise City-Nampa,* ID","856",801,10,3,42,2
"41","Boston-Cambridge-Quincy,* MA-NH","1528",668,94,57,709,25
"42","Boulder, CO","76",42,0,0,34,2
"43","Bowling Green, KY","84",76,0,8,0,0
"44","Bremerton-Silverdale, WA","87",79,8,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","284",122,8,3,151,6
"46","Brownsville-Harlingen, TX","291",254,14,6,17,3
"47","Brunswick, GA","97",86,0,0,11,1
"48","Buffalo-Niagara Falls, NY","86",82,0,4,0,0
"49","Burlington, NC","160",160,0,0,0,0
"50","Burlington-South Burlington, VT","134",50,8,3,73,1
"51","Canton-Massillon, OH","79",74,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","3118",2054,18,8,1038,80
"53","Carson City,* NV","16",4,0,12,0,0
"54","Casper, WY","19",19,0,0,0,0
"55","Cedar Rapids, IA","101",84,4,13,0,0
"56","Champaign-Urbana, IL","162",70,0,0,92,1
"57","Charleston, WV","35",35,0,0,0,0
"58","Charleston-North Charleston,* SC","950",831,0,14,105,13
"59","Charlotte-Gastonia-Concord,* NC-SC","2458",2034,2,10,412,18
"60","Charlottesville, VA","191",127,2,3,59,3
"61","Chattanooga, TN-GA","288",273,4,0,11,1
"62","Cheyenne, WY","61",61,0,0,0,0
"63","Chicago-Naperville-Joliet,* IL-IN-WI","4504",3117,46,247,1094,NA
"64","Cincinnati-Middletown,* OH-KY-IN","1036",802,12,15,207,18
"65","Clarksville, TN-KY","182",160,2,8,12,2
"66","Cleveland, TN","57",53,0,4,0,0
"67","Cleveland-Elyria-Mentor,* OH","470",443,4,7,16,3
"68","Coeur dAlene, ID","192",172,8,7,5,1
"69","College Station-Bryan, TX","126",102,24,0,0,0
"70","Colorado Springs,* CO","562",515,2,0,45,9
"71","Columbia, MO","921",137,16,0,768,64
"72","Columbia,* SC","852",635,4,8,205,9
"73","Columbus, GA-AL","206",163,2,4,37,2
"74","Columbus, IN","18",18,0,0,0,0
"75","Columbus,* OH","813",720,6,45,42,3
"76","Corpus Christi, TX","391",204,2,4,181,2
"77","Corvallis, OR","26",26,0,0,0,0
"78","Cumberland, MD-WV","17",12,0,0,5,1
"79","Dallas-Fort Worth-Arlington,* TX","6026",4720,38,19,1249,39
"80","Dalton, GA","85",71,2,4,8,1
"81","Danville, IL","0",0,0,0,0,0
"82","Danville, VA","24",24,0,0,0,0
"83","Davenport-Moline-Rock Island,  IA-IL","60",60,0,0,0,NA
"84","Decatur, AL","18",18,0,0,0,0
"85","Decatur, IL","1",1,0,0,0,0
"86","Deltona-Daytona Beach-Ormond Beach,*  FL","398",331,0,0,67,5
"87","Denver-Aurora,* CO","1815",1435,18,12,350,16
"88","Des Moines-West Des Moines,* IA","398",362,4,0,32,2
"89","Detroit-Warren-Livonia,* MI","978",809,12,44,113,10
"90","Dothan, AL","58",58,0,0,0,0
"91","Dover,* DE","184",176,0,8,0,0
"92","Dubuque, IA","42",36,0,0,6,1
"93","Duluth, MN-WI","81",56,6,3,16,1
"94","Durham,* NC","502",387,0,4,111,7
"95","Eau Claire, WI","37",29,4,4,0,0
"96","El Centro, CA","72",56,0,0,16,2
"97","El Paso, TX","320",312,0,0,8,1
"98","Elizabethtown, KY","60",48,12,0,0,0
"99","Elkhart-Goshen, IN","111",104,0,0,7,1
"100","Elmira, NY","3",3,0,0,0,0
"101","Erie, PA","37",32,0,0,5,1
"102","Eugene-Springfield, OR","145",125,2,18,0,0
"103","Evansville, IN-KY","132",107,0,12,13,2
"104","Fairbanks,* AK","11",11,0,0,0,0
"105","Fargo, ND-MN","88",58,0,0,30,1
"106","Farmington,* NM","38",38,0,0,0,0
"107","Fayetteville, NC","357",189,0,0,168,13
"108","Fayetteville-Springdale-Rogers,  AR-MO","741",367,36,0,338,24
"109","Flagstaff, AZ","269",77,0,0,192,8
"110","Flint, MI","55",48,0,0,7,1
"111","Florence, SC","81",81,0,0,0,0
"112","Florence-Muscle Shoals, AL","29",29,0,0,0,0
"113","Fond du Lac, WI","11",9,2,0,0,0
"114","Fort Collins-Loveland,* CO","513",199,16,75,223,3
"115","Fort Smith, AR-OK","47",39,8,0,0,0
"116","Fort Walton Beach-Crestview-Destin,  FL","206",109,0,0,97,3
"117","Fort Wayne,* IN","160",146,2,0,12,1
"118","Fresno, CA","533",334,8,15,176,20
"119","Gadsden, AL","26",26,0,0,0,0
