"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","19",19,0,0,0,0
"2","Albany* GA MSA","53",53,0,0,0,0
"3","Albany-Schenectady-Troy* NY MSA","242",205,0,0,37,2
"4","Albuquerque* NM MSA","699",593,0,11,95,5
"5","Alexandria* LA MSA","42",34,0,0,8,1
"6","Allentown-Bethlehem-Easton* PA MSA","235",211,0,4,20,3
"7","Altoona* PA MSA","10",5,0,0,5,1
"8","Amarillo* TX MSA","76",76,0,0,0,0
"9","Anchorage* AK MSA","120",62,22,0,36,6
"10","Anniston* AL MSA","13",13,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI MSA","266",202,10,4,50,5
"12","Asheville* NC MSA","121",112,2,7,0,0
"13","Athens* GA MSA","173",119,2,0,52,2
"14","Atlanta* GA MSA","6027",4741,18,7,1261,24
"15","Auburn-Opelika* AL MSA","92",36,0,0,56,5
"16","Augusta-Aiken* GA-SC MSA","263",263,0,0,0,0
"17","Austin-San Marcos* TX MSA","868",784,14,54,16,2
"18","Bakersfield* CA MSA","464",452,8,4,0,0
"19","Bangor* ME MSA","55",37,2,16,0,0
"20","Barnstable-Yarmouth* MA MSA","45",45,0,0,0,0
"21","Baton Rouge* LA MSA","457",141,0,0,316,2
"22","Beaumont-Port Arthur* TX MSA","189",61,0,0,128,2
"23","Bellingham* WA MSA","259",187,0,4,68,3
"24","Benton Harbor* MI MSA","8",8,0,0,0,0
"25","Billings* MT MSA","76",73,0,3,0,0
"26","Biloxi-Gulfport-Pascagoula* MS MSA","210",187,0,3,20,2
"27","Binghamton* NY MSA","15",15,0,0,0,0
"28","Birmingham* AL MSA","590",522,0,0,68,4
"29","Bismarck* ND MSA","173",95,0,0,78,7
"30","Bloomington* IN MSA","104",67,18,3,16,2
"31","Bloomington-Normal* IL MSA","186",94,0,0,92,6
"32","Boise City* ID MSA","619",599,16,4,0,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1983",1186,82,67,648,29
"34","Brownsville-Harlingen-San Benito*  TX MSA","272",266,6,0,0,0
"35","Bryan-College Station* TX MSA","149",97,12,0,40,2
"36","Buffalo-Niagara Falls* NY MSA","233",215,10,0,8,1
"37","Burlington* VT MSA","85",45,14,7,19,1
"38","Canton-Massillon* OH MSA","101",101,0,0,0,0
"39","Casper* WY MSA","19",19,0,0,0,0
"40","Cedar Rapids* IA MSA","109",99,2,8,0,0
"41","Champaign-Urbana* IL MSA","65",57,0,0,8,1
"42","Charleston* WV MSA","36",28,0,0,8,1
"43","Charleston-North Charleston* SC MSA","1144",493,2,31,618,30
"44","Charlotte-Gastonia-Rock Hill*  NC-SC MSA","1531",1329,6,19,177,12
"45","Charlottesville* VA MSA","122",118,4,0,0,0
"46","Chattanooga* TN-GA MSA","230",210,6,3,11,2
"47","Cheyenne* WY MSA","50",50,0,0,0,0
"48","Chicago-Gary-Kenosha IL-IN-WI CMSA","4521",3301,86,205,929,67
"49","Chico-Paradise* CA MSA","149",149,0,0,0,0
"50","Cincinnati-Hamilton OH-KY-IN CMSA","1323",994,8,26,295,28
"51","Clarksville-Hopkinsville* TN-KY MSA","159",153,6,0,0,0
"52","Cleveland-Akron OH CMSA","1185",1088,8,30,59,10
"53","Colorado Springs* CO MSA","584",584,0,0,0,0
"54","Columbia* MO MSA","118",106,12,0,0,0
