"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"116","Fort Walton Beach-Crestview-Destin,*  FL","233",148,0,6,79,2
"117","Fort Wayne, IN","258",206,2,0,50,2
"118","Fresno,* CA","650",612,2,25,11,2
"119","Gadsden, AL","22",22,0,0,0,0
"120","Gainesville, FL","183",139,2,0,42,3
"121","Gainesville, GA","146",146,0,0,0,0
"122","Glens Falls, NY","76",66,0,0,10,2
"123","Goldsboro,* NC","45",45,0,0,0,0
"124","Grand Forks, ND-MN","48",12,0,0,36,1
"125","Grand Junction,* CO","164",140,0,4,20,1
"126","Grand Rapids-Wyoming, MI","397",386,2,3,6,1
"127","Great Falls, MT","36",30,0,0,6,1
"128","Greeley,* CO","500",395,8,3,94,7
"129","Green Bay, WI","246",184,0,6,56,3
"130","Greensboro-High Point,* NC","512",412,16,10,74,11
"131","Greenville, NC","274",82,32,0,160,10
"132","Greenville,* SC","461",400,8,0,53,4
"133","Gulfport-Biloxi, MS","149",137,0,12,0,0
"134","Hagerstown-Martinsburg, MD-WV","272",259,4,4,5,1
"135","Hanford-Corcoran, CA","76",65,0,11,0,0
"136","Harrisburg-Carlisle, PA","218",214,4,0,0,0
"137","Harrisonburg,* VA","81",77,4,0,0,0
"138","Hartford-West Hartford-East Hartford,*  CT","351",312,10,4,25,4
"139","Hattiesburg, MS","7",7,0,0,0,0
"140","Hickory-Lenoir-Morganton, NC","137",135,2,0,0,0
"141","Hinesville-Fort Stewart,* GA","33",33,0,0,0,0
"142","Holland-Grand Haven,* MI","253",195,14,20,24,2
"143","Honolulu,* HI","295",295,0,0,0,0
"144","Hot Springs, AR","13",13,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","78",76,2,0,0,0
"146","Houston-Baytown-Sugar Land, TX","4923",4096,24,0,803,61
"147","Huntington-Ashland, WV-KY-OH","14",6,2,6,0,0
"148","Huntsville, AL","192",103,0,0,89,7
"149","Idaho Falls, ID","133",104,2,27,0,0
"150","Indianapolis,* IN","1814",1129,64,70,551,49
"151","Iowa City, IA","130",100,0,0,30,3
"152","Ithaca, NY","17",12,0,0,5,1
"153","Jackson, MI","19",19,0,0,0,0
"154","Jackson, MS","351",324,0,0,27,3
"155","Jackson, TN","77",77,0,0,0,0
"156","Jacksonville,* FL","1458",1194,4,0,260,12
"157","Jacksonville, NC","110",110,0,0,0,0
"158","Janesville, WI","73",59,2,7,5,1
"159","Jefferson City, MO","28",26,2,0,0,0
"160","Johnson City, TN","87",76,2,4,5,1
"161","Johnstown, PA","9",9,0,0,0,0
"162","Jonesboro, AR","57",57,0,0,0,0
"163","Joplin, MO","22",22,0,0,0,0
"164","Kalamazoo-Portage, MI","113",109,0,4,0,0
"165","Kankakee-Bradley,* IL","64",56,4,4,0,0
"166","Kansas City,* MO-KS","1342",1227,64,46,5,1
"167","Kennewick-Richland-Pasco, WA","226",199,4,0,23,3
"168","Killeen-Temple-Fort Hood, TX","202",170,16,16,0,0
"169","Kingsport-Bristol-Bristol, TN-VA","75",75,0,0,0,0
"170","Kingston, NY","35",30,0,0,5,1
"171","Knoxville, TN","339",329,10,0,0,0
"172","Kokomo, IN","35",30,0,0,5,1
"173","La Crosse, WI-MN","47",47,0,0,0,0
"174","Lafayette, IN","138",131,0,0,7,1
"175","Lafayette, LA","115",115,0,0,0,0
"176","Lake Charles, LA","119",117,2,0,0,0
"177","Lakeland,* FL","383",379,4,0,0,0
"178","Lancaster, PA","219",192,0,0,27,4
"179","Lansing-East Lansing, MI","208",160,0,0,48,4
"180","Laredo,* TX","168",158,0,4,6,1
"181","Las Cruces,* NM","273",148,0,3,122,16
"182","Las Vegas-Paradise,* NV","3669",3112,2,403,152,19
"183","Lawrence, KS","51",33,18,0,0,0
"184","Lawton, OK","13",13,0,0,0,0
"185","Lebanon, PA","69",69,0,0,0,0
"186","Lewiston, ID-WA","4",4,0,0,0,0
"187","Lewiston-Auburn, ME","60",60,0,0,0,0
"188","Lexington-Fayette, KY","311",301,4,6,0,0
"189","Lima, OH","8",8,0,0,0,0
"190","Lincoln, NE","232",203,6,0,23,2
"191","Little Rock-North Little Rock, AR","698",310,4,0,384,23
"192","Logan, UT-ID","102",83,4,10,5,1
"193","Longview, TX","21",21,0,0,0,0
"194","Longview, WA","34",32,2,0,0,0
"195","Los Angeles-Long Beach-Santa Ana,*  CA","3048",1636,52,63,1297,56
"196","Louisville, KY-IN","597",571,14,0,12,1
"197","Lubbock, TX","176",98,78,0,0,0
"198","Lynchburg, VA","131",131,0,0,0,0
"199","Macon, GA","138",86,12,0,40,5
"200","Madera,* CA","143",143,0,0,0,0
"201","Madison,* WI","463",334,36,28,65,8
"202","Manchester-Nashua, NH","146",130,10,0,6,1
"203","Mansfield,* OH","46",32,6,3,5,1
"204","McAllen-Edinburg-Pharr,* TX","790",625,54,41,70,8
"205","Medford,* OR","230",190,4,22,14,2
"206","Memphis, TN-MS-AR","915",875,0,0,40,2
"207","Merced, CA","150",150,0,0,0,0
"208","Miami-Fort Lauderdale-Miami Beach,  FL","3582",2219,38,30,1295,73
"209","Michigan City-La Porte, IN","38",34,0,4,0,0
"210","Midland,* TX","26",26,0,0,0,0
"211","Milwaukee-Waukesha-West Allis,* WI","798",342,42,16,398,12
"212","Minneapolis-St. Paul-Bloomington,*  MN-WI","2525",2101,50,98,276,26
"213","Missoula,* MT","82",29,2,0,51,1
"214","Mobile, AL","176",171,0,0,5,1
"215","Modesto, CA","334",308,8,0,18,2
"216","Monroe, LA","28",18,0,0,10,2
"217","Monroe,* MI","130",125,0,0,5,1
"218","Montgomery, AL","197",174,0,0,23,4
"219","Morgantown, WV","0",0,0,0,0,0
"220","Morristown, TN","107",55,4,0,48,2
"221","Mount Vernon-Anacortes, WA","79",75,4,0,0,0
"222","Muncie, IN","22",22,0,0,0,0
"223","Muskegon-Norton Shores,* MI","83",70,4,4,5,1
"224","Myrtle Beach-Conway-North Myrtle Beach,  SC","514",335,0,16,163,13
"225","Napa,* CA","91",91,0,0,0,0
"226","Naples-Marco Island,* FL","733",386,18,139,190,11
"227","Nashville-Davidson--Murfreesboro,*  TN","1316",1136,14,6,160,10
"228","New Haven-Milford,* CT","151",131,0,0,20,1
"229","New Orleans-Metairie-Kenner,* LA","651",557,34,0,60,10
"230","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","4639",1875,660,383,1721,87
"231","Niles-Benton Harbor, MI","39",39,0,0,0,0
"232","Norwich-New London,* CT","185",89,2,4,90,3
"233","Ocala,* FL","368",361,2,0,5,1
"234","Ocean City,* NJ","156",89,32,4,31,4
"235","Odessa,* TX","10",10,0,0,0,0
"236","Ogden-Clearfield, UT","381",353,10,8,10,2
"237","Oklahoma City,* OK","921",729,10,0,182,9
"238","Olympia,* WA","202",170,8,0,24,3
"239","Omaha-Council Bluffs,* NE-IA","675",583,14,0,78,3
"240","Orlando,* FL","2948",2606,32,36,274,26
"241","Oshkosh-Neenah, WI","104",74,4,0,26,5
"242","Owensboro, KY","35",35,0,0,0,0
"243","Oxnard-Thousand Oaks-Ventura,* CA","254",165,0,0,89,9
"244","Palm Bay-Melbourne-Titusville,* FL","525",482,12,0,31,2
"245","Panama City-Lynn Haven,* FL","144",142,2,0,0,0
"246","Parkersburg-Marietta, WV-OH","19",16,0,3,0,0
"247","Pascagoula,* MS","243",243,0,0,0,0
"248","Pensacola-Ferry Pass-Brent, FL","884",386,4,0,494,18
"249","Peoria, IL","132",101,10,3,18,2
"250","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","1943",1573,12,19,339,20
"251","Phoenix-Mesa-Scottsdale, AZ","6480",4854,44,210,1372,115
"252","Pine Bluff, AR","7",7,0,0,0,0
"253","Pittsburgh,* PA","713",639,26,17,31,6
"254","Pittsfield, MA","22",14,0,8,0,0
"255","Pocatello, ID","37",37,0,0,0,0
"256","Port St. Lucie-Fort Pierce,* FL","1057",890,22,19,126,13
"257","Portland-South Portland-Biddeford,  ME","420",390,14,6,10,2
"258","Portland-Vancouver-Beaverton,* OR-WA","1396",1038,6,59,293,NA
"259","Prescott, AZ","248",225,14,9,0,0
"260","Providence-New Bedford-Fall River,  RI-MA","557",321,8,4,224,7
"261","Provo-Orem, UT","435",341,6,22,66,7
"262","Pueblo,* CO","109",105,4,0,0,0
"263","Punta Gorda,* FL","257",238,6,13,0,0
"264","Racine,* WI","94",69,6,0,19,3
"265","Raleigh-Cary,* NC","1149",969,6,0,174,5
"266","Rapid City, SD","91",82,6,3,0,0
"267","Reading, PA","112",98,0,0,14,2
"268","Redding,* CA","86",86,0,0,0,0
"269","Reno-Sparks,* NV","427",391,0,8,28,4
"270","Richmond,* VA","940",678,4,16,242,16
"271","Riverside-San Bernardino-Ontario,*  CA","4737",3801,14,134,788,64
"272","Roanoke, VA","142",134,4,4,0,0
"273","Rochester, MN","171",171,0,0,0,0
"274","Rochester, NY","212",202,2,8,0,0
"275","Rockford, IL","235",194,10,31,0,0
"276","Rocky Mount, NC","66",60,6,0,0,0
"277","Rome,* GA","74",50,24,0,0,0
"278","Sacramento--Arden-Arcade--Roseville,*  CA","1769",1682,2,9,76,1
"279","Saginaw-Saginaw Township North, MI","35",35,0,0,0,0
"280","Salem,* OR","196",163,10,3,20,3
"281","Salinas, CA","77",77,0,0,0,0
"282","Salisbury, MD","82",75,0,0,7,1
"283","Salt Lake City,* UT","732",629,4,32,67,8
"284","San Angelo, TX","13",13,0,0,0,0
"285","San Antonio, TX","1885",1163,32,3,687,38
"286","San Diego-Carlsbad-San Marcos,* CA","1900",1032,6,166,696,46
"287","San Francisco-Oakland-Fremont,* CA","1186",895,18,16,257,14
"288","San Jose-Sunnyvale-Santa Clara,* CA","233",204,12,0,17,3
"289","San Luis Obispo-Paso Robles,* CA","217",149,2,6,60,12
"290","Sandusky, OH","11",11,0,0,0,0
"291","Santa Barbara-Santa Maria-Goleta,  CA","217",90,2,108,17,2
"292","Santa Cruz-Watsonville,* CA","51",51,0,0,0,0
"293","Santa Fe,* NM","58",58,0,0,0,0
"294","Santa Rosa-Petaluma,* CA","175",115,2,0,58,3
"295","Sarasota-Bradenton-Venice,* FL","1499",788,4,132,575,42
"296","Savannah, GA","219",205,4,0,10,2
"297","Scranton--Wilkes-Barre, PA","115",98,0,7,10,2
"298","Seattle-Tacoma-Bellevue,* WA","1977",1515,68,89,305,29
"299","Sheboygan, WI","38",14,0,0,24,2
"300","Sherman-Denison, TX","15",13,2,0,0,0
"301","Shreveport-Bossier City, LA","152",152,0,0,0,0
"302","Sioux City, IA-NE-SD","42",33,6,3,0,0
"303","Sioux Falls, SD","216",208,0,8,0,0
"304","South Bend-Mishawaka, IN-MI","91",91,0,0,0,0
"305","Spartanburg, SC","170",170,0,0,0,0
"306","Spokane, WA","204",170,20,14,0,0
"307","Springfield, IL","94",60,16,3,15,1
"308","Springfield, MA","88",86,2,0,0,0
"309","Springfield, MO","439",261,14,0,164,12
"310","Springfield, OH","27",27,0,0,0,0
"311","St. Cloud, MN","181",159,0,3,19,2
"312","St. George, UT","308",292,4,0,12,1
"313","St. Joseph, MO-KS","27",17,2,3,5,1
"314","St. Louis,* MO-IL","1664",1313,56,21,274,11
"315","State College, PA","46",43,0,3,0,0
"316","Stockton,* CA","678",596,2,6,74,6
"317","Sumter,* SC","64",49,4,0,11,1
"318","Syracuse, NY","117",99,8,0,10,2
"319","Tallahassee, FL","275",176,2,3,94,6
"320","Tampa-St. Petersburg-Clearwater,* FL","2482",2079,56,22,325,NA
"321","Texarkana, TX-Texarkana, AR","45",33,12,0,0,0
"322","Toledo, OH","271",227,4,10,30,1
"323","Topeka, KS","105",105,0,0,0,0
"324","Trenton-Ewing,* NJ","114",82,0,0,32,2
"325","Tucson, AZ","691",652,8,19,12,2
"326","Tulsa,* OK","416",405,0,0,11,1
"327","Tuscaloosa, AL","111",111,0,0,0,0
