"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","29",29,0,0,0,0,91
"2","Akron, OH","62",59,0,3,0,0,69
"3","Albany, GA","30",23,2,0,5,1,84
"4","Albany-Schenectady-Troy, NY","47",43,4,0,0,0,59
"5","Albuquerque,  NM","278",244,0,4,30,2,100
"6","Alexandria, LA","36",36,0,0,0,0,97
"7","Allentown-Bethlehem-Easton,  PA-NJ","173",154,0,3,16,3,100
"8","Altoona, PA","0",0,0,0,0,0,7
"9","Amarillo, TX","44",27,0,0,17,2,79
"10","Ames, IA","9",9,0,0,0,0,92
"11","Anchorage,  AK","26",12,2,4,8,1,100
"12","Anderson, IN","9",9,0,0,0,0,73
"13","Anderson, SC","74",74,0,0,0,0,90
"14","Ann Arbor, MI","12",12,0,0,0,0,72
"15","Anniston-Oxford, AL","13",13,0,0,0,0,78
"16","Appleton, WI","38",22,0,0,16,1,79
"17","Asheville, NC","147",132,0,3,12,2,88
"18","Athens-Clarke County, GA","67",67,0,0,0,0,73
"19","Atlanta-Sandy Springs-Marietta,  GA","1824",1555,6,13,250,13,100
"20","Atlantic City-Hammonton,  NJ","68",52,2,3,11,1,100
"21","Auburn-Opelika,  AL","92",77,0,0,15,1,100
"22","Augusta-Richmond County, GA-SC","105",105,0,0,0,0,80
"23","Austin-Round Rock,  TX","1502",864,20,11,607,20,100
"24","Bakersfield, CA","176",145,2,29,0,0,90
"25","Baltimore-Towson,  MD","316",272,0,0,44,3,100
"26","Bangor, ME","13",13,0,0,0,0,49
"27","Barnstable Town, MA","22",22,0,0,0,0,88
"28","Baton Rouge, LA","387",217,0,0,170,12,94
"29","Battle Creek, MI","3",3,0,0,0,0,55
"30","Bay City, MI","1",1,0,0,0,0,21
"31","Beaumont-Port Arthur, TX","198",34,4,0,160,1,76
"32","Bellingham, WA","44",29,0,0,15,1,69
"33","Bend,  OR","72",62,0,10,0,0,100
"34","Billings, MT","30",30,0,0,0,0,90
"35","Binghamton, NY","5",5,0,0,0,0,18
"36","Birmingham-Hoover,  AL","355",251,0,0,104,7,100
"37","Bismarck, ND","96",57,0,4,35,2,98
"38","Bloomington, IN","40",30,10,0,0,0,86
"39","Bloomington-Normal, IL","24",19,0,0,5,1,84
"40","Boise City-Nampa,  ID","381",327,2,52,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","843",255,22,26,540,26,100
"42","Boulder, CO","25",15,0,0,10,2,78
"43","Bowling Green, KY","47",43,0,4,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","296",210,0,15,71,7,100
"45","Bremerton-Silverdale, WA","43",43,0,0,0,0,84
"46","Bridgeport-Stamford-Norwalk, CT","105",58,2,0,45,3,90
