"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","18",18,0,0,0,0,91
"109","Flint, MI","7",7,0,0,0,0,63
"110","Florence, SC","46",32,0,0,14,1,99
"111","Florence-Muscle Shoals, AL","19",14,0,0,5,1,88
"112","Fond du Lac, WI","2",2,0,0,0,0,44
"113","Fort Collins-Loveland,  CO","264",80,0,16,168,7,100
"114","Fort Smith, AR-OK","73",35,18,20,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","366",19,0,0,347,6,77
"116","Fort Wayne,  IN","154",74,0,0,80,10,100
"117","Fresno, CA","194",114,0,0,80,7,81
"118","Gadsden, AL","10",5,0,0,5,1,62
"119","Gainesville, FL","57",30,0,0,27,2,99
"120","Gainesville, GA","13",13,0,0,0,0,94
"121","Glens Falls, NY","25",19,2,4,0,0,77
"122","Goldsboro, NC","21",21,0,0,0,0,79
"123","Grand Forks, ND-MN","71",15,0,0,56,2,221
"124","Grand Junction,  CO","65",63,2,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","77",75,2,0,0,0,100
"126","Great Falls, MT","10",10,0,0,0,0,91
"127","Greeley,  CO","47",36,0,0,11,1,100
"128","Green Bay, WI","75",61,0,3,11,1,80
"129","Greensboro-High Point,  NC","159",122,0,12,25,3,100
"130","Greenville, NC","47",29,10,0,8,1,99
"131","Greenville,  SC","163",153,0,0,10,2,100
"132","Gulfport-Biloxi, MS","175",75,28,0,72,2,93
"133","Hagerstown-Martinsburg, MD-WV","70",70,0,0,0,0,96
"134","Hanford-Corcoran, CA","14",14,0,0,0,0,78
"135","Harrisburg-Carlisle, PA","54",54,0,0,0,0,54
"136","Harrisonburg,  VA","44",44,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","120",85,2,0,33,4,88
"138","Hattiesburg, MS","1",1,0,0,0,0,92
"139","Hickory-Lenoir-Morganton, NC","65",65,0,0,0,0,98
"140","Hinesville-Fort Stewart, GA","6",6,0,0,0,0,68
"141","Holland-Grand Haven, MI","35",30,0,0,5,1,77
"142","Honolulu,  HI","197",125,0,0,72,9,100
"143","Hot Springs, AR","4",4,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","36",36,0,0,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","2742",1684,18,10,1030,38,100
"146","Huntington-Ashland, WV-KY-OH","3",3,0,0,0,0,8
"147","Huntsville, AL","142",142,0,0,0,0,98
"148","Idaho Falls, ID","88",41,0,0,47,1,97
"149","Indianapolis-Carmel,  IN","358",348,0,10,0,0,100
"150","Iowa City, IA","85",73,0,0,12,1,94
"151","Ithaca, NY","8",3,0,0,5,1,58
"152","Jackson, MI","5",3,2,0,0,0,61
"153","Jackson, MS","105",105,0,0,0,0,94
"154","Jackson, TN","29",29,0,0,0,0,92
"155","Jacksonville,  FL","528",456,16,0,56,3,100
"156","Jacksonville, NC","119",59,0,0,60,3,97
"157","Janesville, WI","11",11,0,0,0,0,79
"158","Jefferson City, MO","12",9,0,3,0,0,70
"159","Johnson City, TN","65",57,0,0,8,1,99
"160","Johnstown, PA","0",0,0,0,0,0,7
