"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","12",12,0,0,0,0
"2","Akron,* OH","174",153,8,7,6,1
"3","Albany, GA","55",55,0,0,0,0
"4","Albany-Schenectady-Troy, NY","99",87,2,0,10,2
"5","Albuquerque,* NM","714",714,0,0,0,0
"6","Alexandria, LA","28",28,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","312",290,0,7,15,3
"8","Altoona, PA","1",1,0,0,0,0
"9","Amarillo, TX","73",73,0,0,0,0
"10","Ames, IA","62",22,0,0,40,3
"11","Anchorage,* AK","58",50,0,8,0,0
"12","Anderson,* IN","22",22,0,0,0,0
"13","Anderson,* SC","73",57,4,12,0,0
"14","Ann Arbor,* MI","135",122,0,8,5,1
"15","Anniston-Oxford, AL","15",15,0,0,0,0
"16","Appleton, WI","104",92,2,0,10,1
"17","Asheville, NC","198",186,12,0,0,0
"18","Athens-Clarke County, GA","112",112,0,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","4925",4403,18,4,500,9
"20","Atlantic City,* NJ","112",110,2,0,0,0
"21","Auburn-Opelika,* AL","109",60,2,0,47,4
"22","Augusta-Richmond County, GA-SC","198",198,0,0,0,0
"23","Austin-Round Rock,* TX","1359",1016,58,20,265,21
"24","Bakersfield, CA","473",409,0,0,64,8
"25","Baltimore-Towson,* MD","576",498,0,0,78,4
"26","Bangor, ME","24",24,0,0,0,0
"27","Barnstable Town, MA","81",78,0,3,0,0
"28","Baton Rouge, LA","286",286,0,0,0,0
"29","Battle Creek, MI","13",13,0,0,0,0
"30","Bay City, MI","8",8,0,0,0,0
"31","Beaumont-Port Arthur, TX","33",33,0,0,0,0
"32","Bellingham, WA","124",95,4,4,21,2
"33","Bend,* OR","253",180,24,17,32,4
"34","Billings, MT","37",37,0,0,0,0
"35","Binghamton, NY","8",8,0,0,0,0
"36","Birmingham-Hoover,* AL","489",476,0,3,10,2
"37","Bismarck, ND","0",0,0,0,0,0
"38","Blacksburg-Christiansburg-Radford,  VA","94",89,0,0,5,1
"39","Bloomington, IN","50",31,8,3,8,1
"40","Bloomington-Normal, IL","64",56,8,0,0,0
"41","Boise City-Nampa,* ID","552",517,14,21,0,0
"42","Boston-Cambridge-Quincy,* MA-NH","660",450,32,15,163,14
"43","Boulder,* CO","118",74,8,3,33,4
"44","Bowling Green, KY","57",57,0,0,0,0
"45","Bremerton-Silverdale,* WA","91",89,2,0,0,0
"46","Bridgeport-Stamford-Norwalk,* CT","115",105,10,0,0,0
"47","Brownsville-Harlingen, TX","306",244,4,42,16,2
"48","Brunswick, GA","79",58,2,0,19,1
"49","Buffalo-Niagara Falls, NY","139",129,0,4,6,1
"50","Burlington,* NC","125",121,0,4,0,0
"51","Burlington-South Burlington, VT","41",32,4,0,5,1
"52","Canton-Massillon, OH","60",60,0,0,0,0
"53","Cape Coral-Fort Myers,* FL","1719",903,172,100,544,32
"54","Carson City,* NV","9",5,4,0,0,0
"55","Casper,* WY","11",11,0,0,0,0
"56","Cedar Rapids, IA","54",46,2,0,6,1
"57","Champaign-Urbana, IL","38",38,0,0,0,0
"58","Charleston, WV","31",31,0,0,0,0
"59","Charleston-North Charleston,* SC","524",474,4,3,43,3
"60","Charlotte-Gastonia-Concord,* NC-SC","1274",1209,12,10,43,5
"61","Charlottesville,* VA","201",116,0,0,85,4
"62","Chattanooga, TN-GA","228",190,6,3,29,5
"63","Cheyenne, WY","22",22,0,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","2441",2002,22,68,349,NA
"65","Cincinnati-Middletown,* OH-KY-IN","882",677,10,3,192,11
"66","Clarksville, TN-KY","292",220,0,0,72,9
"67","Cleveland, TN","47",34,2,0,11,1
"68","Cleveland-Elyria-Mentor,* OH","461",378,14,6,63,6
"69","Coeur d""Alene, ID","140",117,18,0,5,1
"70","College Station-Bryan, TX","75",45,0,0,30,6
"71","Colorado Springs,* CO","447",447,0,0,0,0
"72","Columbia, MO","80",70,2,0,8,1
"73","Columbia,* SC","623",470,2,3,148,4
"74","Columbus, GA-AL","229",114,0,0,115,13
"75","Columbus, IN","15",15,0,0,0,0
"76","Columbus,* OH","920",763,2,3,152,17
"77","Corpus Christi, TX","126",105,2,6,13,1
"78","Corvallis,* OR","22",22,0,0,0,0
"79","Cumberland, MD-WV","7",7,0,0,0,0
"80","Dallas-Fort Worth-Arlington,* TX","3536",3418,32,8,78,9
"81","Dalton,* GA","53",41,2,4,6,1
"82","Danville, IL","0",0,0,0,0,0
"83","Danville,* VA","21",21,0,0,0,0
"84","Davenport-Moline-Rock Island,  IA-IL","26",26,0,0,0,NA
"85","Decatur, AL","29",29,0,0,0,0
"86","Decatur, IL","10",10,0,0,0,0
