"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"116","Fort Walton Beach-Crestview-Destin,*  FL","117",80,0,0,37,3
"117","Fort Wayne, IN","180",178,2,0,0,0
"118","Fresno, CA","449",355,6,11,77,11
"119","Gadsden, AL","19",19,0,0,0,0
"120","Gainesville, FL","138",100,4,0,34,4
"121","Gainesville, GA","106",106,0,0,0,0
"122","Glens Falls, NY","58",38,0,20,0,0
"123","Goldsboro,* NC","40",38,2,0,0,0
"124","Grand Forks, ND-MN","6",6,0,0,0,0
"125","Grand Junction,* CO","145",145,0,0,0,0
"126","Grand Rapids-Wyoming,* MI","331",246,4,0,81,6
"127","Great Falls, MT","17",17,0,0,0,0
"128","Greeley,* CO","340",340,0,0,0,0
"129","Green Bay, WI","191",105,2,0,84,3
"130","Greensboro-High Point,* NC","449",397,0,3,49,3
"131","Greenville, NC","102",88,14,0,0,0
"132","Greenville,* SC","415",391,0,3,21,2
"133","Gulfport-Biloxi, MS","35",35,0,0,0,0
"134","Hagerstown-Martinsburg, MD-WV","231",217,14,0,0,0
"135","Hanford-Corcoran, CA","31",31,0,0,0,0
"136","Harrisburg-Carlisle, PA","118",99,0,3,16,1
"137","Harrisonburg,* VA","121",119,2,0,0,0
"138","Hartford-West Hartford-East Hartford,  CT","336",184,2,0,150,9
"139","Hattiesburg, MS","33",9,0,4,20,2
"140","Hickory-Lenoir-Morganton, NC","106",106,0,0,0,0
"141","Hinesville-Fort Stewart, GA","0",0,0,0,0,0
"142","Holland-Grand Haven, MI","125",89,6,12,18,2
"143","Honolulu,* HI","191",155,0,0,36,1
"144","Hot Springs, AR","12",12,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","67",67,0,0,0,0
"146","Houston-Baytown-Sugar Land,* TX","3701",3377,28,0,296,30
"147","Huntington-Ashland, WV-KY-OH","5",5,0,0,0,0
"148","Huntsville, AL","260",260,0,0,0,0
"149","Idaho Falls, ID","107",103,0,4,0,0
"150","Indianapolis,* IN","1231",968,24,31,208,12
"151","Iowa City, IA","125",89,0,0,36,2
"152","Ithaca, NY","3",3,0,0,0,0
"153","Jackson, MI","34",34,0,0,0,0
"154","Jackson, MS","314",280,2,8,24,3
"155","Jackson, TN","50",50,0,0,0,0
"156","Jacksonville,* FL","1358",1128,4,3,223,14
"157","Jacksonville, NC","98",98,0,0,0,0
