"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","18",16,2,0,0,0
"2","Albany* GA MSA","70",48,22,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","201",137,0,4,60,3
"4","Albuquerque* NM MSA","404",392,0,12,0,0
"5","Alexandria* LA MSA","24",24,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","184",169,0,15,0,0
"7","Altoona* PA MSA","2",2,0,0,0,0
"8","Amarillo* TX MSA","45",45,0,0,0,0
"9","Anchorage* AK MSA","67",45,16,0,6,1
"10","Anniston* AL MSA","18",18,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","185",85,8,0,92,11
"12","Asheville* NC MSA","642",112,8,20,502,23
"13","Athens* GA MSA","140",140,0,0,0,0
"14","Atlanta  GA MSA","4690",3424,8,24,1234,23
"15","Auburn-Opelika* AL MSA","22",18,4,0,0,0
"16","Augusta-Aiken* GA-SC MSA","452",240,2,0,210,8
"17","Austin-San Marcos* TX MSA","1177",518,160,21,478,25
"18","Bakersfield* CA MSA","264",262,2,0,0,0
"19","Bangor* ME MSA","29",21,0,8,0,0
"20","Barnstable-Yarmouth* MA MSA","95",95,0,0,0,0
"21","Baton Rouge* LA MSA","317",100,0,0,217,6
"22","Beaumont-Port Arthur* TX MSA","37",37,0,0,0,0
"23","Bellingham* WA MSA","107",70,4,3,30,2
"24","Benton Harbor* MI MSA","10",10,0,0,0,0
"25","Billings* MT MSA","24",24,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","109",109,0,0,0,0
"27","Binghamton* NY MSA","8",8,0,0,0,0
"28","Birmingham* AL MSA","332",332,0,0,0,0
"29","Bismarck* ND MSA","12",12,0,0,0,0
"30","Bloomington* IN MSA","46",32,14,0,0,0
"31","Bloomington-Normal* IL MSA","99",49,0,4,46,7
"32","Boise City* ID MSA","670",395,6,23,246,22
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1353",840,50,91,372,37
"34","Brownsville-Harlingen-San  Benito* TX MSA","199",184,6,4,5,1
"35","Bryan-College Station* TX MSA","248",45,0,0,203,2
"36","Buffalo-Niagara Falls* NY MSA","236",205,14,0,17,3
"37","Burlington* VT MSA","35",27,2,6,0,0
"38","Canton-Massillon* OH MSA","67",65,2,0,0,0
"39","Casper* WY MSA","10",10,0,0,0,0
"40","Cedar Rapids* IA MSA","57",39,6,0,12,1
"41","Champaign-Urbana* IL MSA","75",30,0,0,45,3
"42","Charleston-North  Charleston* SC MSA","320",292,0,15,13,1
"43","Charleston* WV MSA","22",22,0,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1876",1617,8,8,243,18
"45","Charlottesville* VA MSA","163",73,4,0,86,1
"46","Chattanooga* TN-GA MSA","248",184,4,3,57,4
"47","Cheyenne* WY MSA","47",41,0,0,6,1
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3526",2331,48,98,1049,63
"49","Chico-Paradise* CA MSA","60",60,0,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","883",702,24,16,141,13
"51","Clarksville-Hopkinsville*  TN-KY MSA","96",68,0,4,24,3
"52","Cleveland-Akron  OH CMSA","635",554,4,11,66,7
"53","Colorado Springs* CO MSA","524",334,6,4,180,11
"54","Columbia* MO MSA","149",59,10,0,80,9
"55","Columbia* SC MSA","374",319,0,0,55,2
"56","Columbus* GA-AL MSA","90",76,2,0,12,1
"57","Columbus  OH MSA","1455",714,8,78,655,60
"58","Corpus Christi* TX MSA","76",72,0,4,0,0
"59","Corvallis OR MSA*","18",18,0,0,0,0
"60","Cumberland* MD-WV MSA","5",5,0,0,0,0
"61","Dallas-Fort Worth  TX CMSA","5011",2382,6,120,2503,110
"62","Danville* VA MSA","21",21,0,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","26",26,0,0,0,0
"64","Dayton-Springfield* OH MSA","252",217,32,3,0,0
"65","Daytona Beach* FL MSA","601",572,24,0,5,1
"66","Decatur* Al MSA","17",17,0,0,0,0
"67","Decatur* IL MSA","5",5,0,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","2368",1566,18,48,736,39
"69","Des Moines* IA MSA","306",286,2,4,14,2
"70","Detroit-Ann Arbor-Flint  MI  CMSA","1873",1362,12,21,478,24
"71","Dothan* AL MSA","25",25,0,0,0,0
"72","Dover* DE MSA","97",97,0,0,0,0
"73","Dubuque* IA MSA","21",12,4,0,5,1
"74","Duluth-Superior* MN-WI MSA","29",27,2,0,0,0
"75","Eau Claire* WI MSA","22",18,4,0,0,0
"76","El Paso* TX MSA","267",252,2,8,5,1
"77","Elkhart-Goshen* IN MSA","235",59,0,0,176,13
"78","Elmira* NY MSA","8",5,0,3,0,0
"79","Enid* OK MSA","8",8,0,0,0,0
"80","Erie* PA MSA","26",18,0,8,0,0
"81","Eugene-Springfield* OR MSA","105",87,6,0,12,1
"82","Evansville-Henderson* IN-KY  MSA","69",63,2,4,0,0
"83","Fargo-Moorhead* ND-MN MSA","11",11,0,0,0,0
"84","Fayetteville* NC MSA","236",103,2,0,131,13
"85","Fayetteville-Springdale-  Rogers* AR MSA","215",126,0,6,83,8
"86","Flagstaff* AZ-UT MSA","63",63,0,0,0,0
"87","Florence* AL MSA","6",4,2,0,0,0
"88","Florence* SC MSA","4",4,0,0,0,0
"89","Fort Collins-Loveland* CO MSA","259",181,0,4,74,5
"90","Fort Myers-Cape Coral* FL MSA","851",629,48,20,154,18
"91","Fort Pierce-Port St. Lucie*  FL MSA","292",255,0,0,37,2
"92","Fort Smith* AR-OK MSA","30",22,8,0,0,0
"93","Fort Walton Beach* FL MSA","256",167,0,0,89,1
"94","Fort Wayne* IN MSA","271",179,8,0,84,10
"95","Fresno  CA MSA","363",349,6,8,0,0
"96","Gadsden* AL MSA","5",5,0,0,0,0
"97","Gainesville* FL MSA","73",73,0,0,0,0
"98","Glens Falls* NY MSA","33",33,0,0,0,0
"99","Goldsboro* NC MSA","23",23,0,0,0,0
"100","Grand Forks* ND-MN MSA","26",2,0,0,24,1
"101","Grand Junction* CO MSA","108",108,0,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","466",405,2,7,52,8
"103","Great Falls* MT MSA","6",6,0,0,0,0
"104","Green Bay* WI MSA","132",59,8,0,65,6
"105","Greensboro--Winston-Salem--  High Point  NC MSA","1035",796,12,12,215,16
"106","Greenville* NC MSA","391",101,26,0,264,15
"107","Greenville-Spartanburg-  Anderson* SC MSA","478",448,0,9,21,1
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","116",107,0,3,6,1
"109","Hartford* CT MSA","234",214,4,0,16,3
"110","Hattiesburg* MS MSA","1",1,0,0,0,0
"111","Hickory-Morganton-Lenoir*  NC MSA","157",137,4,0,16,2
"112","Honolulu  HI MSA","131",108,2,0,21,2
"113","Houma* LA MSA","58",56,2,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","4394",2554,0,3,1837,73
"115","Huntington-Ashland* WV-KY-  OH MSA","5",2,0,3,0,0
"116","Huntsville* AL MSA","76",76,0,0,0,0
"117","Indianapolis  IN MSA","1512",798,46,24,644,48
"118","Iowa City* IA MSA","69",39,0,8,22,3
"119","Jackson* MI MSA","12",10,2,0,0,0
"120","Jackson* MS MSA","160",143,0,0,17,2
"121","Jackson* TN MSA","25",25,0,0,0,0
"122","Jacksonville  FL MSA","1174",905,0,4,265,24
"123","Jacksonville* NC MSA","80",80,0,0,0,0
"124","Jamestown* NY MSA","1",1,0,0,0,0
"125","Janesville-Beloit* WI MSA","150",21,10,8,111,9
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","85",85,0,0,0,0
"127","Johnstown* PA MSA","3",3,0,0,0,0
"128","Jonesboro* AR MSA","28",28,0,0,0,0
"129","Joplin* MO MSA","9",9,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","93",68,0,3,22,3
"131","Kansas City  MO-KS MSA","1707",869,22,67,749,14
"132","Killeen-Temple* TX MSA","133",103,6,24,0,0
"133","Knoxville* TN MSA","287",225,6,6,50,3
"134","Kokomo* IN MSA","26",26,0,0,0,0
"135","La Crosse* WI-MN MSA","24",12,12,0,0,0
"136","Lafayette* LA MSA","280",72,0,0,208,7
"137","Lafayette* IN MSA","67",65,2,0,0,0
"138","Lake Charles* LA MSA","79",60,0,0,19,1
"139","Lakeland-Winter Haven* FL MSA","329",327,2,0,0,0
"140","Lancaster* PA MSA","89",89,0,0,0,0
"141","Lansing-East Lansing* MI MSA","117",90,0,0,27,3
"142","Laredo* TX MSA","146",117,0,0,29,2
"143","Las Cruces* NM MSA","249",103,2,0,144,16
"144","Las Vegas  NV-AZ MSA","2986",2314,32,34,606,51
"145","Lawrence* KS MSA","68",44,24,0,0,0
"146","Lawton* OK MSA","1",1,0,0,0,0
"147","Lewiston-Auburn* ME MSA","8",6,2,0,0,0
"148","Lexington* KY MSA","260",238,22,0,0,0
"149","Lima* OH MSA","8",6,2,0,0,0
"150","Lincoln* NE MSA","132",95,4,0,33,2
"151","Little Rock-North Little  Rock* AR MSA","293",191,2,40,60,5
"152","Longview-Marshall* TX MSA","12",12,0,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","4613",3303,42,57,1211,49
"154","Louisville  KY-IN MSA","415",328,2,0,85,10
"155","Lubbock* TX MSA","82",70,12,0,0,0
"156","Lynchburg* VA MSA","117",113,4,0,0,0
"157","Macon* GA MSA","166",162,4,0,0,0
"158","Madison* WI MSA","330",149,12,21,148,11
"159","Mansfield* OH MSA","14",14,0,0,0,0
"160","McAllen-Edinburg-Mission*  TX MSA","440",370,6,15,49,4
"161","Medford-Ashland* OR MSA","149",141,0,3,5,1
"162","Melbourne-Titusville-Palm  Bay* FL MSA","457",352,2,0,103,8
"163","Memphis  TN-AR-MS MSA","600",458,0,0,142,1
"164","Merced* CA MSA","227",227,0,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","1843",872,16,18,937,10
"166","Milwaukee-Racine  WI CMSA","596",308,30,3,255,11
"167","Minneapolis-St. Paul  MN-WI  MSA","2302",1331,28,51,892,28
"168","Missoula* MT MSA","61",16,10,19,16,2
"169","Mobile* AL MSA","309",257,2,4,46,4
"170","Modesto* CA MSA","168",157,6,0,5,1
"171","Monroe* LA MSA","51",51,0,0,0,0
"172","Montgomery* AL MSA","116",116,0,0,0,0
"173","Muncie* IN MSA","17",17,0,0,0,0
"174","Myrtle Beach* SC MSA","322",219,0,3,100,7
"175","Naples* FL MSA","458",251,2,36,169,5
"176","Nashville  TN MSA","803",652,4,0,147,9
"177","New London-Norwich* CT-RI MSA","59",59,0,0,0,0
"178","New Orleans* LA MSA","322",289,14,3,16,1
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","4448",2160,390,453,1445,83
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","729",561,0,0,168,24
"181","Ocala* FL MSA","522",522,0,0,0,0
"182","Odessa-Midland* TX MSA","52",52,0,0,0,0
"183","Oklahoma City* OK MSA","441",437,4,0,0,0
"184","Omaha* NE-IA MSA","321",231,0,0,90,9
"185","Orlando  FL MSA","2071",1391,0,4,676,42
"186","Owensboro* KY MSA","78",76,2,0,0,0
"187","Panama City* FL MSA","81",81,0,0,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","10",6,4,0,0,0
"189","Pensacola* FL MSA","304",160,0,0,144,3
"190","Peoria-Pekin* IL MSA","89",58,6,20,5,1
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","1490",1331,34,11,114,14
"192","Phoenix-Mesa  AZ MSA","3897",2689,0,40,1168,107
"193","Pine Bluff* AR MSA","10",8,2,0,0,0
"194","Pittsburgh  PA MSA","429",337,8,32,52,7
"195","Pittsfield* MA MSA","1",1,0,0,0,0
"196","Pocatello* ID MSA","19",19,0,0,0,0
"197","Portland* ME MSA","161",98,4,14,45,8
"198","Portland-Salem  OR-WA CMSA","1155",817,38,20,280,19
"199","Providence-Fall River-  Warwick* RI-MA MSA","181",148,16,7,10,2
"200","Provo-Orem* UT MSA","217",174,6,0,37,4
"201","Pueblo* CO MSA","155",63,92,0,0,0
"202","Punta Gorda* FL MSA","169",129,4,0,36,2
"203","Raleigh-Durham-Chapel Hill  NC MSA","1413",1088,10,7,308,16
