"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"117","Fort Wayne,* IN","56",56,0,0,0,0
"118","Fresno, CA","329",217,6,6,100,8
"119","Gadsden, AL","13",13,0,0,0,0
"120","Gainesville, FL","88",60,0,0,28,1
"121","Gainesville, GA","168",168,0,0,0,0
"122","Glens Falls, NY","9",9,0,0,0,0
"123","Goldsboro, NC","44",44,0,0,0,0
"124","Grand Forks, ND-MN","0",0,0,0,0,0
"125","Grand Junction,* CO","99",99,0,0,0,0
"126","Grand Rapids-Wyoming,* MI","111",98,0,3,10,1
"127","Great Falls, MT","16",16,0,0,0,0
"128","Greeley,* CO","167",167,0,0,0,0
"129","Green Bay, WI","62",48,4,0,10,1
"130","Greensboro-High Point,* NC","393",263,6,0,124,9
"131","Greenville, NC","208",114,22,0,72,3
"132","Greenville-Mauldin-Easley,* SC","416",416,0,0,0,0
"133","Gulfport-Biloxi, MS","267",267,0,0,0,0
"134","Hagerstown-Martinsburg, MD-WV","127",125,2,0,0,0
"135","Hanford-Corcoran, CA","38",36,2,0,0,0
"136","Harrisburg-Carlisle, PA","49",37,0,0,12,1
"137","Harrisonburg,* VA","49",49,0,0,0,0
"138","Hartford-West Hartford-East Hartford,  CT","174",91,8,0,75,5
"139","Hattiesburg, MS","93",77,0,0,16,1
"140","Hickory-Lenoir-Morganton, NC","125",125,0,0,0,0
"141","Hinesville-Fort Stewart, GA","8",8,0,0,0,0
"142","Holland-Grand Haven, MI","40",40,0,0,0,0
"143","Honolulu,* HI","279",92,0,12,175,8
"144","Hot Springs, AR","8",8,0,0,0,0
"145","Houma-Bayou Cane-Thibodaux, LA","39",39,0,0,0,0
"146","Houston-Sugar Land-Baytown,* TX","5557",3990,28,47,1492,57
"147","Huntington-Ashland, WV-KY-OH","4",4,0,0,0,0
"148","Huntsville, AL","377",290,0,0,87,10
"149","Idaho Falls, ID","92",92,0,0,0,0
"150","Indianapolis-Carmel,* IN","531",426,2,7,96,6
"151","Iowa City, IA","27",25,2,0,0,0
"152","Ithaca, NY","2",2,0,0,0,0
"153","Jackson, MI","3",3,0,0,0,0
"154","Jackson, MS","294",198,0,96,0,0
"155","Jackson, TN","23",23,0,0,0,0
"156","Jacksonville,* FL","1262",624,44,3,591,25
"157","Jacksonville, NC","117",117,0,0,0,0
"158","Janesville, WI","33",17,2,0,14,1
"159","Jefferson City, MO","12",12,0,0,0,0
"160","Johnson City, TN","47",47,0,0,0,0
"161","Johnstown, PA","1",1,0,0,0,0
"162","Jonesboro, AR","28",28,0,0,0,0
"163","Joplin, MO","10",10,0,0,0,0
"164","Kalamazoo-Portage, MI","29",29,0,0,0,0
"165","Kankakee-Bradley, IL","0",0,0,0,0,0
"166","Kansas City,* MO-KS","456",408,34,14,0,0
"167","Kennewick-Richland-Pasco, WA","113",89,2,12,10,1
"168","Killeen-Temple-Fort Hood, TX","159",143,16,0,0,0
"169","Kingsport-Bristol-Bristol, TN-VA","40",40,0,0,0,0
"170","Kingston, NY","13",9,4,0,0,0
"171","Knoxville, TN","307",290,0,0,17,1
"172","Kokomo, IN","5",5,0,0,0,0
"173","La Crosse, WI-MN","45",9,2,4,30,2
"174","Lafayette, IN","45",45,0,0,0,0
"175","Lafayette, LA","98",98,0,0,0,0
"176","Lake Charles, LA","34",27,2,0,5,1
"177","Lake Havasu City-Kingman, AZ","120",118,2,0,0,0
"178","Lakeland,* FL","346",342,4,0,0,0
"179","Lancaster, PA","92",90,2,0,0,0
"180","Lansing-East Lansing, MI","48",36,0,0,12,2
"181","Laredo,* TX","192",140,0,4,48,1
"182","Las Cruces,* NM","98",98,0,0,0,0
"183","Las Vegas-Paradise,* NV","1581",1182,2,60,337,10
"184","Lawrence, KS","18",18,0,0,0,0
