"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","32",32,0,0,0,0
"2","Akron, OH","109",89,0,6,14,1
"3","Albany, GA","35",32,0,3,0,0
"4","Albany-Schenectady-Troy, NY","101",63,0,20,18,1
"5","Albuquerque,* NM","675",276,0,0,399,28
"6","Alexandria, LA","36",36,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","280",257,2,0,21,2
"8","Altoona, PA","0",0,0,0,0,0
"9","Amarillo, TX","21",21,0,0,0,0
"10","Ames, IA","57",15,0,0,42,4
"11","Anchorage,* AK","35",21,2,12,0,0
"12","Anderson, IN","11",11,0,0,0,0
"13","Anderson, SC","54",54,0,0,0,0
"14","Ann Arbor, MI","32",27,0,0,5,1
"15","Anniston-Oxford, AL","10",10,0,0,0,0
"16","Appleton, WI","31",29,2,0,0,0
"17","Asheville, NC","265",236,2,6,21,1
"18","Athens-Clarke County, GA","324",46,0,0,278,4
"19","Atlanta-Sandy Springs-Marietta,* GA","4046",3234,20,14,778,19
"20","Atlantic City,* NJ","108",103,0,0,5,1
"21","Auburn-Opelika,* AL","81",71,0,0,10,2
"22","Augusta-Richmond County, GA-SC","170",170,0,0,0,0
"23","Austin-Round Rock,* TX","1958",996,18,95,849,18
"24","Bakersfield, CA","332",272,10,25,25,3
"25","Baltimore-Towson,* MD","520",280,14,9,217,8
"26","Bangor, ME","43",7,6,0,30,5
"27","Barnstable Town, MA","75",56,0,7,12,2
"28","Baton Rouge, LA","414",368,0,3,43,4
"29","Battle Creek, MI","12",7,0,0,5,1
"30","Bay City, MI","8",8,0,0,0,0
"31","Beaumont-Port Arthur, TX","127",43,0,0,84,8
"32","Bellingham, WA","21",21,0,0,0,0
"33","Bend,* OR","170",166,4,0,0,0
"34","Billings, MT","39",39,0,0,0,0
"35","Binghamton, NY","2",2,0,0,0,0
"36","Birmingham-Hoover,* AL","351",351,0,0,0,0
"37","Bismarck, ND","55",43,4,0,8,1
"38","Bloomington, IN","37",33,4,0,0,0
"39","Bloomington-Normal, IL","35",25,0,0,10,1
"40","Boise City-Nampa,* ID","424",379,2,23,20,2
"41","Boston-Cambridge-Quincy,* MA-NH","980",414,40,19,507,23
"42","Boulder, CO","51",40,0,0,11,2
"43","Bowling Green, KY","58",58,0,0,0,0
"44","Bremerton-Silverdale, WA","56",42,0,0,14,1
"45","Bridgeport-Stamford-Norwalk, CT","120",88,4,0,28,3
"46","Brownsville-Harlingen, TX","161",154,0,7,0,0
"47","Brunswick, GA","99",99,0,0,0,0
"48","Buffalo-Niagara Falls, NY","49",49,0,0,0,0
"49","Burlington, NC","152",92,0,0,60,5
"50","Burlington-South Burlington, VT","38",26,4,3,5,1
"51","Canton-Massillon, OH","49",44,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","654",618,0,0,36,4
"53","Carson City,* NV","63",48,0,0,15,1
"54","Casper, WY","15",15,0,0,0,0
"55","Cedar Rapids, IA","65",52,0,13,0,0
"56","Champaign-Urbana, IL","50",50,0,0,0,0
"57","Charleston, WV","16",16,0,0,0,0
"58","Charleston-North Charleston,* SC","479",385,6,0,88,12
"59","Charlotte-Gastonia-Concord,* NC-SC","1454",980,0,3,471,23
"60","Charlottesville, VA","77",59,0,0,18,1
"61","Chattanooga, TN-GA","194",184,4,0,6,1
"62","Cheyenne, WY","32",27,0,0,5,1
"63","Chicago-Naperville-Joliet,* IL-IN-WI","2783",1724,58,117,884,NA
"64","Cincinnati-Middletown,* OH-KY-IN","502",408,4,15,75,8
"65","Clarksville, TN-KY","269",167,10,50,42,6
"66","Cleveland, TN","45",40,2,3,0,0
"67","Cleveland-Elyria-Mentor,* OH","301",275,2,9,15,3
"68","Coeur dAlene, ID","83",73,0,0,10,1
"69","College Station-Bryan, TX","203",52,0,0,151,17
"70","Colorado Springs,* CO","181",177,0,4,0,0
"71","Columbia, MO","64",64,0,0,0,0
"72","Columbia,* SC","507",345,6,0,156,4
"73","Columbus, GA-AL","114",93,0,4,17,2
"74","Columbus, IN","13",13,0,0,0,0
"75","Columbus,* OH","569",286,4,67,212,32
"76","Corpus Christi, TX","125",97,4,3,21,2
"77","Corvallis, OR","15",15,0,0,0,0
"78","Cumberland, MD-WV","9",9,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","3501",2445,54,7,995,51
"80","Dalton, GA","49",37,2,3,7,1
"81","Danville, IL","1",1,0,0,0,0
"82","Danville, VA","16",13,0,3,0,0
"83","Davenport-Moline-Rock Island,  IA-IL","62",49,4,3,6,NA
"84","Decatur, AL","18",18,0,0,0,0
"85","Decatur, IL","6",6,0,0,0,0
"86","Deltona-Daytona Beach-Ormond Beach,*  FL","183",154,0,0,29,3
"87","Denver-Aurora,* CO","781",719,0,17,45,5
"88","Des Moines-West Des Moines,* IA","436",238,0,0,198,2
"89","Detroit-Warren-Livonia,* MI","501",422,12,7,60,8
"90","Dothan, AL","16",16,0,0,0,0
"91","Dover,* DE","89",89,0,0,0,0
"92","Dubuque, IA","20",20,0,0,0,0
"93","Duluth, MN-WI","49",37,2,0,10,2
"94","Durham,* NC","200",200,0,0,0,0
"95","Eau Claire, WI","83",37,8,0,38,1
"96","El Centro, CA","77",72,0,0,5,1
"97","El Paso, TX","234",224,0,0,10,2
"98","Elizabethtown, KY","63",31,12,0,20,4
"99","Elkhart-Goshen, IN","59",59,0,0,0,0
"100","Elmira, NY","3",3,0,0,0,0
"101","Erie, PA","25",13,0,12,0,0
"102","Eugene-Springfield, OR","97",93,4,0,0,0
"103","Evansville, IN-KY","89",61,0,4,24,2
"104","Fairbanks,* AK","6",6,0,0,0,0
"105","Fargo, ND-MN","74",57,0,8,9,1
"106","Farmington,* NM","24",24,0,0,0,0
"107","Fayetteville, NC","176",176,0,0,0,0
"108","Fayetteville-Springdale-Rogers,  AR-MO","329",223,44,0,62,7
"109","Flagstaff, AZ","27",27,0,0,0,0
"110","Flint, MI","14",14,0,0,0,0
"111","Florence, SC","44",44,0,0,0,0
"112","Florence-Muscle Shoals, AL","19",19,0,0,0,0
"113","Fond du Lac, WI","21",12,4,0,5,1
"114","Fort Collins-Loveland,* CO","110",81,2,3,24,3
"115","Fort Smith, AR-OK","53",25,8,4,16,1
"116","Fort Walton Beach-Crestview-Destin,  FL","109",58,0,3,48,1
