"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Fayetteville-Springdale-Rogers,  AR-MO","64",47,4,7,6,1,93
"109","Flagstaff, AZ","5",5,0,0,0,0,91
"110","Flint, MI","2",2,0,0,0,0,63
"111","Florence, SC","30",21,0,0,9,1,99
"112","Florence-Muscle Shoals, AL","8",8,0,0,0,0,88
"113","Fond du Lac, WI","3",3,0,0,0,0,44
"114","Fort Collins-Loveland,  CO","35",15,0,0,20,1,100
"115","Fort Smith, AR-OK","56",24,24,0,8,1,92
"116","Fort Walton Beach-Crestview-Destin,  FL","11",11,0,0,0,0,77
"117","Fort Wayne,  IN","18",18,0,0,0,0,100
"118","Fresno, CA","104",71,2,6,25,4,81
"119","Gadsden, AL","4",4,0,0,0,0,62
"120","Gainesville, FL","34",15,0,0,19,1,99
"121","Gainesville, GA","6",6,0,0,0,0,94
"122","Glens Falls, NY","9",9,0,0,0,0,77
"123","Goldsboro, NC","7",7,0,0,0,0,79
"124","Grand Forks, ND-MN","0",0,0,0,0,0,221
"125","Grand Junction,  CO","19",19,0,0,0,0,100
"126","Grand Rapids-Wyoming,  MI","39",39,0,0,0,0,100
"127","Great Falls, MT","4",4,0,0,0,0,91
"128","Greeley,  CO","43",36,0,0,7,1,100
"129","Green Bay, WI","17",11,0,0,6,1,80
"130","Greensboro-High Point,  NC","111",83,0,4,24,1,100
"131","Greenville, NC","16",16,0,0,0,0,99
"132","Greenville,  SC","100",89,0,0,11,2,100
"133","Gulfport-Biloxi, MS","185",159,20,6,0,0,93
"134","Hagerstown-Martinsburg, MD-WV","60",24,0,0,36,3,96
"135","Hanford-Corcoran, CA","10",10,0,0,0,0,78
"136","Harrisburg-Carlisle, PA","28",28,0,0,0,0,54
"137","Harrisonburg,  VA","48",48,0,0,0,0,100
"138","Hartford-West Hartford-East Hartford,  CT","27",24,0,3,0,0,88
"139","Hattiesburg, MS","41",6,0,3,32,1,92
"140","Hickory-Lenoir-Morganton, NC","39",39,0,0,0,0,98
"141","Hinesville-Fort Stewart, GA","21",21,0,0,0,0,68
"142","Holland-Grand Haven, MI","5",5,0,0,0,0,77
"143","Honolulu,  HI","47",47,0,0,0,0,100
"144","Hot Springs, AR","2",2,0,0,0,0,97
"145","Houma-Bayou Cane-Thibodaux, LA","51",43,8,0,0,0,94
"146","Houston-Sugar Land-Baytown,  TX","2319",1298,8,4,1009,83,100
"147","Huntington-Ashland, WV-KY-OH","2",2,0,0,0,0,8
"148","Huntsville, AL","148",96,0,0,52,3,98
"149","Idaho Falls, ID","5",5,0,0,0,0,97
"150","Indianapolis-Carmel,  IN","195",131,0,0,64,8,100
"151","Iowa City, IA","11",11,0,0,0,0,94
"152","Ithaca, NY","2",0,2,0,0,0,58
"153","Jackson, MI","0",0,0,0,0,0,61
"154","Jackson, MS","66",66,0,0,0,0,94
"155","Jackson, TN","8",8,0,0,0,0,92
"156","Jacksonville,  FL","267",227,12,0,28,2,100
"157","Jacksonville, NC","33",33,0,0,0,0,97
"158","Janesville, WI","1",1,0,0,0,0,79
"159","Jefferson City, MO","4",4,0,0,0,0,70
"160","Johnson City, TN","19",19,0,0,0,0,99
"161","Johnstown, PA","0",0,0,0,0,0,7
"162","Jonesboro, AR","14",14,0,0,0,0,92
