"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","10",10,0,0,0,0
"2","Albany* GA MSA","69",49,20,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","214",156,2,0,56,7
"4","Albuquerque* NM MSA","714",425,0,3,286,15
"5","Alexandria* LA MSA","31",31,0,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","324",172,0,0,152,1
"7","Altoona* PA MSA","3",3,0,0,0,0
"8","Amarillo* TX MSA","37",37,0,0,0,0
"9","Anchorage* AK MSA","89",40,42,7,0,0
"10","Anniston* AL MSA","16",16,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","113",96,2,0,15,2
"12","Asheville* NC MSA","129",108,8,8,5,1
"13","Athens* GA MSA","115",103,12,0,0,0
"14","Atlanta  GA MSA","4130",3244,16,7,863,31
"15","Auburn-Opelika* AL MSA","99",47,2,8,42,6
"16","Augusta-Aiken* GA-SC MSA","350",158,0,0,192,8
"17","Austin-San Marcos* TX MSA","503",369,16,0,118,3
"18","Bakersfield* CA MSA","248",248,0,0,0,0
"19","Bangor* ME MSA","17",15,2,0,0,0
"20","Barnstable-Yarmouth* MA MSA","79",79,0,0,0,0
"21","Baton Rouge* LA MSA","282",77,0,0,205,22
"22","Beaumont-Port Arthur* TX MSA","23",23,0,0,0,0
"23","Bellingham* WA MSA","113",76,2,0,35,2
"24","Benton Harbor* MI MSA","9",9,0,0,0,0
"25","Billings* MT MSA","84",31,2,0,51,1
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","133",121,12,0,0,0
"27","Binghamton* NY MSA","7",7,0,0,0,0
"28","Birmingham* AL MSA","324",314,0,0,10,2
"29","Bismarck* ND MSA","37",29,0,0,8,1
"30","Bloomington* IN MSA","52",39,4,4,5,1
"31","Bloomington-Normal* IL MSA","86",42,4,0,40,4
"32","Boise City* ID MSA","402",378,8,11,5,1
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1237",985,68,65,119,13
"34","Brownsville-Harlingen-San  Benito* TX MSA","201",181,4,4,12,1
"35","Bryan-College Station* TX MSA","68",66,2,0,0,0
"36","Buffalo-Niagara Falls* NY MSA","156",133,4,0,19,2
"37","Burlington* VT MSA","57",38,0,0,19,2
"38","Canton-Massillon* OH MSA","81",75,6,0,0,0
"39","Casper* WY MSA","11",11,0,0,0,0
"40","Cedar Rapids* IA MSA","90",64,6,8,12,1
"41","Champaign-Urbana* IL MSA","142",28,6,0,108,6
"42","Charleston-North  Charleston* SC MSA","351",319,8,10,14,2
"43","Charleston* WV MSA","16",16,0,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","1416",1150,4,16,246,13
"45","Charlottesville* VA MSA","89",87,2,0,0,0
"46","Chattanooga* TN-GA MSA","192",150,8,6,28,2
"47","Cheyenne* WY MSA","24",24,0,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","3313",2538,60,123,592,37
"49","Chico-Paradise* CA MSA","73",73,0,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","882",782,14,8,78,8
"51","Clarksville-Hopkinsville*  TN-KY MSA","124",102,6,0,16,2
"52","Cleveland-Akron  OH CMSA","779",680,8,23,68,4
"53","Colorado Springs* CO MSA","301",283,2,16,0,0
"54","Columbia* MO MSA","107",97,10,0,0,0
"55","Columbia* SC MSA","322",314,2,0,6,1
"56","Columbus* GA-AL MSA","108",64,32,12,0,0
"57","Columbus  OH MSA","1152",779,22,32,319,22
"58","Corpus Christi* TX MSA","76",66,2,8,0,0
"59","Corvallis OR MSA*","64",23,2,0,39,3
"60","Cumberland* MD-WV MSA","7",7,0,0,0,0
"61","Dallas-Fort Worth  TX CMSA","3531",2796,26,0,709,55
"62","Danville* VA MSA","30",23,0,7,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","45",43,2,0,0,0
"64","Dayton-Springfield* OH MSA","191",174,4,7,6,1
"65","Daytona Beach* FL MSA","560",511,12,3,34,2
"66","Decatur* Al MSA","20",20,0,0,0,0
"67","Decatur* IL MSA","4",4,0,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","2453",1334,54,9,1056,44
"69","Des Moines* IA MSA","327",301,2,11,13,2
"70","Detroit-Ann Arbor-Flint  MI  CMSA","1944",1524,10,20,390,20
"71","Dothan* AL MSA","35",35,0,0,0,0
"72","Dover* DE MSA","125",125,0,0,0,0
"73","Dubuque* IA MSA","10",6,4,0,0,0
"74","Duluth-Superior* MN-WI MSA","51",49,2,0,0,0
"75","Eau Claire* WI MSA","44",44,0,0,0,0
"76","El Paso* TX MSA","247",239,2,6,0,0
"77","Elkhart-Goshen* IN MSA","267",69,2,4,192,12
"78","Elmira* NY MSA","6",3,0,3,0,0
"79","Enid* OK MSA","37",11,26,0,0,0
"80","Erie* PA MSA","36",28,0,3,5,1
"81","Eugene-Springfield* OR MSA","121",91,2,0,28,3
"82","Evansville-Henderson* IN-KY  MSA","92",92,0,0,0,0
"83","Fargo-Moorhead* ND-MN MSA","64",60,0,4,0,0
"84","Fayetteville* NC MSA","82",74,0,0,8,1
"85","Fayetteville-Springdale-  Rogers* AR MSA","216",140,12,16,48,4
"86","Flagstaff* AZ-UT MSA","66",60,0,6,0,0
"87","Florence* AL MSA","27",7,0,0,20,1
"88","Florence* SC MSA","4",4,0,0,0,0
"89","Fort Collins-Loveland* CO MSA","279",184,0,6,89,5
"90","Fort Myers-Cape Coral* FL MSA","1042",585,44,100,313,19
"91","Fort Pierce-Port St. Lucie*  FL MSA","536",410,0,0,126,8
"92","Fort Smith* AR-OK MSA","28",26,2,0,0,0
"93","Fort Walton Beach* FL MSA","100",80,0,0,20,1
"94","Fort Wayne* IN MSA","285",217,0,0,68,9
"95","Fresno  CA MSA","423",414,6,3,0,0
"96","Gadsden* AL MSA","9",9,0,0,0,0
"97","Gainesville* FL MSA","85",85,0,0,0,0
"98","Glens Falls* NY MSA","80",48,0,0,32,4
"99","Goldsboro* NC MSA","38",38,0,0,0,0
"100","Grand Forks* ND-MN MSA","11",9,2,0,0,0
"101","Grand Junction* CO MSA","92",92,0,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","474",442,4,0,28,5
"103","Great Falls* MT MSA","8",8,0,0,0,0
"104","Green Bay* WI MSA","109",75,2,3,29,2
"105","Greensboro--Winston-Salem--  High Point  NC MSA","872",811,4,4,53,3
"106","Greenville* NC MSA","101",55,4,0,42,5
"107","Greenville-Spartanburg-  Anderson* SC MSA","405",382,14,0,9,1
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","160",157,0,3,0,0
"109","Hartford* CT MSA","369",242,14,3,110,7
"110","Hattiesburg* MS MSA","171",1,0,0,170,10
"111","Hickory-Morganton-Lenoir*  NC MSA","118",114,4,0,0,0
"112","Honolulu  HI MSA","182",70,4,0,108,1
"113","Houma* LA MSA","55",53,2,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","4211",2322,2,0,1887,101
"115","Huntington-Ashland* WV-KY-  OH MSA","2",2,0,0,0,0
"116","Huntsville* AL MSA","66",66,0,0,0,0
"117","Indianapolis  IN MSA","1220",1088,28,22,82,4
"118","Iowa City* IA MSA","50",50,0,0,0,0
"119","Jackson* MI MSA","11",11,0,0,0,0
"120","Jackson* MS MSA","201",191,0,0,10,1
"121","Jackson* TN MSA","37",37,0,0,0,0
"122","Jacksonville  FL MSA","1018",972,0,6,40,3
"123","Jacksonville* NC MSA","55",43,0,12,0,0
"124","Jamestown* NY MSA","0",0,0,0,0,0
"125","Janesville-Beloit* WI MSA","79",16,6,0,57,2
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","68",68,0,0,0,0
"127","Johnstown* PA MSA","6",6,0,0,0,0
"128","Jonesboro* AR MSA","41",31,2,8,0,0
"129","Joplin* MO MSA","17",17,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","95",88,0,0,7,1
"131","Kansas City  MO-KS MSA","957",804,34,18,101,6
"132","Killeen-Temple* TX MSA","167",135,2,24,6,1
"133","Knoxville* TN MSA","347",218,10,22,97,1
"134","Kokomo* IN MSA","28",23,2,3,0,0
"135","La Crosse* WI-MN MSA","36",36,0,0,0,0
"136","Lafayette* LA MSA","86",86,0,0,0,0
"137","Lafayette* IN MSA","85",79,6,0,0,0
