"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","19",19,0,0,0,0,93
"109","Flint, MI","8",8,0,0,0,0,61
"110","Florence, SC","29",29,0,0,0,0,97
"111","Florence-Muscle Shoals, AL","25",23,2,0,0,0,94
"112","Fond du Lac, WI","6",6,0,0,0,0,56
"113","Fort Collins-Loveland,  CO","57",39,0,0,18,3,100
"114","Fort Smith, AR-OK","35",35,0,0,0,0,90
"115","Fort Walton Beach-Crestview-Destin,  FL","44",27,0,3,14,2,55
"116","Fort Wayne,  IN","40",40,0,0,0,0,100
"117","Fresno, CA","161",128,30,3,0,0,76
"118","Gadsden, AL","5",5,0,0,0,0,62
"119","Gainesville, FL","121",55,2,0,64,3,99
"120","Gainesville, GA","35",30,0,0,5,1,82
"121","Glens Falls, NY","31",22,0,4,5,1,84
"122","Goldsboro, NC","22",22,0,0,0,0,83
"123","Grand Forks, ND-MN","0",0,0,0,0,0,988
"124","Grand Junction,  CO","60",60,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","83",56,0,0,27,3,100
"126","Great Falls, MT","12",8,0,4,0,0,62
"127","Greeley,  CO","59",59,0,0,0,0,100
"128","Green Bay, WI","74",64,0,0,10,1,80
"129","Greensboro-High Point,  NC","202",170,0,0,32,2,100
"130","Greenville, NC","225",33,12,0,180,18,99
"131","Greenville,  SC","493",205,0,0,288,17,100
"132","Gulfport-Biloxi, MS","180",132,28,0,20,3,96
"133","Hagerstown-Martinsburg, MD-WV","74",74,0,0,0,0,91
"134","Hanford-Corcoran, CA","25",20,0,0,5,1,82
"135","Harrisburg-Carlisle, PA","91",91,0,0,0,0,67
"136","Harrisonburg,  VA","22",22,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","127",81,0,0,46,5,84
"138","Hattiesburg, MS","62",24,2,36,0,0,80
"139","Hickory-Lenoir-Morganton, NC","66",64,2,0,0,0,97
"140","Hinesville-Fort Stewart, GA","3",3,0,0,0,0,35
"141","Holland-Grand Haven, MI","27",27,0,0,0,0,79
"142","Honolulu,  HI","105",49,0,0,56,1,100
"143","Hot Springs, AR","5",5,0,0,0,0,100
"144","Houma-Bayou Cane-Thibodaux, LA","34",34,0,0,0,0,91
"145","Houston-Sugar Land-Baytown,  TX","3716",1820,16,11,1869,80,100
"146","Huntington-Ashland, WV-KY-OH","9",4,0,0,5,1,0
"147","Huntsville, AL","327",123,0,0,204,10,98
"148","Idaho Falls, ID","106",54,0,4,48,2,99
"149","Indianapolis-Carmel,  IN","409",343,22,0,44,4,100
"150","Iowa City, IA","18",18,0,0,0,0,94
"151","Ithaca, NY","7",2,0,0,5,1,65
"152","Jackson, MI","3",3,0,0,0,0,59
"153","Jackson, MS","112",112,0,0,0,0,93
"154","Jackson, TN","9",9,0,0,0,0,94
"155","Jacksonville,  FL","618",352,8,8,250,11,100
"156","Jacksonville, NC","118",95,8,0,15,3,90
"157","Janesville, WI","23",14,0,0,9,1,83
"158","Jefferson City, MO","7",7,0,0,0,0,68
"159","Johnson City, TN","38",38,0,0,0,0,100
"160","Johnstown, PA","0",0,0,0,0,0,8
"161","Jonesboro, AR","58",58,0,0,0,0,93
"162","Joplin, MO","11",9,2,0,0,0,52
"163","Kalamazoo-Portage, MI","19",19,0,0,0,0,69
"164","Kankakee-Bradley, IL","4",4,0,0,0,0,23
"165","Kansas City,  MO-KS","484",295,4,31,154,16,100
"166","Kennewick-Pasco-Richland, WA","42",42,0,0,0,0,90
"167","Killeen-Temple-Fort Hood, TX","247",195,52,0,0,0,83
"168","Kingsport-Bristol-Bristol, TN-VA","43",29,2,0,12,2,70
"169","Kingston, NY","92",11,0,0,81,3,50
"170","Knoxville, TN","229",157,0,0,72,3,83
"171","Kokomo, IN","4",4,0,0,0,0,57
"172","La Crosse, WI-MN","10",10,0,0,0,0,0
"173","Lafayette, IN","20",20,0,0,0,0,89
"174","Lafayette, LA","91",66,2,0,23,1,87
"175","Lake Charles, LA","59",59,0,0,0,0,67
"176","Lake Havasu City-Kingman, AZ","43",41,2,0,0,0,99
"177","Lakeland-Winter Haven,  FL","226",201,0,0,25,4,100
"178","Lancaster, PA","47",42,0,0,5,1,58
"179","Lansing-East Lansing, MI","19",17,2,0,0,0,78
"180","Laredo,  TX","88",64,0,8,16,1,100
"181","Las Cruces,  NM","42",42,0,0,0,0,100
"182","Las Vegas-Paradise,  NV","764",258,0,48,458,12,100
"183","Lawrence, KS","21",13,0,3,5,1,94
"184","Lawton, OK","42",38,4,0,0,0,80
"185","Lebanon, PA","22",22,0,0,0,0,91
"186","Lewiston, ID-WA","5",5,0,0,0,0,72
"187","Lewiston-Auburn, ME","6",6,0,0,0,0,74
"188","Lexington-Fayette, KY","104",100,0,4,0,0,97
"189","Lima, OH","1",1,0,0,0,0,20
"190","Lincoln, NE","43",43,0,0,0,0,88
"191","Little Rock-North Little Rock, AR","268",122,74,0,72,6,90
"192","Logan, UT-ID","13",10,0,3,0,0,6
"193","Longview, TX","21",21,0,0,0,0,78
"194","Longview, WA","28",28,0,0,0,0,77
"195","Los Angeles-Long Beach-Santa Ana,  CA","1166",588,48,36,494,32,NA
"196","Lubbock, TX","177",49,0,0,128,10,92
"197","Lynchburg, VA","90",90,0,0,0,0,81
"198","Macon, GA","16",16,0,0,0,0,50
"199","Madera, CA","38",38,0,0,0,0,78
"200","Madison,  WI","137",78,2,7,50,5,100
"201","Manchester-Nashua, NH","72",54,0,0,18,3,89
"202","Mansfield, OH","2",2,0,0,0,0,87
"203","McAllen-Edinburg-Mission,  TX","480",331,2,16,131,8,100
"204","Medford, OR","29",29,0,0,0,0,100
"205","Memphis,  TN-MS-AR","282",219,0,3,60,1,100
"206","Merced, CA","14",14,0,0,0,0,85
"207","Miami-Fort Lauderdale-Miami Beach,  FL","847",382,24,11,430,17,NA
"208","Midland,  TX","28",28,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","219",96,12,3,108,6,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","513",380,0,0,133,5,NA
"211","Mobile, AL","147",95,0,0,52,1,98
"212","Modesto, CA","64",39,8,0,17,1,92
"213","Monroe, LA","22",14,0,0,8,1,68
"214","Monroe, MI","11",11,0,0,0,0,56
"215","Montgomery, AL","28",28,0,0,0,0,96
"216","Morgantown, WV","25",1,0,0,24,1,23
"217","Morristown, TN","101",101,0,0,0,0,87
"218","Mount Vernon-Anacortes, WA","37",31,6,0,0,0,80
"219","Muncie, IN","3",3,0,0,0,0,78
"220","Muskegon-Norton Shores, MI","11",9,2,0,0,0,55
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","334",199,0,0,135,9,100
"222","Napa, CA","27",21,0,0,6,1,86
"223","Naples-Marco Island,  FL","126",67,0,3,56,8,100
"224","Nashville-Davidson--Murfreesboro,  TN","612",456,24,0,132,6,NA
"225","New Orleans-Metairie-Kenner,  LA","462",406,26,0,30,3,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","4294",769,288,365,2872,116,NA
"227","Norwich-New London, CT","64",23,4,4,33,4,87
"228","Ocala,  FL","135",112,2,21,0,0,100
"229","Ocean City,  NJ","53",27,16,10,0,0,100
"230","Odessa,  TX","14",14,0,0,0,0,100
"231","Ogden-Clearfield, UT","59",59,0,0,0,0,86
"232","Oklahoma City,  OK","269",253,2,0,14,1,100
"233","Olympia, WA","35",35,0,0,0,0,93
"234","Omaha-Council Bluffs,  NE-IA","271",107,4,0,160,10,100
"235","Orlando-Kissimmee,  FL","978",499,0,0,479,12,100
"236","Oshkosh-Neenah, WI","22",22,0,0,0,0,87
"237","Owensboro, KY","19",19,0,0,0,0,96
"238","Oxnard-Thousand Oaks-Ventura, CA","238",37,0,4,197,16,97
"239","Palm Bay-Melbourne-Titusville,  FL","300",108,0,0,192,8,100
"240","Palm Coast, FL","25",25,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","25",23,2,0,0,0,98
"242","Parkersburg-Marietta-Vienna, WV-OH","8",8,0,0,0,0,0
"243","Pascagoula, MS","91",35,56,0,0,0,98
"244","Pensacola-Ferry Pass-Brent,  FL","167",91,0,52,24,2,100
"245","Peoria, IL","35",27,0,0,8,1,50
