"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"108","Flagstaff, AZ","17",17,0,0,0,0,91
"109","Flint, MI","8",8,0,0,0,0,63
"110","Florence, SC","57",37,0,0,20,1,99
"111","Florence-Muscle Shoals, AL","13",13,0,0,0,0,88
"112","Fond du Lac, WI","10",6,4,0,0,0,44
"113","Fort Collins-Loveland,  CO","123",75,0,0,48,2,100
"114","Fort Smith, AR-OK","86",25,2,3,56,7,92
"115","Fort Walton Beach-Crestview-Destin,  FL","30",20,0,0,10,1,77
"116","Fort Wayne,  IN","95",54,0,4,37,3,100
"117","Fresno, CA","168",124,0,4,40,5,81
"118","Gadsden, AL","5",5,0,0,0,0,62
"119","Gainesville, FL","233",29,0,0,204,15,99
"120","Gainesville, GA","39",39,0,0,0,0,94
"121","Glens Falls, NY","26",26,0,0,0,0,77
"122","Goldsboro, NC","12",12,0,0,0,0,79
"123","Grand Forks, ND-MN","15",3,0,0,12,1,221
"124","Grand Junction,  CO","69",59,0,0,10,1,100
"125","Grand Rapids-Wyoming,  MI","88",83,0,0,5,1,100
"126","Great Falls, MT","8",8,0,0,0,0,91
"127","Greeley,  CO","90",73,0,0,17,2,100
"128","Green Bay, WI","69",61,0,0,8,1,80
"129","Greensboro-High Point,  NC","201",159,2,16,24,1,100
"130","Greenville, NC","36",32,4,0,0,0,99
"131","Greenville,  SC","182",177,0,0,5,1,100
"132","Gulfport-Biloxi, MS","121",97,14,4,6,1,93
"133","Hagerstown-Martinsburg, MD-WV","99",99,0,0,0,0,96
"134","Hanford-Corcoran, CA","8",8,0,0,0,0,78
"135","Harrisburg-Carlisle, PA","83",83,0,0,0,0,54
"136","Harrisonburg,  VA","41",41,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","109",84,2,0,23,3,88
"138","Hattiesburg, MS","74",9,0,4,61,2,92
"139","Hickory-Lenoir-Morganton, NC","67",67,0,0,0,0,98
"140","Hinesville-Fort Stewart, GA","11",11,0,0,0,0,68
"141","Holland-Grand Haven, MI","96",31,0,0,65,5,77
"142","Honolulu,  HI","144",47,0,4,93,2,100
"143","Hot Springs, AR","4",4,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","276",36,0,0,240,11,94
"145","Houston-Sugar Land-Baytown,  TX","3668",2425,4,0,1239,51,100
"146","Huntington-Ashland, WV-KY-OH","3",3,0,0,0,0,8
"147","Huntsville, AL","133",133,0,0,0,0,98
"148","Idaho Falls, ID","39",37,2,0,0,0,97
"149","Indianapolis-Carmel,  IN","757",465,8,7,277,4,100
"150","Iowa City, IA","95",57,2,0,36,3,94
"151","Ithaca, NY","3",3,0,0,0,0,58
"152","Jackson, MI","6",4,2,0,0,0,61
"153","Jackson, MS","102",98,0,4,0,0,94
"154","Jackson, TN","15",15,0,0,0,0,92
"155","Jacksonville,  FL","835",397,6,0,432,18,100
"156","Jacksonville, NC","82",78,0,4,0,0,97
"157","Janesville, WI","12",10,2,0,0,0,79
"158","Jefferson City, MO","8",8,0,0,0,0,70
"159","Johnson City, TN","45",34,8,3,0,0,99
"160","Johnstown, PA","1",1,0,0,0,0,7
"161","Jonesboro, AR","22",22,0,0,0,0,92
"162","Joplin, MO","5",5,0,0,0,0,49
"163","Kalamazoo-Portage, MI","26",26,0,0,0,0,70
"164","Kankakee-Bradley, IL","5",1,4,0,0,0,30
"165","Kansas City,  MO-KS","767",224,16,71,456,15,100
"166","Kennewick-Pasco-Richland, WA","61",52,0,0,9,1,89
"167","Killeen-Temple-Fort Hood, TX","137",113,24,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","44",37,2,0,5,1,58
"169","Kingston, NY","14",14,0,0,0,0,70
"170","Knoxville, TN","140",128,12,0,0,0,84
"171","Kokomo, IN","4",4,0,0,0,0,79
"172","La Crosse, WI-MN","26",17,0,0,9,1,3
"173","Lafayette, IN","50",50,0,0,0,0,90
"174","Lafayette, LA","67",50,0,0,17,1,85
"175","Lake Charles, LA","56",34,2,0,20,3,83
"176","Lake Havasu City-Kingman, AZ","66",27,0,0,39,4,100
"177","Lakeland-Winter Haven,  FL","188",188,0,0,0,0,100
"178","Lancaster, PA","95",75,0,0,20,1,63
"179","Lansing-East Lansing, MI","24",19,0,0,5,1,81
"180","Laredo,  TX","83",59,0,4,20,1,100
"181","Las Cruces,  NM","75",73,2,0,0,0,100
"182","Las Vegas-Paradise,  NV","1705",518,12,4,1171,43,100
"183","Lawrence, KS","26",26,0,0,0,0,96
"184","Lawton, OK","30",14,0,0,16,1,89
"185","Lebanon, PA","33",33,0,0,0,0,92
"186","Lewiston, ID-WA","2",2,0,0,0,0,55
"187","Lewiston-Auburn, ME","6",6,0,0,0,0,71
"188","Lexington-Fayette, KY","145",141,0,4,0,0,98
"189","Lima, OH","3",1,2,0,0,0,11
"190","Lincoln, NE","63",43,20,0,0,0,87
"191","Little Rock-North Little Rock, AR","127",116,6,0,5,1,91
"192","Logan, UT-ID","26",21,0,0,5,1,3
"193","Longview, TX","11",11,0,0,0,0,73
"194","Longview, WA","20",18,2,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","731",338,48,3,342,22,NA
"196","Lubbock, TX","150",142,0,8,0,0,96
"197","Lynchburg, VA","53",40,0,0,13,1,86
"198","Macon, GA","22",22,0,0,0,0,54
"199","Madera, CA","12",12,0,0,0,0,89
"200","Madison,  WI","356",84,6,19,247,5,100
"201","Manchester-Nashua, NH","42",33,4,0,5,1,91
"202","Mansfield, OH","10",10,0,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","274",255,2,17,0,0,100
"204","Medford, OR","86",38,0,0,48,8,100
"205","Memphis,  TN-MS-AR","368",198,26,4,140,2,100
"206","Merced, CA","2",2,0,0,0,0,81
"207","Miami-Fort Lauderdale-Miami Beach,  FL","824",273,6,75,470,15,NA
"208","Midland,  TX","33",33,0,0,0,0,100
