"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene* TX MSA","23",21,2,0,0,0
"2","Albany* GA MSA","51",47,4,0,0,0
"3","Albany-Schenectady-Troy* NY MSA","209",203,0,0,6,1
"4","Albuquerque* NM MSA","703",636,2,0,65,3
"5","Alexandria* LA MSA","46",38,0,0,8,1
"6","Allentown-Bethlehem-Easton* PA MSA","264",244,0,3,17,3
"7","Altoona* PA MSA","3",3,0,0,0,0
"8","Amarillo* TX MSA","176",54,2,0,120,1
"9","Anchorage* AK MSA","282",81,166,0,35,7
"10","Anniston* AL MSA","13",13,0,0,0,0
"11","Appleton-Oshkosh-Neenah* WI MSA","291",164,6,8,113,9
"12","Asheville* NC MSA","148",137,4,7,0,0
"13","Athens* GA MSA","108",108,0,0,0,0
"14","Atlanta* GA MSA","6184",4823,14,7,1340,55
"15","Auburn-Opelika* AL MSA","56",56,0,0,0,0
"16","Augusta-Aiken* GA-SC MSA","310",310,0,0,0,0
"17","Austin-San Marcos* TX MSA","838",794,8,36,0,0
"18","Bakersfield* CA MSA","578",576,2,0,0,0
"19","Bangor* ME MSA","34",27,0,0,7,1
"20","Barnstable-Yarmouth* MA MSA","59",59,0,0,0,0
"21","Baton Rouge* LA MSA","528",132,0,0,396,17
"22","Beaumont-Port Arthur* TX MSA","46",46,0,0,0,0
"23","Bellingham* WA MSA","178",124,8,8,38,2
"24","Benton Harbor* MI MSA","23",15,0,8,0,0
"25","Billings* MT MSA","81",81,0,0,0,0
"26","Biloxi-Gulfport-Pascagoula* MS MSA","206",204,2,0,0,0
"27","Binghamton* NY MSA","13",13,0,0,0,0
"28","Birmingham* AL MSA","482",482,0,0,0,0
"29","Bismarck* ND MSA","80",72,0,8,0,0
"30","Bloomington* IN MSA","106",60,26,3,17,1
"31","Bloomington-Normal* IL MSA","79",69,0,0,10,2
"32","Boise City* ID MSA","653",578,20,16,39,1
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","1348",1048,44,35,221,16
"34","Brownsville-Harlingen-San Benito*  TX MSA","245",217,8,20,0,0
"35","Bryan-College Station* TX MSA","60",60,0,0,0,0
"36","Buffalo-Niagara Falls* NY MSA","224",169,0,0,55,2
"37","Burlington* VT MSA","70",40,22,3,5,1
"38","Canton-Massillon* OH MSA","116",116,0,0,0,0
"39","Casper* WY MSA","20",20,0,0,0,0
"40","Cedar Rapids* IA MSA","85",62,8,15,0,0
"41","Champaign-Urbana* IL MSA","76",55,0,0,21,2
"42","Charleston* WV MSA","38",31,2,0,5,1
"43","Charleston-North Charleston* SC MSA","515",465,2,16,32,3
"44","Charlotte-Gastonia-Rock Hill*  NC-SC MSA","1518",1387,6,23,102,7
"45","Charlottesville* VA MSA","90",90,0,0,0,0
"46","Chattanooga* TN-GA MSA","266",243,6,4,13,2
"47","Cheyenne* WY MSA","48",43,0,0,5,1
"48","Chicago-Gary-Kenosha IL-IN-WI CMSA","5036",3426,90,360,1160,61
"49","Chico-Paradise* CA MSA","126",114,0,12,0,0
"50","Cincinnati-Hamilton OH-KY-IN CMSA","1256",1019,18,26,193,16
"51","Clarksville-Hopkinsville* TN-KY MSA","145",126,0,3,16,2
"52","Cleveland-Akron OH CMSA","982",907,20,30,25,5
"53","Colorado Springs* CO MSA","423",423,0,0,0,0
"54","Columbia* MO MSA","168",106,62,0,0,0
"55","Columbia* SC MSA","391",386,0,0,5,1
"56","Columbus* GA-AL MSA","321",99,10,8,204,12
"57","Columbus* OH MSA","1637",1058,34,124,421,31
"58","Corpus Christi* TX MSA","103",103,0,0,0,0
"59","Corvallis* OR MSA","27",27,0,0,0,0
"60","Cumberland* MD-WV MSA","16",16,0,0,0,0
"61","Dallas-Fort Worth TX CMSA","5093",3852,34,61,1146,61
"62","Danville* VA MSA","30",22,8,0,0,0
"63","Davenport-Moline-Rock Island*  IA-IL MSA","68",44,0,0,24,1
"64","Dayton-Springfield* OH MSA","237",202,4,3,28,1
"65","Daytona Beach* FL MSA","693",631,22,3,37,3
"66","Decatur* Al MSA","35",35,0,0,0,0
"67","Decatur* IL MSA","13",13,0,0,0,0
"68","Denver-Boulder-Greeley CO CMSA","1881",1494,8,54,325,25
"69","Des Moines* IA MSA","408",388,2,0,18,1
"70","Detroit-Ann Arbor-Flint MI CMSA","2906",2191,24,115,576,51
"71","Dothan* AL MSA","35",35,0,0,0,0
"72","Dover* DE MSA","134",130,4,0,0,0
"73","Dubuque* IA MSA","21",19,2,0,0,0
"74","Duluth-Superior* MN-WI MSA","96",96,0,0,0,0
"75","Eau Claire* WI MSA","136",106,30,0,0,0
"76","El Paso* TX MSA","333",315,2,11,5,1
"77","Elkhart-Goshen* IN MSA","111",90,0,16,5,1
"78","Elmira* NY MSA","8",3,0,0,5,1
"79","Enid* OK MSA","16",7,4,0,5,1
"80","Erie* PA MSA","38",38,0,0,0,0
"81","Eugene-Springfield* OR MSA","165",151,10,4,0,0
