"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","20",20,0,0,0,0
"2","Akron, OH","135",107,0,0,28,2
"3","Albany, GA","70",47,2,0,21,2
"4","Albany-Schenectady-Troy, NY","73",63,0,0,10,1
"5","Albuquerque,* NM","580",502,18,7,53,2
"6","Alexandria, LA","26",26,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","228",217,2,3,6,1
"8","Altoona, PA","6",6,0,0,0,0
"9","Amarillo, TX","83",83,0,0,0,0
"10","Ames, IA","31",7,0,0,24,2
"11","Anchorage,* AK","51",33,10,8,0,0
"12","Anderson, IN","26",26,0,0,0,0
"13","Anderson, SC","103",97,6,0,0,0
"14","Ann Arbor, MI","92",87,0,0,5,1
"15","Anniston-Oxford, AL","33",33,0,0,0,0
"16","Appleton, WI","47",41,6,0,0,0
"17","Asheville, NC","248",232,2,0,14,1
"18","Athens-Clarke County, GA","112",112,0,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","5059",4597,22,15,425,11
"20","Atlantic City,* NJ","107",102,0,0,5,1
"21","Auburn-Opelika,* AL","111",109,2,0,0,0
"22","Augusta-Richmond County, GA-SC","309",220,0,0,89,1
"23","Austin-Round Rock,* TX","918",888,18,4,8,1
"24","Bakersfield, CA","460",453,4,3,0,0
"25","Baltimore-Towson,* MD","540",497,0,10,33,3
"26","Bangor, ME","15",11,0,4,0,0
"27","Barnstable Town, MA","61",53,0,8,0,0
"28","Baton Rouge, LA","453",363,0,0,90,15
"29","Battle Creek, MI","7",7,0,0,0,0
"30","Bay City, MI","1",1,0,0,0,0
"31","Beaumont-Port Arthur, TX","46",46,0,0,0,0
"32","Bellingham, WA","138",85,2,4,47,1
"33","Bend,* OR","237",224,10,3,0,0
"34","Billings, MT","16",8,8,0,0,0
"35","Binghamton, NY","5",5,0,0,0,0
"36","Birmingham-Hoover,* AL","671",511,0,0,160,20
"37","Bismarck, ND","11",8,0,3,0,0
"38","Blacksburg-Christiansburg-Radford,  VA","3",3,0,0,0,0
"39","Bloomington, IN","48",29,6,0,13,1
"40","Bloomington-Normal, IL","20",20,0,0,0,0
"41","Boise City-Nampa,* ID","623",583,24,16,0,0
"42","Boston-Cambridge-Quincy,* MA-NH","1157",488,58,36,575,18
"43","Boulder, CO","68",66,2,0,0,0
"44","Bowling Green, KY","116",59,0,0,57,2
"45","Bremerton-Silverdale, WA","71",71,0,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","132",116,0,0,16,2
"47","Brownsville-Harlingen, TX","210",202,8,0,0,0
"48","Brunswick, GA","72",72,0,0,0,0
"49","Buffalo-Niagara Falls, NY","83",66,0,0,17,1
"50","Burlington, NC","120",120,0,0,0,0
"51","Burlington-South Burlington, VT","37",19,4,3,11,2
"52","Canton-Massillon, OH","58",55,0,3,0,0
"53","Cape Coral-Fort Myers,* FL","2181",1823,16,24,318,33
"54","Carson City,* NV","28",4,0,0,24,1
"55","Casper,* WY","13",13,0,0,0,0
"56","Cedar Rapids, IA","65",23,2,7,33,2
"57","Champaign-Urbana, IL","38",38,0,0,0,0
"58","Charleston, WV","20",20,0,0,0,0
"59","Charleston-North Charleston,* SC","711",466,0,3,242,16
"60","Charlotte-Gastonia-Concord,* NC-SC","1419",1321,8,0,90,9
"61","Charlottesville,* VA","163",121,2,0,40,3
"62","Chattanooga, TN-GA","229",219,2,0,8,1
"63","Cheyenne, WY","45",32,0,8,5,1
"64","Chicago-Naperville-Joliet,* IL-IN-WI","2532",1757,42,208,525,NA
"65","Cincinnati-Middletown,* OH-KY-IN","698",629,4,23,42,6
"66","Clarksville, TN-KY","161",161,0,0,0,0
"67","Cleveland, TN","47",43,4,0,0,0
"68","Cleveland-Elyria-Mentor,* OH","382",348,6,3,25,3
"69","Coeur d""Alene, ID","128",121,2,0,5,1
"70","College Station-Bryan, TX","370",62,4,100,204,10
"71","Colorado Springs,* CO","523",497,2,4,20,2
"72","Columbia, MO","122",98,0,0,24,3
"73","Columbia,* SC","543",469,0,3,71,5
"74","Columbus, GA-AL","172",166,2,4,0,0
"75","Columbus, IN","9",9,0,0,0,0
"76","Columbus,* OH","596",477,0,0,119,11
"77","Corpus Christi, TX","164",131,2,3,28,3
"78","Corvallis, OR","5",5,0,0,0,0
"79","Cumberland, MD-WV","19",13,0,0,6,1
"80","Dallas-Fort Worth-Arlington,* TX","4382",3019,32,4,1327,107
"81","Dalton,* GA","71",50,0,3,18,2
"82","Danville, IL","1",1,0,0,0,0
"83","Danville,* VA","22",19,0,3,0,0
"84","Davenport-Moline-Rock Island,  IA-IL","44",44,0,0,0,NA
"85","Decatur, AL","38",38,0,0,0,0
"86","Decatur, IL","0",0,0,0,0,0
"87","Deltona-Daytona Beach-Ormond Beach,*  FL","526",429,4,0,93,7
"88","Denver-Aurora,* CO","1611",1175,2,34,400,23
"89","Des Moines,* IA","232",214,0,0,18,1
"90","Detroit-Warren-Livonia,* MI","1061",819,12,56,174,15
"91","Dothan, AL","32",32,0,0,0,0
"92","Dover,* DE","160",160,0,0,0,0
"93","Dubuque, IA","17",15,2,0,0,0
"94","Duluth, MN-WI","27",25,2,0,0,0
"95","Durham,* NC","324",322,2,0,0,0
"96","Eau Claire, WI","12",5,2,0,5,1
"97","El Centro,* CA","144",57,0,3,84,8
"98","El Paso, TX","371",367,4,0,0,0
"99","Elizabethtown, KY","67",67,0,0,0,0
"100","Elkhart-Goshen, IN","69",59,0,4,6,1
"101","Elmira, NY","1",1,0,0,0,0
"102","Erie, PA","4",4,0,0,0,0
"103","Eugene-Springfield,* OR","141",129,4,3,5,1
"104","Evansville, IN-KY","97",75,2,20,0,0
"105","Fairbanks,* AK","6",6,0,0,0,0
"106","Fargo, ND-MN","13",2,0,0,11,1
"107","Farmington,* NM","24",24,0,0,0,0
"108","Fayetteville, NC","538",234,0,0,304,14
"109","Fayetteville-Springdale-Rogers,  AR-MO","454",304,26,10,114,8
"110","Flagstaff, AZ","38",33,2,3,0,0
"111","Flint, MI","67",67,0,0,0,0
"112","Florence, SC","20",20,0,0,0,0
"113","Florence-Muscle Shoals, AL","17",12,0,0,5,1
"114","Fond du Lac, WI","13",7,0,0,6,1
"115","Fort Collins-Loveland,* CO","189",155,2,18,14,2
"116","Fort Smith, AR-OK","58",48,10,0,0,0
"117","Fort Walton Beach-Crestview-Destin,*  FL","99",84,0,3,12,2
"118","Fort Wayne, IN","99",97,2,0,0,0
"119","Fresno, CA","330",298,0,0,32,4
"120","Gadsden, AL","38",38,0,0,0,0
"121","Gainesville, FL","175",119,0,0,56,5
"122","Gainesville, GA","153",112,4,4,33,5
"123","Glens Falls, NY","52",41,0,11,0,0
"124","Goldsboro,* NC","33",33,0,0,0,0
"125","Grand Forks, ND-MN","0",0,0,0,0,0
"126","Grand Junction,* CO","85",85,0,0,0,0
"127","Grand Rapids-Wyoming,* MI","239",221,2,0,16,1
"128","Great Falls, MT","3",3,0,0,0,0
"129","Greeley,* CO","274",269,0,0,5,1
"130","Green Bay, WI","75",66,2,0,7,1
"131","Greensboro-High Point,* NC","342",318,12,0,12,1
"132","Greenville, NC","181",113,2,0,66,6
"133","Greenville,* SC","397",384,8,0,5,1
"134","Gulfport-Biloxi, MS","148",126,18,4,0,0
"135","Hagerstown-Martinsburg, MD-WV","217",202,12,3,0,0
"136","Hanford-Corcoran, CA","66",63,0,3,0,0
"137","Harrisburg-Carlisle, PA","89",89,0,0,0,0
"138","Harrisonburg,* VA","79",73,6,0,0,0
"139","Hartford-West Hartford-East Hartford,  CT","172",122,10,0,40,4
"140","Hattiesburg, MS","7",7,0,0,0,0
"141","Hickory-Lenoir-Morganton, NC","108",102,6,0,0,0
"142","Hinesville-Fort Stewart, GA","24",24,0,0,0,0
"143","Holland-Grand Haven, MI","93",71,2,13,7,1
"144","Honolulu,* HI","169",157,12,0,0,0
"145","Hot Springs, AR","11",11,0,0,0,0
"146","Houma-Bayou Cane-Thibodaux, LA","62",62,0,0,0,0
"147","Houston-Baytown-Sugar Land,* TX","6070",3539,18,12,2501,140
"148","Huntington-Ashland, WV-KY-OH","6",6,0,0,0,0
"149","Huntsville, AL","258",258,0,0,0,0
"150","Idaho Falls, ID","52",52,0,0,0,0
"151","Indianapolis,* IN","963",662,14,4,283,3
"152","Iowa City, IA","26",26,0,0,0,0
"153","Ithaca, NY","9",3,0,0,6,1
"154","Jackson, MI","10",10,0,0,0,0
"155","Jackson, MS","267",264,0,3,0,0
"156","Jackson, TN","48",48,0,0,0,0
"157","Jacksonville,* FL","1560",1287,2,0,271,15
"158","Jacksonville, NC","92",92,0,0,0,0
"159","Janesville, WI","130",30,4,0,96,8
"160","Jefferson City, MO","17",17,0,0,0,0
"161","Johnson City, TN","73",73,0,0,0,0
"162","Johnstown, PA","0",0,0,0,0,0
"163","Jonesboro, AR","51",40,0,3,8,1
"164","Joplin, MO","23",23,0,0,0,0
"165","Kalamazoo-Portage, MI","53",49,4,0,0,0
"166","Kankakee-Bradley, IL","45",15,0,0,30,5
"167","Kansas City,* MO-KS","774",687,42,16,29,1
