"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"104","Green Bay* WI MSA","121",85,8,0,28,2
"105","Greensboro--Winston-Salem--  High Point  NC MSA","956",692,0,8,256,20
"106","Greenville* NC MSA","157",73,12,0,72,6
"107","Greenville-Spartanburg-  Anderson* SC MSA","873",607,2,8,256,14
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","164",164,0,0,0,0
"109","Hartford* CT MSA","385",308,8,7,62,9
"110","Hattiesburg* MS MSA","19",9,0,0,10,2
"111","Hickory-Morganton-Lenoir*  NC MSA","166",156,2,0,8,1
"112","Honolulu  HI MSA","207",190,0,4,13,1
"113","Houma* LA MSA","71",69,2,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","4647",2985,10,20,1632,102
"115","Huntington-Ashland* WV-KY-  OH MSA","12",6,0,6,0,0
"116","Huntsville* AL MSA","127",115,4,8,0,0
"117","Indianapolis  IN MSA","1354",1213,34,39,68,7
"118","Iowa City* IA MSA","71",35,0,0,36,3
"119","Jackson* MI MSA","18",14,0,4,0,0
"120","Jackson* MS MSA","225",217,0,8,0,0
"121","Jackson* TN MSA","69",53,12,4,0,0
"122","Jacksonville  FL MSA","1585",904,2,12,667,39
"123","Jacksonville* NC MSA","103",74,0,0,29,2
"124","Jamestown* NY MSA","1",1,0,0,0,0
"125","Janesville-Beloit* WI MSA","48",20,8,3,17,2
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","117",100,0,0,17,3
"127","Johnstown* PA MSA","5",2,0,3,0,0
"128","Jonesboro* AR MSA","48",48,0,0,0,0
"129","Joplin* MO MSA","12",12,0,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","273",115,0,0,158,8
"131","Kansas City  MO-KS MSA","1772",916,70,95,691,23
"132","Killeen-Temple* TX MSA","167",103,20,44,0,0
"133","Knoxville* TN MSA","366",316,18,6,26,4
"134","Kokomo* IN MSA","36",33,0,3,0,0
"135","La Crosse* WI-MN MSA","33",27,0,6,0,0
"136","Lafayette* LA MSA","90",88,2,0,0,0
"137","Lafayette* IN MSA","93",86,0,0,7,1
"138","Lake Charles* LA MSA","36",22,0,0,14,1
"139","Lakeland-Winter Haven* FL MSA","373",373,0,0,0,0
"140","Lancaster* PA MSA","117",91,2,0,24,3
"141","Lansing-East Lansing* MI MSA","123",108,0,0,15,2
"142","Laredo* TX MSA","163",142,0,0,21,2
"143","Las Cruces* NM MSA","70",70,0,0,0,0
"144","Las Vegas  NV-AZ MSA","2219",2069,24,12,114,20
"145","Lawrence* KS MSA","85",40,34,0,11,1
"146","Lawton* OK MSA","12",12,0,0,0,0
"147","Lewiston-Auburn* ME MSA","34",28,6,0,0,0
"148","Lexington* KY MSA","298",252,2,12,32,2
"149","Lima* OH MSA","9",9,0,0,0,0
"150","Lincoln* NE MSA","163",126,8,0,29,3
"151","Little Rock-North Little  Rock* AR MSA","268",258,10,0,0,0
"152","Longview-Marshall* TX MSA","22",22,0,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","5856",4293,48,178,1337,55
"154","Louisville  KY-IN MSA","787",537,2,4,244,26
"155","Lubbock* TX MSA","137",119,18,0,0,0
"156","Lynchburg* VA MSA","92",85,2,0,5,1
"157","Macon* GA MSA","177",169,8,0,0,0
"158","Madison* WI MSA","393",206,8,19,160,6
"159","Mansfield* OH MSA","66",64,2,0,0,0
"160","McAllen-Edinburg-Mission*  TX MSA","541",510,6,11,14,2
"161","Medford-Ashland* OR MSA","119",102,0,12,5,1
"162","Melbourne-Titusville-Palm  Bay* FL MSA","579",416,2,0,161,8
"163","Memphis  TN-AR-MS MSA","693",569,4,0,120,16
"164","Merced* CA MSA","132",132,0,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","2200",865,10,59,1266,50
"166","Milwaukee-Racine  WI CMSA","665",374,42,51,198,9
"167","Minneapolis-St. Paul  MN-WI  MSA","2286",1631,30,59,566,23
"168","Missoula* MT MSA","81",17,12,0,52,5
"169","Mobile* AL MSA","358",338,0,0,20,2
"170","Modesto* CA MSA","231",203,12,16,0,0
"171","Monroe* LA MSA","27",27,0,0,0,0
"172","Montgomery* AL MSA","136",118,0,0,18,1
"173","Muncie* IN MSA","24",24,0,0,0,0
"174","Myrtle Beach* SC MSA","226",186,10,8,22,2
"175","Naples* FL MSA","555",326,4,31,194,19
"176","Nashville  TN MSA","908",886,8,3,11,2
"177","New London-Norwich* CT-RI MSA","76",74,2,0,0,0
"178","New Orleans* LA MSA","646",338,4,3,301,2
"179","New York-Northern New  Jersey-Long Island  NY-NJ-  CT-PA CMSA","4707",2288,736,294,1389,89
"180","Norfolk-Virginia Beach-  Newport News  VA-NC MSA","717",670,6,0,41,3
"181","Ocala* FL MSA","576",566,2,8,0,0
"182","Odessa-Midland* TX MSA","33",33,0,0,0,0
"183","Oklahoma City* OK MSA","416",416,0,0,0,0
"184","Omaha* NE-IA MSA","492",351,8,0,133,5
"185","Orlando  FL MSA","2204",1576,20,15,593,44
"186","Owensboro* KY MSA","58",58,0,0,0,0
"187","Panama City* FL MSA","93",81,8,4,0,0
"188","Parkersburg-Marietta* WV-OH  MSA","11",11,0,0,0,0
"189","Pensacola* FL MSA","257",257,0,0,0,0
"190","Peoria-Pekin* IL MSA","90",79,6,0,5,1
"191","Philadelphia-Wilmington-  Atlantic City  PA-NJ-DE-MD  CMSA","1747",1505,30,39,173,21
"192","Phoenix-Mesa  AZ MSA","4148",3537,14,43,554,32
"193","Pine Bluff* AR MSA","8",6,2,0,0,0
"194","Pittsburgh  PA MSA","663",453,6,14,190,20
"195","Pittsfield* MA MSA","1",1,0,0,0,0
"196","Pocatello* ID MSA","40",11,4,0,25,1
"197","Portland* ME MSA","125",98,4,11,12,2
"198","Portland-Salem  OR-WA CMSA","1207",1007,24,68,108,12
"199","Providence-Fall River-  Warwick* RI-MA MSA","227",199,10,8,10,2
"200","Provo-Orem* UT MSA","324",274,10,7,33,4
"201","Pueblo* CO MSA","122",98,4,20,0,0
"202","Punta Gorda* FL MSA","193",144,4,39,6,1
"203","Raleigh-Durham-Chapel Hill  NC MSA","1392",1157,14,11,210,10
"204","Rapid City* SD MSA","48",45,0,3,0,0
"205","Reading* PA MSA","123",95,2,0,26,4
"206","Redding* CA MSA","124",122,2,0,0,0
"207","Reno* NV MSA","348",318,2,3,25,2
"208","Richland-Kennewick-Pasco*  WA MSA","143",132,2,3,6,1
"209","Richmond-Petersburg  VA MSA","768",696,4,0,68,1
"210","Roanoke* VA MSA","78",76,2,0,0,0
"211","Rochester* MN MSA","321",132,0,0,189,9
"212","Rochester* NY MSA","179",159,0,7,13,2
"213","Rockford* IL MSA","289",146,10,128,5,1
"214","Rocky Mount* NC MSA","66",57,4,0,5,1
"215","Sacramento-Yolo  CA CMSA","1420",1291,6,16,107,7
"216","Saginaw-Bay City-Midland*  MI MSA","46",34,2,4,6,1
"217","St. Cloud* MN MSA","69",61,0,3,5,1
"218","St. Joseph* MO MSA","20",9,6,0,5,1
"219","St. Louis  MO-IL MSA","1529",1008,62,75,384,26
"220","Salinas* CA MSA","77",77,0,0,0,0
"221","Salt Lake City-Ogden  UT MSA","865",698,8,20,139,6
"222","San Angelo* TX MSA","38",38,0,0,0,0
"223","San Antonio* TX MSA","1108",798,30,0,280,16
"224","San Diego  CA MSA","1407",698,6,3,700,8
"225","San Francisco-Oakland-San  Jose  CA CMSA","1820",1509,30,39,242,13
"226","San Luis Obispo-Atascadero-  Paso Robles* CA MSA","188",153,2,7,26,1
"227","Santa Barbara-Santa Maria-  Lompoc* CA MSA","95",82,2,6,5,1
"228","Santa Fe* NM MSA","65",60,0,0,5,1
"229","Sarasota-Bradenton* FL MSA","802",677,2,11,112,4
"230","Savannah* GA MSA","189",136,4,0,49,2
"231","Scranton--Wilkes-Barre--  Hazleton* PA MSA","142",55,2,16,69,1
"232","Seattle-Tacoma-Bremerton  WA CMSA","1988",1504,90,55,339,31
"233","Sharon* PA MSA","9",9,0,0,0,0
"234","Sheboygan* WI MSA","7",7,0,0,0,0
"235","Sherman-Denison* TX MSA","14",14,0,0,0,0
"236","Shreveport-Bossier City* LA  MSA","114",114,0,0,0,0
"237","Sioux City* IA-NE MSA","10",10,0,0,0,0
"238","Sioux Falls* SD MSA","114",110,0,4,0,0
"239","South Bend* IN MSA","59",59,0,0,0,0
"240","Spokane* WA MSA","150",125,4,7,14,1
"241","Springfield* IL MSA","56",44,12,0,0,0
"242","Springfield* MO MSA","264",221,6,12,25,3
"243","Springfield* MA MSA","106",73,2,7,24,4
"244","State College* PA MSA","24",24,0,0,0,0
"245","Steubenville-Weirton* OH-WV  MSA","28",6,2,0,20,1
"246","Stockton-Lodi* CA MSA","546",534,0,0,12,1
"247","Sumter* SC MSA","40",40,0,0,0,0
"248","Syracuse* NY MSA","83",78,0,0,5,1
"249","Tallahassee* FL MSA","180",178,2,0,0,0
"250","Tampa-St. Petersburg-  Clearwater  FL MSA","3032",1963,32,4,1033,30
"251","Terre Haute* IN MSA","36",25,8,3,0,0
"252","Texarkana* TX-Texarkana  AR  MSA","21",15,6,0,0,0
"253","Toledo* OH MSA","155",143,12,0,0,0
"254","Topeka* KS MSA","88",72,16,0,0,0
"255","Tucson* AZ MSA","528",519,6,3,0,0
"256","Tulsa* OK MSA","329",277,0,0,52,2
"257","Tuscaloosa* AL MSA","263",35,0,0,228,7
"258","Tyler* TX MSA","38",31,0,0,7,1
"259","Utica-Rome* NY MSA","6",6,0,0,0,0
"260","Victoria* TX MSA","0",0,0,0,0,0
"261","Visalia-Tulare-Porterville*  CA MSA","145",145,0,0,0,0
"262","Waco* TX MSA","49",49,0,0,0,0
"263","Washington-Baltimore  DC-MD-  VA-WV CMSA","4367",3839,6,3,519,20
"264","Waterloo-Cedar Falls* IA MSA","31",17,2,0,12,1
"265","Wausau* WI MSA","71",55,10,0,6,1
"266","West Palm Beach-Boca Raton  FL MSA","974",901,2,3,68,7
"267","Wheeling* WV-OH MSA","2",2,0,0,0,0
"268","Wichita* KS MSA","179",177,2,0,0,0
"269","Wichita Falls* TX MSA","21",21,0,0,0,0
"270","Wilmington* NC MSA","310",288,4,0,18,1
"271","Yakima* WA MSA","38",36,2,0,0,0
"272","York* PA MSA","130",121,0,0,9,1
"273","Youngstown-Warren* OH MSA","84",77,2,0,5,1
"274","Yuba City* CA MSA","80",78,2,0,0,0
"275","Yuma* AZ MSA","125",125,0,0,0,0
