"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","14",14,0,0,0,0,98
"2","Akron, OH","24",19,0,0,5,1,68
"3","Albany, GA","14",12,2,0,0,0,96
"4","Albany-Schenectady-Troy, NY","49",37,0,12,0,0,75
"5","Albuquerque,  NM","96",73,0,4,19,1,100
"6","Alexandria, LA","19",19,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","84",56,0,0,28,2,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","35",35,0,0,0,0,97
"10","Ames, IA","0",0,0,0,0,0,94
"11","Anchorage,  AK","14",14,0,0,0,0,100
"12","Anderson, IN","4",4,0,0,0,0,64
"13","Anderson, SC","28",28,0,0,0,0,89
"14","Ann Arbor, MI","7",7,0,0,0,0,71
"15","Anniston-Oxford, AL","11",11,0,0,0,0,83
"16","Appleton, WI","28",28,0,0,0,0,81
"17","Asheville, NC","80",77,0,3,0,0,94
"18","Athens-Clarke County, GA","26",26,0,0,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","430",403,0,4,23,2,100
"20","Atlantic City-Hammonton,  NJ","41",36,0,0,5,1,100
"21","Auburn-Opelika,  AL","63",55,0,8,0,0,100
"22","Augusta-Richmond County, GA-SC","106",106,0,0,0,0,75
"23","Austin-Round Rock,  TX","688",454,2,0,232,4,100
"24","Bakersfield, CA","153",73,0,0,80,5,86
"25","Baltimore-Towson,  MD","160",138,0,0,22,2,100
"26","Bangor, ME","3",3,0,0,0,0,53
"27","Barnstable Town, MA","15",15,0,0,0,0,87
"28","Baton Rouge, LA","181",181,0,0,0,0,93
"29","Battle Creek, MI","0",0,0,0,0,0,68
"30","Bay City, MI","0",0,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","38",38,0,0,0,0,71
"32","Bellingham, WA","12",12,0,0,0,0,77
"33","Bend,  OR","14",14,0,0,0,0,100
"34","Billings, MT","17",17,0,0,0,0,92
"35","Binghamton, NY","0",0,0,0,0,0,15
"36","Birmingham-Hoover,  AL","132",116,4,0,12,2,100
"37","Bismarck, ND","2",2,0,0,0,0,98
"38","Bloomington, IN","36",6,0,0,30,3,85
"39","Bloomington-Normal, IL","17",17,0,0,0,0,86
"40","Boise City-Nampa,  ID","79",73,0,6,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","893",114,14,7,758,35,100
"42","Boulder, CO","28",11,4,0,13,2,72
"43","Bowling Green, KY","20",18,2,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","143",117,8,0,18,3,100
"45","Bremerton-Silverdale, WA","27",27,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","106",9,0,0,97,2,89
"47","Brownsville-Harlingen, TX","59",59,0,0,0,0,83
"48","Brunswick, GA","22",22,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","38",38,0,0,0,0,78
"50","Burlington, NC","23",23,0,0,0,0,95
"51","Burlington-South Burlington, VT","9",9,0,0,0,0,86
"52","Canton-Massillon, OH","17",12,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","65",60,0,0,5,1,100
"54","Cape Girardeau-Jackson, MO-IL","9",7,2,0,0,0,0
