"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","14",10,4,0,0,0,91
"2","Akron, OH","93",46,0,3,44,7,69
"3","Albany, GA","24",22,2,0,0,0,84
"4","Albany-Schenectady-Troy, NY","39",39,0,0,0,0,59
"5","Albuquerque,  NM","204",163,0,0,41,2,100
"6","Alexandria, LA","41",41,0,0,0,0,97
"7","Allentown-Bethlehem-Easton,  PA-NJ","118",113,0,0,5,1,100
"8","Altoona, PA","3",3,0,0,0,0,7
"9","Amarillo, TX","48",48,0,0,0,0,79
"10","Ames, IA","19",6,0,0,13,1,92
"11","Anchorage,  AK","56",17,4,3,32,2,100
"12","Anderson, IN","22",6,16,0,0,0,73
"13","Anderson, SC","46",46,0,0,0,0,90
"14","Ann Arbor, MI","23",18,0,0,5,1,72
"15","Anniston-Oxford, AL","12",12,0,0,0,0,78
"16","Appleton, WI","18",16,2,0,0,0,79
"17","Asheville, NC","159",159,0,0,0,0,88
"18","Athens-Clarke County, GA","37",37,0,0,0,0,73
"19","Atlanta-Sandy Springs-Marietta,  GA","2232",1421,0,11,800,9,100
"20","Atlantic City-Hammonton,  NJ","49",49,0,0,0,0,100
"21","Auburn-Opelika,  AL","80",80,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","198",164,2,0,32,4,80
"23","Austin-Round Rock,  TX","1534",855,32,63,584,12,100
"24","Bakersfield, CA","267",147,6,32,82,5,90
"25","Baltimore-Towson,  MD","636",223,0,0,413,10,100
"26","Bangor, ME","5",5,0,0,0,0,49
"27","Barnstable Town, MA","60",60,0,0,0,0,88
"28","Baton Rouge, LA","283",271,0,0,12,1,94
"29","Battle Creek, MI","3",3,0,0,0,0,55
"30","Bay City, MI","1",1,0,0,0,0,21
"31","Beaumont-Port Arthur, TX","221",41,4,0,176,1,76
"32","Bellingham, WA","29",13,0,0,16,2,69
"33","Bend,  OR","40",40,0,0,0,0,100
"34","Billings, MT","19",19,0,0,0,0,90
"35","Binghamton, NY","3",3,0,0,0,0,18
"36","Birmingham-Hoover,  AL","262",192,0,0,70,3,100
"37","Bismarck, ND","8",8,0,0,0,0,98
"38","Bloomington, IN","31",23,8,0,0,0,86
"39","Bloomington-Normal, IL","29",15,0,0,14,2,84
"40","Boise City-Nampa,  ID","233",221,0,12,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","400",254,12,16,118,12,100
"42","Boulder, CO","21",11,0,0,10,2,78
