"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture"
"1","Abilene, TX","20",20,0,0,0,0
"2","Akron, OH","114",95,0,6,13,1
"3","Albany, GA","71",36,2,3,30,1
"4","Albany-Schenectady-Troy, NY","105",100,0,0,5,1
"5","Albuquerque,* NM","465",422,0,3,40,2
"6","Alexandria, LA","46",46,0,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","278",269,4,0,5,1
"8","Altoona, PA","3",3,0,0,0,0
"9","Amarillo, TX","64",64,0,0,0,0
"10","Ames, IA","28",28,0,0,0,0
"11","Anchorage,* AK","94",47,10,4,33,2
"12","Anderson, IN","16",16,0,0,0,0
"13","Anderson, SC","111",111,0,0,0,0
"14","Ann Arbor, MI","38",33,0,0,5,1
"15","Anniston-Oxford, AL","30",30,0,0,0,0
"16","Appleton, WI","84",76,8,0,0,0
"17","Asheville, NC","246",229,2,3,12,2
"18","Athens-Clarke County, GA","385",45,0,0,340,16
"19","Atlanta-Sandy Springs-Marietta,* GA","4976",3252,12,22,1690,48
"20","Atlantic City,* NJ","109",93,2,0,14,1
"21","Auburn-Opelika,* AL","127",110,0,0,17,1
"22","Augusta-Richmond County, GA-SC","319",319,0,0,0,0
"23","Austin-Round Rock,* TX","1361",1282,38,0,41,3
"24","Bakersfield, CA","408",358,6,44,0,0
"25","Baltimore-Towson,* MD","426",382,0,0,44,4
"26","Bangor, ME","19",19,0,0,0,0
"27","Barnstable Town, MA","43",35,0,3,5,1
"28","Baton Rouge, LA","439",431,4,4,0,0
"29","Battle Creek, MI","4",4,0,0,0,0
"30","Bay City, MI","4",4,0,0,0,0
"31","Beaumont-Port Arthur, TX","173",47,0,0,126,1
"32","Bellingham, WA","119",44,4,57,14,1
"33","Bend,* OR","173",173,0,0,0,0
"34","Billings, MT","67",67,0,0,0,0
"35","Binghamton, NY","5",5,0,0,0,0
"36","Birmingham-Hoover,* AL","538",538,0,0,0,0
"37","Bismarck, ND","76",66,6,4,0,0
"38","Bloomington, IN","60",60,0,0,0,0
"39","Bloomington-Normal, IL","63",37,0,0,26,2
"40","Boise City-Nampa,* ID","476",440,22,14,0,0
"41","Boston-Cambridge-Quincy,* MA-NH","838",459,40,28,311,16
"42","Boulder, CO","36",26,0,0,10,2
"43","Bowling Green, KY","65",65,0,0,0,0
"44","Bremerton-Silverdale, WA","108",108,0,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","326",170,4,0,152,2
"46","Brownsville-Harlingen, TX","146",142,4,0,0,0
"47","Brunswick, GA","71",71,0,0,0,0
"48","Buffalo-Niagara Falls, NY","85",83,2,0,0,0
"49","Burlington, NC","107",107,0,0,0,0
"50","Burlington-South Burlington, VT","33",29,4,0,0,0
"51","Canton-Massillon, OH","61",56,0,0,5,1
"52","Cape Coral-Fort Myers,* FL","593",527,0,4,62,7
"53","Carson City,* NV","3",3,0,0,0,0
"54","Casper, WY","32",32,0,0,0,0
"55","Cedar Rapids, IA","88",65,10,13,0,0
"56","Champaign-Urbana, IL","336",75,2,0,259,1
"57","Charleston, WV","19",19,0,0,0,0
"58","Charleston-North Charleston,* SC","848",530,0,0,318,15
"59","Charlotte-Gastonia-Concord,* NC-SC","1748",1607,0,3,138,6
"60","Charlottesville, VA","184",92,0,0,92,2
"61","Chattanooga, TN-GA","218",192,6,3,17,2
"62","Cheyenne, WY","47",47,0,0,0,0
"63","Chicago-Naperville-Joliet,* IL-IN-WI","2502",1809,44,115,534,NA
"64","Cincinnati-Middletown,* OH-KY-IN","608",546,8,9,45,5
"65","Clarksville, TN-KY","172",151,0,6,15,3
"66","Cleveland, TN","56",47,0,9,0,0
"67","Cleveland-Elyria-Mentor,* OH","370",324,2,7,37,3
"68","Coeur dAlene, ID","141",108,18,3,12,1
"69","College Station-Bryan, TX","173",123,6,0,44,7
"70","Colorado Springs,* CO","356",321,12,3,20,1
"71","Columbia, MO","75",73,2,0,0,0
"72","Columbia,* SC","977",481,2,7,487,22
"73","Columbus, GA-AL","233",96,4,3,130,4
"74","Columbus, IN","20",20,0,0,0,0
"75","Columbus,* OH","493",432,4,40,17,2
"76","Corpus Christi, TX","147",145,2,0,0,0
"77","Corvallis, OR","13",13,0,0,0,0
"78","Cumberland, MD-WV","12",12,0,0,0,0
"79","Dallas-Fort Worth-Arlington,* TX","3418",2865,44,27,482,40
"80","Dalton, GA","70",55,0,3,12,2
"81","Danville, IL","0",0,0,0,0,0
"82","Danville, VA","20",15,0,0,5,1
