Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN080140,08,014,"Broomfield County/city, CO",2000,"22,616     ","22,073     ",543     ,2.4     
CN080150,08,015,"Chaffee County, CO",2000,"7,365     ","7,120     ",245     ,3.3     
CN080170,08,017,"Cheyenne County, CO",2000,"1,123     ","1,095     ",28     ,2.5     
CN080190,08,019,"Clear Creek County, CO",2000,"6,060     ","5,894     ",166     ,2.7     
CN080210,08,021,"Conejos County, CO",2000,"3,349     ","3,180     ",169     ,5.0     
CN080230,08,023,"Costilla County, CO",2000,"1,250     ","1,158     ",92     ,7.4     
CN080250,08,025,"Crowley County, CO",2000,"1,492     ","1,413     ",79     ,5.3     
CN080270,08,027,"Custer County, CO",2000,"1,669     ","1,612     ",57     ,3.4     
CN080290,08,029,"Delta County, CO",2000,"12,364     ","11,907     ",457     ,3.7     
PS080250,08,031,"Denver County/city, CO",2000,"305,904     ","296,655     ","9,249     ",3.0     
CN080330,08,033,"Dolores County, CO",2000,905     ,855     ,50     ,5.5     
CN080350,08,035,"Douglas County, CO",2000,"105,842     ","103,664     ","2,178     ",2.1     
CN080370,08,037,"Eagle County, CO",2000,"25,692     ","25,079     ",613     ,2.4     
CN080390,08,039,"Elbert County, CO",2000,"11,632     ","11,370     ",262     ,2.3     
PS080200,08,041,"El Paso County, CO",2000,"265,291     ","257,560     ","7,731     ",2.9     
CN080430,08,043,"Fremont County, CO",2000,"17,895     ","17,193     ",702     ,3.9     
CN080450,08,045,"Garfield County, CO",2000,"24,810     ","24,146     ",664     ,2.7     
CN080470,08,047,"Gilpin County, CO",2000,"3,316     ","3,234     ",82     ,2.5     
CN080490,08,049,"Grand County, CO",2000,"7,645     ","7,457     ",188     ,2.5     
CN080510,08,051,"Gunnison County, CO",2000,"8,202     ","7,977     ",225     ,2.7     
CN080530,08,053,"Hinsdale County, CO",2000,652     ,639     ,13     ,2.0     
CN080550,08,055,"Huerfano County, CO",2000,"3,085     ","2,913     ",172     ,5.6     
CN080570,08,057,"Jackson County, CO",2000,887     ,862     ,25     ,2.8     
CN080590,08,059,"Jefferson County, CO",2000,"310,079     ","302,787     ","7,292     ",2.4     
CN080610,08,061,"Kiowa County, CO",2000,784     ,760     ,24     ,3.1     
CN080630,08,063,"Kit Carson County, CO",2000,"3,854     ","3,756     ",98     ,2.5     
CN080650,08,065,"Lake County, CO",2000,"4,052     ","3,917     ",135     ,3.3     
CN080670,08,067,"La Plata County, CO",2000,"24,514     ","23,812     ",702     ,2.9     
PS080310,08,069,"Larimer County, CO",2000,"146,659     ","143,016     ","3,643     ",2.5     
CN080710,08,071,"Las Animas County, CO",2000,"6,695     ","6,417     ",278     ,4.2     
CN080730,08,073,"Lincoln County, CO",2000,"2,630     ","2,558     ",72     ,2.7     
CN080750,08,075,"Logan County, CO",2000,"10,028     ","9,743     ",285     ,2.8     
PA080250,08,077,"Mesa County, CO",2000,"59,016     ","57,064     ","1,952     ",3.3     
CN080790,08,079,"Mineral County, CO",2000,420     ,405     ,15     ,3.6     
