CONTROL,SMSA,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,RUTIL
'000000000038','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000038','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000039','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000040','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000040','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000041','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000041','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000041','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000042','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000043','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000043','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000043','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000043','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000044','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000044','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000045','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000045','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000045','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000046','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000046','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000047','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000047','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000047','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000048','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000049','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000049','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000049','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000049','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000050','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000050','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000051','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000051','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000051','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000051','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000051','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000051','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000054','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000054','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000054','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000054','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000055','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000056','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000058','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000058','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000058','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000059','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000059','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000059','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000060','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000060','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000061','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000061','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000061','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000061','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000062','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000062','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000063','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000064','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000065','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000065','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000066','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000067','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000067','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000067','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000067','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000069','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000069','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000070','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000072','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000072','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000072','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000072','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000073','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000073','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000074','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000074','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000075','7160','-9','-9','1','-9','-9','-9','-9'
'000000000075','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000076','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000076','6840','-9','-9','-9','-9','-9','-9','-9'
'000000000076','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000077','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000077','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000077','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000078','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000079','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000079','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000079','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000080','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000080','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000081','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000081','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000081','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000082','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000082','7160','1','-9','-9','-9','-9','1','1'
'000000000083','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000084','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000084','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000084','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000084','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000085','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000085','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000086','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000086','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000087','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000089','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000091','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000091','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000091','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000091','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000092','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000093','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000094','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000096','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000097','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000097','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000098','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000098','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000099','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000099','5775','1','1','1','1','-9','1','1'
'000000000101','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000102','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000102','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000103','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000104','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000104','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000104','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000105','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000105','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000105','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000106','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000107','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000108','5120','-9','-9','-9','-9','-9','-9','-9'
'000000000109','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000109','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000109','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000109','7160','1','1','-9','1','-9','-9','-9'
'000000000109','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000109','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000111','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000111','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000111','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000111','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000112','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000113','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000113','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000114','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000115','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000115','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000116','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000116','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000116','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000117','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000117','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000117','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000118','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000118','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000119','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000120','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000121','8280','-9','-9','-9','-9','-9','-9','-9'
'000000000122','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000122','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000123','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000124','8840','-9','-9','-9','-9','-9','-9','-9'
'000000000125','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000125','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000126','6480','-9','-9','-9','-9','-9','-9','-9'
'000000000126','8280','-9','-9','-9','1','-9','-9','-9'
'000000000128','7160','-9','-9','-9','-9','-9','-9','-9'
'000000000128','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000130','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000130','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000131','1120','-9','-9','-9','-9','-9','-9','-9'
'000000000132','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000132','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000133','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000133','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000133','3360','-9','-9','-9','-9','-9','-9','-9'
'000000000133','5680','-9','-9','-9','-9','-9','-9','-9'
'000000000134','0720','-9','-9','-9','-9','-9','-9','-9'
'000000000134','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000134','7400','-9','-9','-9','-9','-9','-9','-9'
'000000000135','1000','-9','-9','-9','-9','-9','-9','-9'
'000000000135','5775','-9','-9','-9','-9','-9','-9','-9'
'000000000136','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000138','1640','-9','-9','-9','-9','-9','-9','-9'
'000000000138','7360','-9','-9','-9','-9','-9','-9','-9'
'000000000139','5680','-9','-9','-9','-9','-9','-9','-9'
