CONTROL,SMSA,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,RUTIL
'000000002089','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002090','8280','-9','-9','-9','-9','1','1','-9'
'000000002092','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002092','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002092','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002092','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002093','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002093','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002093','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002093','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002094','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002095','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002095','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002095','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002096','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002096','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002096','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002097','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002098','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002098','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002099','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002100','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002100','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002100','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002101','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002101','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002101','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002101','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002102','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002103','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002103','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002103','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002104','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002104','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002104','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002104','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002104','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002104','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002104','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002105','7400','-9','-9','-9','-9','-9','1','-9'
'000000002105','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002106','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002106','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002107','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002108','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002108','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002108','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002109','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002110','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002110','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002110','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002110','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002110','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002111','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002111','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002112','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002112','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002112','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002112','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002112','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002113','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002113','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002114','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002114','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002114','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002114','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002114','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002115','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002116','0720','-9','-9','1','1','-9','1','1'
'000000002116','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002117','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002117','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002118','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002118','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002118','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002118','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002118','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002120','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002120','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002120','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002121','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002121','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002121','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002121','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002122','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002122','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002122','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002123','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002124','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002124','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002124','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002124','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002124','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002124','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002125','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002125','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002126','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002126','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002126','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002127','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002127','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002128','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002128','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002128','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002128','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002128','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002128','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002129','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002129','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002129','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002130','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002130','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002130','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002131','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002131','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002132','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002132','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002132','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002132','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002133','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002133','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002133','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002134','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002134','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002135','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002135','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002135','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002135','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002136','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002136','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002137','0720','-9','1','-9','-9','-9','-9','1'
'000000002137','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002138','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002138','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002138','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002139','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002139','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002139','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002140','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002140','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002141','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002141','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002141','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002142','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002142','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002142','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002143','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002143','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002143','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002143','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002144','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002144','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002144','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002145','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002145','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002146','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002146','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002146','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002146','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002147','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002147','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002148','5120','-9','-9','-9','-9','-9','-9','-9'
'000000002148','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002148','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002148','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002149','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002149','1640','-9','-9','1','-9','-9','-9','-9'
'000000002149','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002150','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002150','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002150','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002150','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002150','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002151','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002151','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002152','7400','-9','1','-9','1','-9','-9','1'
'000000002152','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002153','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002153','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002154','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002155','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002155','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002156','1000','-9','1','1','1','1','1','1'
'000000002156','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002156','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002156','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002156','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002157','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002158','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002158','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002158','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002158','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002158','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002158','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002159','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002160','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002160','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002160','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002160','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002160','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002161','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002161','1120','1','1','1','1','1','1','1'
'000000002162','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002162','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002163','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002163','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002164','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002164','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002164','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002164','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002164','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002165','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002165','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002166','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002166','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002167','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002168','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002168','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002168','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002169','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002170','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002170','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002170','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002170','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002170','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002171','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002171','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002171','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002172','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002173','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002173','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002174','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002174','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002174','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002174','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002175','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002175','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002176','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002176','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002176','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002176','7400','-9','-9','1','-9','-9','1','-9'
'000000002177','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002178','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002179','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002180','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002180','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002181','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002182','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002182','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002183','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002184','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002184','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002184','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002185','0720','-9','-9','-9','-9','-9','1','-9'
'000000002185','1000','-9','-9','-9','1','-9','1','-9'
'000000002185','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002186','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002186','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002186','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002187','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002187','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002187','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002187','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002188','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002188','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002188','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002189','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002189','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002189','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002189','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002190','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002190','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002190','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002190','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002191','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002192','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002192','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002192','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002193','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002194','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002194','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002195','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002196','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002196','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002196','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002196','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002197','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002197','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002197','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002198','5120','-9','-9','-9','1','-9','1','1'
'000000002198','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002198','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002198','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002200','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002200','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002201','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002202','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002203','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002203','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002204','5120','-9','-9','-9','-9','-9','-9','-9'
'000000002204','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002204','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002205','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002205','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002205','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002206','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002206','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002207','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002207','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002208','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002208','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002209','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002210','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002210','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002211','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002211','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002212','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002212','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002212','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002212','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002212','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002213','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002213','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002213','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002214','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002214','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002214','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002215','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002215','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002216','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002216','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002217','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002217','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002218','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002218','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002218','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002219','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002219','6840','-9','-9','-9','-9','-9','-9','-9'
'000000002219','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002219','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002220','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002220','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002220','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002221','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002222','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002222','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002223','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002224','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002224','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002224','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002225','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002226','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002227','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002228','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002228','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002228','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002229','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002230','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002231','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002232','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002232','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002232','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002232','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002233','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002233','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002234','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002234','1000','-9','-9','-9','-9','-9','-9','-9'
'000000002234','7360','-9','-9','-9','1','1','1','-9'
'000000002234','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002234','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002235','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002235','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002236','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002238','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002238','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002238','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002238','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002239','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002240','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002240','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002240','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002240','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002241','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002241','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002242','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002242','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002242','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002243','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002243','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002244','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002244','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002244','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002244','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002245','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002246','0720','-9','-9','-9','1','-9','-9','-9'
'000000002246','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002246','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002247','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002248','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002248','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002248','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002248','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002249','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002249','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002250','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002250','8280','-9','-9','1','-9','-9','-9','-9'
'000000002251','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002251','5120','-9','-9','-9','-9','-9','-9','-9'
'000000002251','6480','-9','-9','-9','-9','-9','-9','-9'
'000000002251','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002252','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002253','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002253','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002254','1120','-9','-9','-9','-9','-9','-9','-9'
'000000002254','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002254','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002254','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002255','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002255','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002255','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002256','5775','-9','-9','-9','-9','-9','-9','-9'
'000000002256','6840','-9','-9','-9','-9','-9','-9','-9'
'000000002256','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002256','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002256','8840','-9','-9','-9','-9','-9','-9','-9'
'000000002257','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002257','5775','-9','1','-9','-9','-9','-9','1'
'000000002257','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002258','5120','-9','-9','-9','-9','-9','-9','-9'
'000000002258','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002258','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002259','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002259','6840','-9','-9','-9','-9','-9','-9','-9'
'000000002259','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002260','7160','-9','-9','-9','-9','-9','-9','-9'
'000000002260','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002260','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002261','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002261','8280','-9','-9','-9','-9','-9','-9','-9'
'000000002262','7360','-9','-9','-9','-9','-9','-9','-9'
'000000002263','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002263','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002264','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002264','3360','-9','-9','-9','-9','-9','-9','-9'
'000000002264','5680','-9','-9','-9','-9','-9','-9','-9'
'000000002264','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002266','1640','-9','-9','-9','-9','-9','-9','-9'
'000000002266','7400','-9','-9','-9','-9','-9','-9','-9'
'000000002267','0720','-9','-9','-9','-9','-9','-9','-9'
'000000002267','7400','-9','-9','1','-9','-9','-9','-9'
'000000002268','5680','-9','-9','-9','-9','-9','-9','-9'
