CONTROL,SMSA,PWT,WEIGHT
'000000000011','0720',223.5291,260.36652045
'000000000011','1000',80.0639,87.150710167
'000000000011','1640',130.8343,132.21500849
'000000000011','3360',375.99243233,431.15561464
'000000000011','5120',246.0386,281.50585757
'000000000011','5680',131.9648,144.90681721
'000000000011','5775',188.917,210.68868732
'000000000011','6480',90.5129,0
'000000000011','6840',96.7736,0
'000000000011','7160',92.2085067,98.699619679
'000000000011','7360',150.6233,182.94458173
'000000000011','7400',123.1232,157.07172723
'000000000011','8280',238.897,268.04284436
'000000000011','8840',385.0634,399.15205572
'000000000012','0720',223.5291,249.38588021
'000000000012','1000',80.0639,87.150710167
'000000000012','1120',305.76015,362.74563205
'000000000012','1640',130.8343,138.54133677
'000000000012','3360',698.26245233,777.43781567
'000000000012','5120',246.0386,0
'000000000012','5680',131.9648,138.37698342
'000000000012','5775',188.917,216.0052439
'000000000012','6480',90.5129,95.789484474
'000000000012','6840',96.7736,98.296170727
'000000000012','7160',92.2085067,98.699619679
'000000000012','7360',200.82604589,242.49415108
'000000000012','7400',410.40656256,424.60876561
'000000000012','8280',238.897,0
'000000000012','8840',385.0634,424.31911378
'000000000013','0720',223.5291,0
'000000000013','1000',80.0639,88.712116902
'000000000013','1120',152.880075,0
'000000000013','1640',130.8343,141.02818703
'000000000013','5120',246.0386,255.50231547
'000000000013','5680',131.9648,132.07374114
'000000000013','5775',188.917,0
'000000000013','6480',90.5129,95.789484474
'000000000013','6840',96.7736,111.06190718
'000000000013','7160',92.2085067,94.429917822
'000000000013','7360',150.6233,162.6433386
'000000000013','7400',123.1232,0
'000000000013','8280',238.897,280.0720842
'000000000013','8840',385.0634,353.19615251
'000000000014','0720',223.5291,0
'000000000014','1000',80.0639,83.521367454
'000000000014','1640',130.8343,141.02818703
'000000000014','5120',246.0386,0
'000000000014','5680',131.9648,131.74814589
'000000000014','5775',188.917,210.68868732
'000000000014','6480',90.5129,0
'000000000014','6840',48.3868,53.549406441
'000000000014','7160',92.2085067,99.082039962
'000000000014','7360',150.6233,0
'000000000014','7400',225.72176256,274.98287511
'000000000014','8280',238.897,270.29015479
'000000000014','8840',385.0634,463.94949631
'000000000015','0720',223.5291,293.41561552
'000000000015','1000',120.09585,128.46772712
'000000000015','1120',305.76015,362.74563205
'000000000015','1640',130.8343,141.02818703
'000000000015','3360',590.81762767,677.49857575
'000000000015','5120',246.0386,277.04511405
'000000000015','5680',131.9648,132.11083865
'000000000015','5775',188.917,214.13571507
'000000000015','6480',90.5129,95.789484474
'000000000015','6840',96.7736,107.09881288
'000000000015','7160',92.2085067,99.082039962
'000000000015','7360',150.6233,191.3513906
'000000000015','7400',61.5616,78.535863615
'000000000015','8280',238.897,238.16994013
'000000000015','8840',385.0634,407.46596637
'000000000016','0720',223.5291,274.19974182
'000000000016','1000',80.0639,87.150710167
'000000000016','1640',130.8343,141.02818703
'000000000016','5120',246.0386,255.50231547
'000000000016','5680',131.9648,141.27036528
'000000000016','5775',188.917,219.53925457
'000000000016','6480',90.5129,98.953416164
'000000000016','6840',96.7736,111.06190718
'000000000016','7160',92.2085067,99.082039962
'000000000016','7360',150.6233,0
'000000000016','7400',123.1232,148.81378141
'000000000016','8280',238.897,268.04284436
'000000000016','8840',385.0634,398.45328903
'000000000017','0720',223.5291,268.66951133
'000000000017','1000',120.09585,125.28205118
'000000000017','1120',305.76015,347.15191566
'000000000017','1640',130.8343,144.59071378
'000000000017','3360',375.99243233,431.15561464
'000000000017','5120',246.0386,278.39681174
'000000000017','5680',131.9648,140.92209802
'000000000017','5775',188.917,214.13571507
'000000000017','6480',90.5129,98.953416164
'000000000017','6840',96.7736,111.06190718
'000000000017','7160',138.31276005,141.64487673
'000000000017','7360',150.6233,0
'000000000017','7400',123.1232,148.81378141
'000000000017','8280',238.897,270.29015479
'000000000017','8840',385.0634,398.45328903
'000000000018','0720',223.5291,230.92493557
'000000000018','1000',80.0639,83.521367454
'000000000018','1120',305.76015,0
'000000000018','1640',130.8343,138.8127615
'000000000018','5120',246.0386,0
'000000000018','5680',131.9648,141.97447897
'000000000018','5775',141.68775,164.65444093
'000000000018','6480',90.5129,98.953416164
'000000000018','6840',96.7736,110.65295155
'000000000018','7160',69.156380025,0
'000000000018','7360',150.6233,162.6433386
'000000000018','7400',123.1232,0
'000000000018','8280',238.897,270.29015479
'000000000018','8840',385.0634,399.231542
'000000000019','0720',223.5291,272.3558441
'000000000019','1000',80.0639,0
'000000000019','1120',305.76015,347.15191566
'000000000019','1640',130.8343,141.02818703
'000000000019','5120',246.0386,279.85372458
'000000000019','5680',131.9648,141.27036528
'000000000019','5775',188.917,214.13571507
'000000000019','6480',90.5129,0
'000000000019','6840',96.7736,111.06190718
'000000000019','7160',92.2085067,0
'000000000019','7360',37.655825,43.471169722
'000000000019','7400',123.1232,0
'000000000019','8280',238.897,0
'000000000019','8840',385.0634,410.05179881
'000000000020','0720',223.5291,221.18595824
'000000000020','1000',80.0639,87.150710167
'000000000020','1120',305.76015,0
'000000000020','1640',130.8343,141.02818703
'000000000020','3360',698.26245233,777.43781567
'000000000020','5120',246.0386,276.40569113
'000000000020','5680',131.9648,0
'000000000020','5775',188.917,236.84880644
'000000000020','6480',90.5129,0
'000000000020','6840',96.7736,107.76656591
'000000000020','7160',92.2085067,94.429917822
'000000000020','7360',150.6233,0
'000000000020','7400',123.1232,127.38390352
'000000000020','8280',238.897,280.0720842
'000000000020','8840',385.0634,409.97015824
'000000000021','0720',223.5291,293.41561552
'000000000021','1000',80.0639,87.150710167
'000000000021','1640',130.8343,142.18619532
'000000000021','5120',246.0386,277.04511405
