CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000011','3360',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000011','3360',2,'2','2','3','-6',1,'1','-6','2','-9','2','-9','-9','-9','-9','1'
'000000000011','5120',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000012','1640',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000012','3360',1,'1','1','3','-6',6,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000012','5680',1,'2','2','3','-6',-7,'1','-6','1','-9','1','-9','-9','-9','1','-9'
'000000000012','5775',1,'1','1','1','1',4,'2','1','2','-9','1','-9','-9','-9','-9','-9'
'000000000012','7160',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000012','8840',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000012','8840',2,'2','2','3','-6',3,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000013','5680',1,'1','1','3','-6',5,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000013','6840',1,'1','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000013','7160',1,'1','1','3','-6',2,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000013','8840',1,'1','2','4','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000014','1640',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000014','5680',1,'2','3','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000014','5775',1,'1','1','3','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000014','7400',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000014','8280',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','0720',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000015','0720',2,'1','1','4','-6',2,'2','2','2','-9','2','-9','-9','-9','-9','-9'
'000000000015','1000',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','3360',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','5120',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','6480',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','6840',1,'1','3','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000015','7160',1,'1','1','3','-6',5,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000015','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
