CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000203','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000203','7400',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000204','1000',1,'1','2','3','-6',3,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000204','1640',1,'1','2','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000204','6480',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000204','6840',1,'2','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000204','7400',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000205','1120',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000205','5680',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000205','6840',1,'2','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000205','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000206','0720',1,'1','1','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000206','1640',1,'1','2','3','-6',5,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000206','7400',1,'1','1','3','-6',2,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000206','7400',2,'1','1','3','-6',2,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000207','5680',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000207','6480',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000207','7400',1,'1','1','3','-6',7,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000208','1640',1,'1','1','3','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000208','5120',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000208','7160',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000208','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000208','7400',1,'2','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000209','1000',1,'2','2','2','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000209','5120',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000209','5775',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000209','7400',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000210','1120',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000210','5775',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000210','6480',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000210','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000210','7400',1,'2','1','2','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000211','5680',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000211','5775',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000211','7360',1,'2','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000212','1120',1,'1','3','3','-6',1,'1','-6','4','-9','1','-9','1','-9','-9','1'
'000000000212','3360',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000212','5680',1,'1','3','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000212','7160',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000212','7400',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000212','8280',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000213','5680',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000213','7360',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000213','7400',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000213','8280',1,'1','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000214','0720',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000214','1000',1,'2','2','3','-6',3,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000214','1640',1,'2','2','2','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000214','8280',1,'1','1','3','-6',7,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000214','8280',2,'1','1','3','-6',3,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000215','1000',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000215','3360',1,'1','1','3','-6',-7,'1','-6','3','-9','1','-9','-9','-9','1','-9'
'000000000215','5120',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000215','5775',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000215','7160',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000215','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000215','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000215','7400',2,'1','1','3','-6',2,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000215','8840',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000216','6840',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000216','7160',1,'1','3','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000216','7160',2,'1','1','3','-6',3,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000216','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000216','7400',1,'1','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000216','7400',2,'1','2','3','-6',3,'1','-6','2','-9','2','-9','-9','-9','-9','-9'
'000000000216','7400',3,'2','2','3','-6',4,'1','-6','3','-9','3','-9','-9','-9','-9','-9'
'000000000216','8840',1,'2','1','2','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000217','0720',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000217','1640',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000217','5775',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000217','6840',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000218','1000',1,'1','1','3','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000218','6480',1,'2','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000218','7400',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000219','5120',-9,'-9','3','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000219','5680',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000219','6480',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000219','7160',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000219','7400',1,'2','1','2','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000220','5120',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000220','5775',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000220','7360',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000220','7400',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000220','8840',1,'1','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000220','8840',2,'2','2','3','-6',3,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000221','1000',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000221','1120',1,'2','2','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000221','5120',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000221','5775',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000221','7160',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000221','8840',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000222','5680',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000222','5775',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000222','8840',1,'-8','2','-8','-6',-8,'-8','-6','4','-9','1','-9','1','-9','-9','-9'
'000000000223','6480',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000223','6840',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000223','7160',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000223','7360',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000223','7400',1,'1','2','3','-6',2,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000224','1000',1,'3','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000224','1000',2,'1','2','3','-6',3,'1','-6','3','-9','2','-9','-9','-9','-9','-9'
'000000000224','1640',1,'1','1','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000224','5680',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000224','7400',-9,'-9','3','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000224','8280',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000225','1000',1,'1','1','3','-6',4,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000225','5120',1,'1','1','3','-6',4,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000225','5775',1,'1','2','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000226','1000',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000226','8840',1,'2','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000227','3360',1,'3','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000227','5775',1,'2','2','2','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000228','0720',1,'1','1','3','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000228','1000',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000228','1640',1,'1','1','3','-6',7,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000228','5120',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000228','5775',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000228','7400',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000228','8280',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000229','1640',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000229','5680',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000229','7400',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000229','8840',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000230','1640',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000230','5680',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000230','5775',1,'1','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000230','7400',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000230','8840',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000231','5775',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000231','7400',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000232','5120',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000232','6480',1,'2','3','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000232','7400',1,'1','1','3','-6',5,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000233','1120',1,'1','2','3','-6',3,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000233','1640',1,'2','2','4','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000233','5680',1,'1','1','3','-6',4,'2','1','2','-9','1','-9','-9','-9','-9','-9'
'000000000233','5680',2,'1','1','3','-6',3,'2','1','2','-9','2','-9','-9','-9','-9','-9'
'000000000233','7160',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000233','7400',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000233','8840',1,'1','1','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000234','1000',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000234','3360',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000234','5680',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000234','7400',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000235','1640',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000235','5120',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000235','5120',2,'1','1','3','-6',4,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000235','5775',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000235','6840',1,'1','1','3','-6',4,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000235','7160',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000235','7400',1,'2','2','2','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000236','0720',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000236','1000',1,'2','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000236','1640',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000236','5120',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000236','5680',1,'2','1','2','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000236','5775',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000236','7400',1,'1','1','4','-6',-7,'-7','-6','4','-9','1','-9','1','1','-9','-9'
'000000000237','5680',-9,'-9','3','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000237','5775',1,'3','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000237','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000238','1000',1,'1','1','3','-6',2,'2','2','1','-9','1','-9','-9','-9','-9','-9'
'000000000238','1000',2,'1','1','3','-6',4,'2','1','1','-9','2','-9','-9','-9','-9','-9'
'000000000238','1120',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000238','5775',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000238','5775',2,'1','1','3','-6',4,'2','1','3','-9','2','-9','-9','-9','-9','-9'
'000000000238','7160',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000238','7360',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000238','8840',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000239','1640',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000239','1640',2,'2','2','3','-6',1,'1','-6','3','-9','2','-9','-9','-9','-9','1'
'000000000239','5120',1,'2','2','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000239','6840',1,'1','1','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000239','7400',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000240','1120',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000240','5775',1,'1','2','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000240','7160',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000240','7360',1,'2','2','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000240','8280',1,'1','1','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000240','8840',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000241','0720',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000241','1000',1,'1','1','3','-6',4,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000241','1640',1,'2','2','3','-6',-8,'2','-8','3','-9','1','-9','-9','-9','-9','-9'
'000000000241','3360',1,'1','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000241','6480',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000241','8840',1,'1','1','3','-6',3,'2','1','2','-9','1','-9','-9','-9','-9','-9'
'000000000242','1120',1,'1','1','3','-6',-7,'1','-6','1','-9','1','-9','-9','-9','1','-9'
'000000000242','5120',1,'1','1','3','-6',6,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000242','6480',1,'1','2','2','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000242','8840',1,'1','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000243','1000',1,'1','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000243','3360',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000243','5120',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000243','5775',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000243','8280',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000243','8840',-9,'1','1','-9','-6',-7,'-9','-6','-9','-9','1','1','1','1','1','-9'
'000000000244','0720',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000244','1000',1,'1','1','3','-6',3,'2','1','3','-9','1','-9','-9','-9','-9','-9'
'000000000244','5680',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000244','5775',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000244','6480',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000244','7400',1,'1','2','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000244','8280',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000245','1640',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000245','5680',1,'1','1','3','-6',4,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000245','5775',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000245','6480',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000245','8840',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000246','1000',1,'1','1','3','-6',-7,'1','-6','2','-9','1','-9','-9','-9','1','-9'
'000000000246','1000',2,'1','1','3','-6',1,'1','-6','2','-9','2','-9','-9','-9','-9','1'
'000000000246','5120',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000246','5680',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000246','7160',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000246','7360',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000246','7400',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000246','8280',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000247','1120',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000247','5120',1,'1','1','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000247','5775',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000247','6480',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000247','6840',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000247','7160',1,'2','2','3','-6',3,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000247','7400',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000248','7400',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000248','7400',2,'2','2','3','-6',2,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000249','5120',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000249','5120',2,'2','2','3','-6',1,'1','-6','3','-9','2','-9','-9','-9','-9','1'
'000000000249','5775',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000249','6480',1,'1','3','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000249','6480',2,'1','3','3','-6',4,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000249','6840',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000249','7400',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000250','5120',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000250','5120',2,'4','-6','-6','-6',-6,'-6','-6','-6','-9','2','-9','-9','-9','1','-9'
'000000000250','5680',1,'1','3','3','-6',5,'2','1','1','-9','1','-9','-9','-9','-9','-9'
'000000000250','7400',1,'2','1','2','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000250','8840',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000251','1640',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000251','5775',1,'1','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000251','7160',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000251','7400',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000251','7400',2,'4','-6','-6','-6',-6,'-6','-6','-6','-9','2','-9','-9','-9','1','-9'
'000000000251','8280',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000251','8840',1,'1','2','3','-6',5,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000252','1000',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000252','5120',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000252','5775',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000252','6480',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000252','6840',1,'1','1','3','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000252','8280',1,'1','2','2','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000253','1000',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000253','5680',1,'1','1','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000253','5775',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000253','6480',1,'1','3','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000253','6480',2,'1','3','3','-6',3,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000253','7360',1,'1','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000253','7400',1,'1','2','3','-6',-7,'1','-6','3','-9','1','-9','-9','-9','1','-9'
'000000000253','8840',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000254','1000',1,'1','1','3','-6',2,'1','-6','4','-9','1','-9','-9','-9','-9','-9'
'000000000254','5120',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000254','6480',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000254','6840',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000254','7400',1,'1','2','3','-6',3,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000254','7400',2,'1','1','2','-6',1,'1','-6','3','-9','2','-9','-9','-9','-9','1'
'000000000254','8280',1,'2','2','3','-6',4,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
