CONTROL,SMSA,OWNHERE,JWNHER
'000000000001','3280','1','-9'
'000000000001','6280','-6','-9'
'000000000001','7240','2','-9'
'000000000001','7600','1','-9'
'000000000001','6920','2','-9'
'000000000002','3280','1','-9'
'000000000002','4920','-6','-9'
'000000000003','3280','1','-9'
'000000000004','3280','1','2'
'000000000005','0520','2','-9'
'000000000005','7600','1','-9'
'000000000007','7040','2','-9'
'000000000008','0520','-6','-9'
'000000000008','5880','2','-9'
'000000000009','3280','1','-9'
'000000000009','7600','1','-9'
'000000000010','1680','2','-9'
'000000000010','3480','-6','-9'
'000000000011','0520','2','-9'
'000000000011','3280','2','-9'
'000000000011','4920','-6','-9'
'000000000011','5560','-6','-9'
'000000000011','7240','1','-9'
'000000000012','7040','2','-9'
'000000000012','6920','2','-9'
'000000000013','0520','2','-9'
'000000000014','6280','2','-9'
'000000000016','6920','1','-9'
'000000000018','0520','2','-9'
'000000000018','2080','2','-9'
'000000000018','7240','-6','-9'
'000000000019','0520','1','-9'
'000000000019','6920','2','-9'
'000000000020','5880','1','-9'
'000000000021','7040','2','-9'
'000000000021','6920','1','-9'
'000000000022','0520','-6','-9'
'000000000022','5880','-6','-9'
'000000000024','0520','2','-9'
'000000000024','2080','2','-9'
'000000000024','6920','1','2'
'000000000025','6920','2','-9'
'000000000026','3480','2','-9'
'000000000027','2080','-6','-9'
'000000000027','5560','2','-9'
'000000000027','7600','2','-9'
'000000000027','6920','2','-9'
'000000000028','7240','2','-9'
'000000000029','7600','2','-9'
'000000000029','7040','2','-9'
'000000000030','6920','2','-9'
'000000000031','1680','2','-9'
'000000000031','5880','-6','-9'
'000000000031','7040','2','-9'
'000000000032','2080','2','-9'
'000000000032','7600','1','-9'
'000000000033','3480','2','-9'
'000000000034','0520','-6','-9'
'000000000034','3280','-6','-9'
'000000000034','5560','2','-9'
'000000000034','5880','-6','-9'
'000000000035','0520','1','-9'
'000000000035','4920','1','-9'
'000000000035','5560','-6','-9'
'000000000036','6920','-6','-9'
'000000000038','7600','2','-9'
'000000000039','1680','2','-9'
'000000000039','6920','-6','-9'
'000000000040','0520','-6','-9'
'000000000040','7600','2','-9'
'000000000042','3480','1','-9'
'000000000043','6920','2','-9'
'000000000044','0520','2','-9'
'000000000044','3480','-6','-9'
'000000000044','6280','1','-9'
'000000000044','7240','-6','-9'
'000000000044','7600','1','-9'
'000000000046','0520','-6','-9'
'000000000046','4920','-6','-9'
'000000000046','6920','2','-9'
'000000000047','7600','1','-9'
'000000000048','0520','1','-9'
'000000000048','7600','1','2'
'000000000049','0520','-6','-9'
'000000000049','5560','2','-9'
'000000000049','6920','2','-9'
'000000000050','1680','-6','-9'
'000000000050','2080','1','-9'
'000000000050','3480','-6','-9'
'000000000051','2080','1','-9'
'000000000051','3280','-6','-9'
'000000000051','7600','2','-9'
'000000000052','3480','2','-9'
'000000000052','7240','-6','-9'
'000000000052','7040','2','-9'
'000000000053','5560','-6','-9'
'000000000054','3280','2','-9'
'000000000054','7040','-6','-9'
'000000000055','7040','-6','-9'
'000000000055','6920','2','-9'
'000000000056','0520','-6','-9'
'000000000056','3280','1','-9'
'000000000056','3480','-6','-9'
'000000000056','7040','-6','-9'
'000000000057','3480','2','-9'
'000000000057','7600','1','-9'
'000000000058','2080','2','-9'
'000000000058','6280','2','-9'
'000000000058','7600','2','-9'
'000000000058','7040','-6','-9'
'000000000058','6920','2','-9'
'000000000059','3280','2','-9'
'000000000059','6280','1','-9'
'000000000059','7600','1','-9'
'000000000060','1680','2','-9'
'000000000060','7600','2','-9'
'000000000060','7040','-6','-9'
'000000000060','6920','-6','-9'
'000000000061','3280','2','-9'
'000000000061','5560','2','-9'
'000000000062','2080','-6','-9'
'000000000062','7600','1','-9'
'000000000063','7600','-6','-9'
'000000000063','7040','2','-9'
'000000000064','6920','2','-9'
'000000000065','2080','-6','-9'
'000000000065','3280','2','-9'
'000000000065','3480','2','-9'
'000000000065','7600','1','-9'
'000000000065','6920','2','-9'
'000000000066','7600','2','-9'
'000000000067','7040','-6','-9'
'000000000068','1680','2','2'
'000000000068','7600','2','-9'
'000000000069','2080','1','-9'
'000000000071','5560','2','-9'
'000000000071','7040','2','2'
'000000000072','6920','1','-9'
'000000000073','7600','1','-9'
'000000000074','1680','-6','-9'
'000000000074','2080','2','-9'
'000000000074','3280','-6','-9'
'000000000075','0520','2','-9'
'000000000075','6920','-6','-9'
'000000000077','7240','-6','-9'
'000000000077','7600','2','-9'
'000000000078','3280','-6','-9'
'000000000078','6920','-6','-9'
'000000000080','0520','2','-9'
'000000000080','5560','1','-9'
'000000000081','1680','2','-9'
'000000000081','7240','2','2'
'000000000083','3480','1','-9'
'000000000083','4920','2','2'
'000000000083','5560','-6','-9'
'000000000084','1680','2','-9'
'000000000085','0520','2','-9'
'000000000085','7600','1','-9'
'000000000086','3480','-6','-9'
'000000000087','7240','-6','-9'
'000000000087','7600','1','-9'
'000000000088','3280','2','-9'
'000000000088','6920','-6','-9'
'000000000089','5560','2','-9'
'000000000089','6280','2','-9'
'000000000090','7240','-6','-9'
'000000000091','4920','-6','-9'
'000000000092','3480','2','-9'
'000000000092','5560','1','-9'
'000000000093','5560','1','-9'
'000000000093','7600','2','-9'
'000000000093','7040','-6','-9'
'000000000094','2080','-6','-9'
'000000000095','4920','-6','-9'
'000000000095','7240','2','2'
'000000000096','0520','2','-9'
'000000000096','2080','1','-9'
'000000000096','7240','1','-9'
'000000000096','6920','-6','-9'
'000000000097','7240','1','2'
'000000000098','0520','2','-9'
'000000000100','7600','1','-9'
'000000000101','3480','2','-9'
'000000000103','7600','2','-9'
'000000000105','0520','-6','-9'
'000000000105','1680','1','-9'
'000000000105','2080','1','2'
'000000000106','1680','2','-9'
'000000000106','4920','2','-9'
'000000000106','7240','-6','-9'
'000000000107','0520','2','-9'
'000000000107','7600','2','-9'
'000000000107','6920','-6','-9'
'000000000108','7600','2','-9'
'000000000109','1680','1','-9'
'000000000109','5560','-6','-9'
'000000000110','5560','2','2'
'000000000110','7240','-6','-9'
'000000000111','0520','-6','-9'
'000000000111','5560','2','-9'
'000000000114','7600','1','-9'
'000000000114','6920','1','2'
'000000000115','1680','1','-9'
'000000000116','1680','1','-9'
'000000000116','3480','-6','-9'
'000000000116','6280','-6','-9'
'000000000117','1680','1','-9'
'000000000117','6280','2','-9'
'000000000117','7240','1','2'
'000000000117','7600','2','-9'
'000000000117','6920','2','-9'
'000000000118','7600','1','-9'
'000000000119','6280','-6','-9'
'000000000119','7600','2','-9'
'000000000120','0520','2','-9'
'000000000120','2080','1','-9'
'000000000120','7600','2','-9'
'000000000121','3280','2','2'
'000000000121','7600','1','-9'
'000000000122','0520','2','-9'
'000000000122','2080','2','-9'
'000000000123','1680','2','-9'
'000000000123','7240','1','-9'
'000000000123','7600','2','-9'
'000000000124','0520','2','-9'
'000000000124','7240','1','-9'
'000000000125','3480','-6','-9'
'000000000125','7240','2','-9'
'000000000125','7600','1','2'
'000000000126','3480','2','-9'
'000000000126','5880','-6','-9'
'000000000126','7240','2','-9'
'000000000127','7240','2','-9'
'000000000128','7600','1','-9'
'000000000129','1680','-6','-9'
'000000000129','7240','-6','-9'
'000000000129','7600','1','2'
'000000000130','7600','1','-9'
'000000000132','0520','2','2'
'000000000132','3480','2','-9'
'000000000132','7240','-6','-9'
'000000000132','7600','2','2'
'000000000133','6280','2','-9'
'000000000134','2080','1','-9'
'000000000134','4920','1','-9'
'000000000136','3280','1','-9'
'000000000136','7040','-6','-9'
'000000000137','5560','1','-9'
'000000000138','5560','2','-9'
'000000000139','6920','1','-9'
'000000000140','2080','1','-9'
'000000000140','3480','-6','-9'
'000000000140','5880','2','2'
'000000000140','7240','2','-9'
'000000000141','4920','2','-9'
'000000000141','7240','2','-9'
'000000000142','5560','-6','-9'
'000000000143','5880','2','-9'
'000000000144','0520','-6','-9'
'000000000144','5880','1','2'
'000000000144','7600','2','-9'
'000000000145','5560','2','-9'
'000000000145','7240','2','2'
'000000000145','7600','2','-9'
'000000000146','2080','2','-9'
'000000000146','5560','2','-9'
'000000000146','7240','1','-9'
