CONTROL,SMSA,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000001','3280',1,'3','-6','1','1','-9',3,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000002','2080',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000002','4920',1,'3','-6','1','1','-9',2,'-6','3','2','1','-9','-9','-9','-9','-9'
'000000000002','6280',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000004','2080',1,'3','-6','1','1','-9',5,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000004','3480',1,'3','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000005','0520',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'000000000005','3480',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000005','4920',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000006','3480',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000006','7600',1,'3','-6','3','2','-9',3,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000007','2080',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000007','3480',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'000000000008','0520',-9,'-9','-6','-9','-9','-9',-7,'-6','1','1','1','1','1','1','1','-9'
'000000000008','7040',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'000000000009','3280',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000009','7600',1,'3','-6','1','2','-9',8,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000009','7600',2,'-6','-6','-6','-6','1',-6,'-6','-6','-6','2','-9','-9','-9','1','-9'
'000000000009','6920',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'000000000010','1680',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'000000000010','3280',1,'3','-6','3','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'000000000010','4920',1,'3','-6','2','2','-9',2,'2','1','1','1','-9','-9','-9','-9','-9'
'000000000010','6280',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
